card-heading,hotel-neighbourhood,rating-badge,rating-count,readMoreSmall,clickable,moreTextHidden,hotel-featured-data,price,card-body
11. Ranjana Guesthouse,123.6 kms from Mantralayam,8.7,(90Â reviews),,,,Lodge with 3 room options,"â‚¹1,000","Facilities:
     Wifi, Pets Allowed, Food, Shuttle Service"
12. Lakshmi Heritage Tourist Home,123.6 kms from Mantralayam,8.4,(108Â reviews),"Lakshmi Heritage Tourist Home, which is adjacent to the Virupaksha Temple, is a perfect retreat with",(Read More),"air-conditioned rooms that provide views of the city skyline. For assistance, there is a front desk open round-the-clock. In the building's common areas, there is free WiFi connection. Cycling is one of several activities that can be done on-site or in the vicinity. Services for laundry are provided. A variety of regional specialties are served at the on-site restaurant. The Stone Chariot is 12 kilometres and the Lotus Mahal 4 km from the hotel, respectively.",Bed and breakfast with 3 room options,"â‚¹2,500",
13. Thilak Home Stay,123.6 kms from Mantralayam,8.6,(196Â reviews),The Thilak Homestay is the ideal accommodation if you're seeking for a mid-range hotel close to the,(Read More),"River Tungabhadra. In Hampi, Thilak Home Stay is only a 2-minute walk from the Virupaksha Temple and the Tungabhadra River. You will have access to a TV and a seating space in the room. The hotel has a terrace and a front desk that is open around-the-clock. You can feel free to practise yoga, engage in meditation, or simply unwind while enjoying a lovely sunset from the roof of the residence, which offers stunning views of the Hampi landscape and the Virupaksha temple. In front of the lodge is the Chill-Out roof restaurant where you may unwind and make friends.",Homestay with 2 room options,"â‚¹1,200",
14. Mahesh Guest House,123.6 kms from Mantralayam,9.0,(28Â reviews),,,,Guest house with 3 room options,"â‚¹1,510","Facilities:
     Wifi, Bar, Food, Shuttle Service"
15. Hotel Varsha Hampi,124.3 kms from Mantralayam,7.6,(70Â reviews),Hotel Varsha in Hampi is a decent option for travelers. The rooms are spac,(Read More),"ious, clean, and well-maintained. The staff is friendly and provides excellent service. The hotel's location is convenient for exploring the attractions in Hampi. The restaurant attached to the hotel offers delicious food. The hotel is safe and conveniently located near amenities such as scooter rentals. Overall, guests have had a positive experience and recommend Hotel Varsha for a comfortable stay in Hampi.",Hotel with 4 room options,"â‚¹2,150",
16. Mango Tree Homestay,124.3 kms from Mantralayam,8.9,(221Â reviews),"Located a bit away from the attractions of Hampi, this homestay is a relatively newer one which is r",(Read More),un by very humble people who are also very helpful. The place provides good food with multiple cuisines. The homestay features clean spacious rooms with a shared lounge and a garden.,Homestay with 2 room options,"â‚¹2,660",
17. Sunrise Guest House & Restaurant,125.0 kms from Mantralayam,8.7,(180Â reviews),"A simple guesthouse at economic pricing, this guesthouse is located in the heart of the Hampi Bazaar",(Read More),". A decent place to halt at, the place provides lip-smacking dishes and has a warm and a cosy atmosphere.",Guest house with 6 room options,"â‚¹1,000",
18. Shankar Homestay,125.2 kms from Mantralayam,9.2,(51Â reviews),,,,Homestay with 2 room options,"â‚¹1,800","Facilities:
     Wifi, Pets Allowed, Garden"
19. Island Vibes,125.2 kms from Mantralayam,8.6,(93Â reviews),,,,Guest house with only 1 room option,"â‚¹1,499","Facilities:
     Wifi, Pets Allowed, Garden, Shuttle Service"
20. Saptami Hampi Homestay,125.2 kms from Mantralayam,9.7,(207Â reviews),Hotel Saptami Hampi Homestay offers an excellent stay experience with its comfortable and clean room,(Read More),"s, exceptional hospitality, and delicious homemade food. The homestay is located amidst green farms, providing a serene and refreshing atmosphere. The owners and staff go above and beyond to ensure a pleasant stay, offering assistance with transportation and sightseeing. The rooms are spacious and well-maintained, providing a comfortable sanctuary after exploring the nearby heritage sites. Guests can enjoy the beautiful surroundings, indulge in homemade meals, and feel welcomed and cared for throughout their stay. It offers travelers a home away from home experience with exceptional comfort and warmth.",Homestay with 2 room options,"â‚¹1,800",
21. HAPPY PLACE HAMPI,125.2 kms from Mantralayam,8.8,(54Â reviews),,,,Guest house with 2 room options,"â‚¹1,500","Facilities:
     Wifi, Pets Allowed, Garden"
22. Cocogreen Hampi,125.3 kms from Mantralayam,8.5,(43Â reviews),,,,Hostel with 3 room options,"â‚¹1,500","Facilities:
     Bar, Wifi, Pets Allowed, Garden, Children's Playground, Food"
23. Saanvi Farmhouse,125.3 kms from Mantralayam,9.6,(27Â reviews),,,,Farm stay with only 1 room option,"â‚¹1,782","Facilities:
     Wifi, Garden"
24. Serene Boulder,125.4 kms from Mantralayam,8.6,(44Â reviews),,,,Homestay with 5 room options,"â‚¹4,275","Facilities:
     Wifi, Pets Allowed, Garden"
25. BANANA FARM HOUSE,125.5 kms from Mantralayam,9.0,(154Â reviews),"If you are visiting the historical town of temples and monuments, Hampi, this vacation, we have got",(Read More),"you covered. Experience a pleasant stay experience at the Banana Farm House which provides with spacious accommodations equipped with comfortable beds, and modern facilities. It features a garden, an on- site dining option and several other amenities. Experience a one of a kind stay in this cosy property.",Homestay with only 1 room option,"â‚¹3,000",
26. Abhi Homestay Hampi,125.8 kms from Mantralayam,9.7,(103Â reviews),Abhi Homestay Hampi invites you with open arms irrespective of whether you are going for a long stay,(Read More),"or for a short duration, whether you are traveling for work or for pleasure. Spend some quality time bonding with your loved ones over various activities that the property arranges for you and make memories at the property that you will cherish for years to come.",Homestay with only 1 room option,"â‚¹1,500",
27. Coconut Homestay Hampi,125.8 kms from Mantralayam,9.6,(84Â reviews),Hotel Coconut Homestay in Hampi offers a delightful experience for families and travelers. The carin,(Read More),"g and kind owners provide excellent hospitality, making guests feel at home. The food prepared by the family is delicious and hygienic. The homestay offers a cozy atmosphere and a beautiful view from the terrace. The location is ideal, just 5 minutes away from all the attractions in Hampi. The owners are friendly and go out of their way to cater to guests' needs, including sightseeing and transportation. With its homely feeling and excellent hospitality, Hotel Coconut Homestay is highly recommended for a memorable stay.",Homestay with only 1 room option,"â‚¹1,350",
28. Krishna Homestay Hampi,125.8 kms from Mantralayam,9.4,(88Â reviews),Visiting Hampi this vacation? Krishna Homestay Hampi is where you should be looking at. Explore the,(Read More),"town better by enjoying a good nightâ€™s sleep at the impressive accommodations that the property offers. Featuring an on- site dining option, a 24 hour front desk, well trained staff providing impressive services, a terrace and several other amenities, this property has been positively reviewed by many over the years.",Homestay with only 1 room option,"â‚¹1,900",
29. Evolve Back Hampi,126.1 kms from Mantralayam,9.0,(237Â reviews),"Hotel Evolve Back Hampi, located in Hallikeri Village, offers a luxurious and memorable stay with it",(Read More),"s beautiful property and excellent facilities. The tastefully designed and well-maintained rooms are spacious and comfortable, providing a blend of modern luxury and traditional charm. The dining experiences are exceptional, with a wide variety of delicious cuisine. The hotel also offers a range of facilities, including a fitness center, spa,Â twoÂ pools, and a bar. The property assists with the arrangement of heritage walks on request.",5 star resort with 4 room options,"â‚¹31,356",
30. Prajwal home stay,126.2 kms from Mantralayam,9.1,(109Â reviews),Hotel Prajwal Homestay in Hampi offers comfortable and clean rooms with the added amenities of parki,(Read More),"ng, air conditioning, and family rooms. The hosts are praised for their exceptional hospitality, making guests feel cared for and safe. The homemade breakfast is delicious. The rooms are well-maintained and hygienic, and the overall experience is described as being like a home away from home. The owner and his family are kind and caring, providing typical homemade food at reasonable prices. The hotel receives glowing reviews and is highly recommended for a pleasant stay in Hampi.",Homestay with 2 room options,"â‚¹1,799",
31. Gopi Homestay,126.4 kms from Mantralayam,8.7,(84Â reviews),Gopi Home Stay in Hampi offers accommodations with air conditioning and private bathrooms that are t,(Read More),"ucked away among the city's historic forts. This hotel offers family rooms as well as a terrace for visitors. A communal kitchen and room service are provided for guests at the hotel. In Hampi, there is a lot to do. Take a tour of Hampi's temples, stopping at sites like the Monkey Temple and the Virupaksha Temple. Explore India's rich cultural history carved on the walls of the Queen's Bath. The Riverside Ruins of Hampi are an alluring tourist destination and a place of worship for Lord Vishnu and Lord Shiva. They are a photographer's dream. The hotel offers both an American and an Asian breakfast to its visitors.",Guest house with only 1 room option,"â‚¹1,799",
32. Vinayaka Homestay,126.4 kms from Mantralayam,9.1,(62Â reviews),"Located within 1 km of Kamalapur Lake, Sun rise Matanga Hill, Tungabadhra River and many more attrac",(Read More),"tions, Vinayaka Homestay offers impressive accommodations with a beautiful balcony to relax in and enjoy the breath taking view. Enjoy the various modern facilities that the rooms are equipped with and the delicious dishes that are available at the on- site dining option. The property also features a shared lounge, a garden, a terrace and several other amenities.",Homestay with 3 room options,"â‚¹1,199",
33. Supritha Homestay Hampi,126.4 kms from Mantralayam,9.2,(27Â reviews),,,,Homestay with 2 room options,â‚¹855,
34. Royal Homestay New Hampi,126.4 kms from Mantralayam,8.8,(59Â reviews),,,,Homestay with 3 room options,"â‚¹5,000","Facilities:
     Bar, Wifi, Food, Shuttle Service"
35. Arjun Homestay,126.5 kms from Mantralayam,9.2,(188Â reviews),"Located amidst lush greenery, Arjun Homestay provides the guests with a well maintained garden, an o",(Read More),"utdoor area for parking or to engage in outdoor activities like outdoor sports or cycling. You can relax in the accommodations that have comfortable beds and a private balcony with a wonderful view, or on the terrace. With impressive dÃ©cor and excellent services and amenities, it has won the hearts of many over the years.",Homestay with 3 room options,"â‚¹1,400",
36. Classic Homestay,126.5 kms from Mantralayam,9.0,(68Â reviews),Classic Homestay in Hampi is a budget-friendly accommodation that offers clean and comfortable rooms,(Read More),". The owners are extremely kind and friendly, providing excellent hospitality and helping guests plan their itineraries. They offer delicious and affordable meals, making the stay even more convenient. The homestay is located in a decent area with nearby attractions within walking distance. The hosts go above and beyond to ensure a memorable and comfortable stay for their guests. Classic Homestay is highly recommended for those looking for a pleasant and affordable stay in Hampi.",Homestay with 3 room options,"â‚¹1,080",
37. Rks Homestay,126.5 kms from Mantralayam,9.0,(66Â reviews),Enjoy the city of Hampi that has immense historical significance along with a pleasant stay experien,(Read More),"ce at the Rks Homestay. Impressive and spacious accommodations with comfortable beds and necessary facilities, this property attracts a large number of guests throughout the year. The well trained staff of the property has been positively reviewed by many and makes the guests feel at home. Make memories that will be cherished for years to come.",Homestay with 2 room options,"â‚¹2,000",
38. VAIBHAV HOME STAY,126.5 kms from Mantralayam,8.8,(42Â reviews),"Whether you are planning to stay for a long time or for few days, or whether you are on a business t",(Read More),"rip or for leisure, Vaibhav Home stay welcomes all kinds of guests with open arms. Enjoy some delicious dishes at the on- site dining option or some cocktails at the bar, or relax in the shared lounge. You can also choose to stroll around the garden or enjoy the beautiful view from the terrace.",Homestay with 2 room options,"â‚¹1,299",
39. Mamatha Guest inn,126.7 kms from Mantralayam,9.2,(85Â reviews),,,,Guest house with 4 room options,"â‚¹1,000","Facilities:
     Wifi"
40. Padmaa Hampi Echo Villa,127.1 kms from Mantralayam,8.7,(34Â reviews),,,,Guest house with 5 room options,"â‚¹1,620","Facilities:
     Wifi, Garden"
41. Mowgli's Cafe Hampi & Guest House,127.3 kms from Mantralayam,9.1,(40Â reviews),,,,Guest house with 3 room options,"â‚¹1,500","Facilities:
     Bar, Wifi, Pets Allowed, Garden, Food"
42. Hill Stone View Hampi,127.6 kms from Mantralayam,9.1,(29Â reviews),,,,Guest house with 5 room options,"â‚¹2,199","Facilities:
     Wifi, Pets Allowed, Garden"
43. Leo Comforts River Side Resort,127.6 kms from Mantralayam,8.0,(46Â reviews),,,,Resort with 9 room options,"â‚¹5,400","Facilities:
     Wifi, Bar, Pets Allowed, Pool, Garden, Food, Shuttle Service"
44. Leo Woods Hampi River view,127.6 kms from Mantralayam,7.9,(79Â reviews),,,,Hotel with 4 room options,"â‚¹5,999","Facilities:
     Bar, Wifi, Pets Allowed, Pool, Garden, Food"
45. Heritage Resort Hampi,128.1 kms from Mantralayam,8.0,(449Â reviews),This resort in Hampi boasts of a well-preserved property that is spread across 8 acres in the UNESCO,(Read More),"World Heritage Site. Modern-day architecture infused with the magic of nature, this resort offers a variety of villas to its visitors with its own private pool and Jacuzzi. The resort also has an ayurvedic spa and a spacious swimming pool. There is also all-day dining with a dedicated bar available in the resort.",5 star resort with 4 room options,"â‚¹29,699",
46. Heritage Resort Hampii,128.2 kms from Mantralayam,8.5,(1376Â reviews),,,,,"â‚¹13,508",
47. Murali Guesthouse Hampi,128.3 kms from Mantralayam,8.6,(88Â reviews),,,,Homestay with 3 room options,"â‚¹1,099","Facilities:
     Wifi, Pets Allowed, Garden, Food"
"48. Malligi,Hampi",133.5 kms from Mantralayam,8.0,(745Â reviews),"Hotel Malligi in Hampi is a prime hotel known for its cleanliness, friendly staff, and great ambienc",(Read More),"e. The rooms are spacious and well-maintained, offering a comfortable stay. The in-house restaurant serves delicious food at reasonable prices, and the complimentary breakfast buffet is also highly praised. The hotel has polite and responsive room service, and the pool area is clean and safe for children. The staff is humble and understanding, providing excellent service throughout the stay. The hotel is conveniently located near the bus stop and railway station, making it easily accessible. Hotel Malligi offers a pleasant experience and is highly recommended for those visiting Hampi.",Hotel with 5 room options,"â‚¹3,500",
49. WelcomHeritage Shivavilas Palace,135.5 kms from Mantralayam,9.0,(138Â reviews),,,,,"â‚¹22,469",
50. KSTDC Hotel Mayura Vijayanagara Hampi,137.6 kms from Mantralayam,7.8,(136Â reviews),"Nearby Hospet, the Tungabhadra Dam is just as popular with tourists as the Hampi World Heritage Site",(Read More),". Hotel Mayura Vijayanagara provides visitors with a tranquil and green setting and is situated next to the Tungabhadra dam. The on-site restaurant is open to visitors. The dam looks out onto a lovely garden. The hotel, which is conveniently close to Hampi, has 20 rooms in all, including 13 double rooms and 7 AC double rooms. There is free WiFi and a TV in every room. Room service is available for use by visitors. The facility has a front desk open around-the-clock. The hotel is connected to a restaurant and a brew pub.",Resort with 3 room options,"â‚¹1,980",
