qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,doJOZc,W4Efsd 5,W4Efsd 7,ah5Ghc
Krishna View Point,4.8,-28,Tourist attraction,·,"GJ82+5XG, Kotikalapudi - Modepalli Rd",Open now,,,,"""Nice view of the river"""
Ambedkar Park,3.1,-7,Park,·,P458+VXG,,,,,
Janmabhumi Park,4.1,"-2,123",Park,·,·,Closed,,"X6CQ+PF6, National Highway 214, Gudari Gunta, East Godavari, Srinagar",· Opens 4 pm,"""Small park but clean and enjoyable play area for kids."""
Bhuvanagiri petta,5.0,-2,Garden,·,"Revenue Ward 14, 14-83",,,,,
GSS Reddy Bore well,3.0,-2,Park,·,9QMR+J9F,Open now,,,,
Godey’s street,,,Park,·,M3X3+Q92,Closed,,,· Opens 11:59 am,
Hayath Food Park,4.1,-19,Restaurant,·,"J.M.J School, 6-32",Closed,,,· Opens 11 am,Dine-in
Jakkula Kanakaiah Residency,,,Park,·,MWPW+895,,,,,
Holy Land,4.6,-341,Park,·,·,Open,,P3R5+6G2,· Closes 5 pm,"""Very present and peaceful location."""
Park,,,Park,·,"P36C+CHG, Satrampadu Rd",,,,,
LCF Garden,4.2,-13,Garden,·,QRMJ+Q6R,,,,,
Garlapati Gardens,4.0,-6,Garden,·,RP58+H4X,,,,,
Gogineni SuryaPrakash Gardens,3.5,-42,Garden,·,PWM4+5R4,,,,,
Budda park boating,4.8,-4,Boat club,·,MDR75,,,,,
Malleswari Gardens,5.0,-2,Garden,,,,,,,
Ilapakurthi's Garden,5.0,-2,Garden,·,RMPW+8G,,,,,
B sunilreddy,5.0,-1,Garden,·,9QGX+9P,,,,,
Kolusu Lakshmipadma Somaiah Gardens,5.0,-8,Garden,·,"Krishna District, 2/75, Gannavaram",,,,,
