qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
M4 Kerala Cafe,4.9,-60,·,₹1–200,Restaurant,·,"P, 24-7-150/2, 1st St",Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Friends Cafe,4.4,-104,·,₹1–200,Coffee shop,·,9PQR+7GQ,Open now,,Dine-in,·,Drive-through,,,,
Sparrow Hub,4.1,-12,·,₹1–200,Cafe,·,"near RTO Office Road, opposite 🍋 lemon Tree school",Open 24 hours,,Dine-in,·,Takeaway,·,No-contact delivery,,
Sri Sai Friends Cafe,4.1,-39,·,"₹1–1,200",Coffee shop,,,Open,· Closes 8:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Ik Cafe Point,4.9,-10,,,Cafe,·,"92HQ+M2X, Road palem, Nellore - Krishnapatnam Port Rd",Open,· Closes 9 pm,"""Good food and coffee are better and price is reasonable ☺️""",,,,,,
A'MANO Cafe,3.8,-51,·,"₹200–1,200",Cafe,·,"Ground Floor, Rain Square",Closed,· Opens 2 pm,Dine-in,·,Takeaway,,,,
55 Bistro,4.3,"-2,111",·,"₹200–1,200",Restaurant,·,·,Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
SMR CAFE & SNACKS,5.0,-1,,,Cafe,·,Madrajgudur road,,,,,,,,,
Aroma Brews Cafe,4.6,-27,·,₹1–200,Coffee shop,·,6VWQ+CM7,Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,,
KR CAFE,4.2,-27,,,Cafe,·,Nellore to muthukur main road Madarajugudur circle,Open,· Closes 10:30 pm,Dine-in,,,,,,
Super Star Cafe,3.7,-18,,,Cafe,·,CW7H+GC7,Open,· Closes 9:45 pm,Takeaway,,,,,,
Café Coffee Day,3.8,"-1,207",·,₹200–400,Cafe,·,"Ground Floor, Mandal",Open,· Closes 12 am,Dine-in,·,Takeaway,·,No-contact delivery,,
Padmavathi Vilaas,4.3,"-7,062",·,₹200–400,Vegetarian,·,·,Open,· Closes 10:30 pm,"""",,Coffee,,"and food is very nice, and at a reasonable price""",,
Chef Street,4.9,-105,·,₹200–400,Restaurant,·,"Ground Floor, Jagan's college street, 16/3/103",Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
APPLE CAFE,,,,,Coffee shop,·,Shop,,,,,,,,,
Sai Cafe Mohan,4.4,-44,,,Cafe,·,GVQJ+PJW,Open now,,Dine-in,·,Takeaway,,,,
Exotica Bakery and Restaurant,4.0,"-1,249",·,₹₹,Restaurant,·,·,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
CAFE STAR & STAR MART,4.4,-65,,,Convenience store,·,·,Open 24 hours,,Delivery,,,,,,
Tirupathi Cafee,4.3,-10,,,Cafe,·,"GVPF+X6V, Bombay Trunk Road",Open 24 hours,,Dine-in,·,Takeaway,,,,
Karupatti Coffee Shop Nellore,4.0,-224,·,₹1–200,Cafe,·,·,Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,,
Hot Spot Cafe,4.7,"-6,546",·,"₹200–1,200",Cafe,·,·,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
Komala Vilas,4.1,-458,·,₹1–200,Vegetarian,·,"14/403, 14/403, Trunk Rd",Open,· Closes 4:45 pm,Dine-in,·,Takeaway,·,Delivery,Order online,
The Mint Multicuisine Restaurant,4.1,-738,·,"₹200–1,000",Biryani,·,"23/1184, Sodhan Nagar Rd, beside RTC",Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
IYERS'S CAFE,4.7,-33,·,₹1–200,Coffee shop,·,"JCX9+VWV, KT Rd",,,Dine-in,·,Takeaway,,,Order online,
SS FAMILY DHABA,3.8,-210,·,₹200–400,North Indian,·,·,Opens soon,· 11 am,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,
Highway cafe,4.3,-51,·,₹1–200,Coffee shop,·,"Saraswathi Nagar, 10-128-1,Thanapalli Cross, Thiruchanoor Road, Opp. Market Yard, Tirupathi - 517503",Open 24 hours,,Dine-in,·,Drive-through,,,,
Garudas Irani cafe,4.8,-51,·,₹1–200,Coffee shop,·,"piller no 56,besides, city union bank, Leela Mahal Rd",Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
V N Cafe,4.4,-198,·,₹1–200,Cafe,·,"OM Nivas, Doddapuram St, near City Medical Shop",Open,· Closes 9:30 pm,Dine-in,·,Takeaway,·,Delivery,,
SREE COFFEE CAFE,4.6,-54,,,Family-friendly,,,Open,· Closes 11:30 pm,Dine-in,·,Takeaway,,,,
parveen cafe,,,,,Cafe,·,"shop no 3, main road, Narayana Reddy Pet - Thotapalli Gudur Rd",,,,,,,,,
Stories Cafe Tirupati,4.4,-200,·,₹200–400,Cafe,·,"Reddy Bhavan Lane, Karakambadi Rd, near D-Mart",,,"""Amazing place great ambience, food, great service and reasonable price.""",,,,,,
CAFE NELLORE,5.0,-1,,,Ice Cream,·,"JFMJ+5JH, Renigunta - Tirupathi Rd",,,"""Tasty coffee""",,,,,,
SSS Cafe,,,,,Restaurant,·,"Muslim Palem, Muthukur Rd",,,,,,,,,
