title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName
Horizon Restaurant,4.3,1936.0,"7th floor, Dolphin Hotel, 75 Feet Road, Daba Garden Rd",Visakhapatnam,Andhra Pradesh,IN,https://www.dolphinhotelsvizag.com/horizon,+91 81210 13707,Restaurant,Andhra restaurant,Buffet restaurant,Chinese restaurant,Continental restaurant,Family restaurant,Live music bar,Seafood restaurant,Wine bar,,https://www.google.com/maps/search/?api=1&query=Horizon%20Restaurant&query_place_id=ChIJU2WKahxDOToRLGbv-_IO5dU,Restaurant
"Welcomhotel By ITC Hotels, Devee Grand Bay, Visakhapatnam",4.5,7068.0,Beach Rd,Visakhapatnam,Andhra Pradesh,IN,https://www.itchotels.in/hotels/visakhapatnam/welcomhotelgrandbay/dining.html?utm_source=google&utm_medium=Organic%20Search&utm_term=welcomhotelgrandbay%20Restaurants&utm_campaign=listing,+91 891 660 0101,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Welcomhotel%20By%20ITC%20Hotels%2C%20Devee%20Grand%20Bay%2C%20Visakhapatnam&query_place_id=ChIJm0cOJm1DOToRgClAcjpe388,Restaurant
Varun's Eat Restaurant (Varun Beach Inox),4.4,2558.0,"Century Club, I st. Floor, Varun Inox Building, B.P",Visakhapatnam,Andhra Pradesh,IN,,+91 77990 28422,North Indian restaurant,Andhra restaurant,Brunch restaurant,Buffet restaurant,Chinese restaurant,Food court,Indian restaurant,Non vegetarian restaurant,Vegetarian restaurant,,https://www.google.com/maps/search/?api=1&query=Varun's%20Eat%20Restaurant%20(Varun%20Beach%20Inox)&query_place_id=ChIJnYhiOG1DOToRYNCyZ_t1WMo,North Indian restaurant
Guntur Food O' Clock,4.7,172.0,"1st Ln, near Diamond Park Road, near Bajaj Electronics",Visakhapatnam,Andhra Pradesh,IN,,+91 80193 61957,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Guntur%20Food%20O'%20Clock&query_place_id=ChIJS3Vq55VDOToR6Lx5ZlCVPM4,Biryani restaurant
Tycoon Multi-Cuisine Restaurant,3.9,2703.0,Waltair Main Rd,Visakhapatnam,Andhra Pradesh,IN,https://www.daspallahotels.com/tycoon-restaurant-vizag/,+91 89125 40606,Eclectic restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Tycoon%20Multi-Cuisine%20Restaurant&query_place_id=ChIJXT-a2xVDOToREo_tOvJQqN4,Eclectic restaurant
Bombay Restaurant- Jyothi Theatre,3.9,5018.0,"31-32-75 Gantasala Marg Ladies Gate, Beside, Jothee Theatre Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 89125 62222,Family restaurant,Non vegetarian restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bombay%20Restaurant-%20Jyothi%20Theatre&query_place_id=ChIJWbjPU8hCOToRba8EvrZV-D8,Family restaurant
Fusion Foods,4.4,2473.0,"101B, Sampath Vinayaka Temple Rd, beside Gurajada Kalakshetram",Visakhapatnam,Andhra Pradesh,IN,https://www.fusionfoods.net/,+91 89125 33333,Andhra restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Fusion%20Foods&query_place_id=ChIJH9FAempDOToRx6jRevlzm98,Andhra restaurant
Dakshin Restaurant,3.9,787.0,"Hotel Daspalla, Daspalla Hotel, 28-2-48",Visakhapatnam,Andhra Pradesh,IN,https://www.daspallahotels.com/visakhapatnam/dining/dakshin.html,+91 89125 64825,South Indian restaurant,Andhra restaurant,Buffet restaurant,Indian restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Dakshin%20Restaurant&query_place_id=ChIJSSousQRDOToRCD_nyARbDTI,South Indian restaurant
Helapuri Restaurant,3.6,3715.0,"10-11-15/1, beside Andhra Bank Asillameta Branch, near Bus Stop",Visakhapatnam,Andhra Pradesh,IN,,+91 81065 18185,North Indian restaurant,Andhra restaurant,Biryani restaurant,Chicken restaurant,Indian restaurant,Mughlai restaurant,Non vegetarian restaurant,,,,https://www.google.com/maps/search/?api=1&query=Helapuri%20Restaurant&query_place_id=ChIJqVRH7DxDOToRtFLrsjKviHM,North Indian restaurant
Yarada Restaurant,4.1,64.0,Yarada Rd,Gajuwaka,Andhra Pradesh,IN,,+91 94934 25025,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Yarada%20Restaurant&query_place_id=ChIJ-5e2YBlDOToRArjTTcn-xNk,Restaurant
Satyam Restaurant,3.8,4492.0,"1st Lane, Railway New Colony Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 891 666 6664,Biryani restaurant,Chicken restaurant,Chinese restaurant,Family restaurant,Indian restaurant,,,,,,https://www.google.com/maps/search/?api=1&query=Satyam%20Restaurant&query_place_id=ChIJuUvrXCNDOToRzpba9_tKBlU,Biryani restaurant
WelcomCafe Oceanic Restaurant,4.7,1591.0,"WelcomHotel Grand Bay, Beach Rd",Visakhapatnam,Andhra Pradesh,IN,https://www.itchotels.com/in/en/restaurant-listing.html?hotel=welcomhoteldeveegrandbay-visakhapatnam,+91 891 660 0101,Family restaurant,Andhra restaurant,Breakfast restaurant,Cafe,Coffee store,,,,,,https://www.google.com/maps/search/?api=1&query=WelcomCafe%20Oceanic%20Restaurant&query_place_id=ChIJl53rKG1DOToRXJlD7fGAu2w,Family restaurant
Waltair Kitchen - Restaurant,4.1,461.0,"Hotel PL Grand, Siripuram Cir, Opp. Bubbles Salon",Visakhapatnam,Andhra Pradesh,IN,,+91 63038 00669,North Indian restaurant,Chinese restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Waltair%20Kitchen%20-%20Restaurant&query_place_id=ChIJ_ZQCCxJDOToRjO3fNqofH6Y,North Indian restaurant
Srikanth food center,,,,Gajuwaka,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Srikanth%20food%20center&query_place_id=ChIJjwI14qRDOToRnEj0-H3fXqc,Restaurant
Kamat Restaurant.,3.7,3459.0,"Vuda Complex, Waltair Club Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 89127 88984,Andhra restaurant,Chinese restaurant,Indian restaurant,Seafood restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Kamat%20Restaurant.&query_place_id=ChIJCxWFxUFDOToRS0cpBRWcXd0,Andhra restaurant
Sea Pearl,4.1,3055.0,"Varun Beach, RK Beach Rd, near novotel, beside children's park",Visakhapatnam,Andhra Pradesh,IN,,+91 90305 51214,Fast food restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sea%20Pearl&query_place_id=ChIJlYV2NXdDOToRhCiqYlU22cg,Fast food restaurant
Sea Park Food Court,3.8,2664.0,P88G+PX2 RK Beach,Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,Candy store,Chinese restaurant,Fast food restaurant,Indian restaurant,Seafood restaurant,,,,,https://www.google.com/maps/search/?api=1&query=Sea%20Park%20Food%20Court&query_place_id=ChIJN0dFb2ZDOToR3HreoERuV7Y,Restaurant
Bismillah Biryani Centre,4.3,71.0,,Visakhapatnam,Andhra Pradesh,IN,https://www.swiggy.com/menu/958010?source=sharing,+91 84344 44448,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bismillah%20Biryani%20Centre&query_place_id=ChIJP-hLQnZDOToRSZDafVljzTk,Biryani restaurant
Rahamaniya Restaurant Since 1960,3.7,127.0,"Door Number : 32, 1-254, Bowdara Rd, near Railway Over Bridge",Visakhapatnam,Andhra Pradesh,IN,,+91 94939 73300,Non vegetarian restaurant,Vegetarian restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rahamaniya%20Restaurant%20Since%201960&query_place_id=ChIJycphSeBCOToRFx-5-czi7Oc,Non vegetarian restaurant
4 am biriyani,3.5,318.0,"gvmc office back side, near 4 am biriyani",Visakhapatnam,Andhra Pradesh,IN,,,Biryani restaurant,Chicken restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=4%20am%20biriyani&query_place_id=ChIJ55jpdgBDOToRtTa14hpGfZc,Biryani restaurant
Helapuri Restaurant,3.0,407.0,"2, Chitralaya Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 96762 24488,North Indian restaurant,Andhra restaurant,Biryani restaurant,Indian restaurant,Mughlai restaurant,Non vegetarian restaurant,South Indian restaurant,,,,https://www.google.com/maps/search/?api=1&query=Helapuri%20Restaurant&query_place_id=ChIJ1VFXVBpDOToR7fw0BzBT57g,North Indian restaurant
Masha Allah Biryani Point,4.1,1383.0,"43-9-18, Sri Kanya Theatre, 19/2, Near, 2, Railway New Colony Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 90100 35292,Biryani restaurant,Indian restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Masha%20Allah%20Biryani%20Point&query_place_id=ChIJoaC46NhCOToRcs5xUtQQqYo,Biryani restaurant
Zeeshan Restaurant - Apna Hyderabadi Food,3.8,7856.0,"No 2810, Ground Floor and 1st Floor Door, 3, Chitralaya Rd, Opp Chitralaya Theater",Visakhapatnam,Andhra Pradesh,IN,http://www.zeeshanrestaurant.com/,+91 76758 14386,Hyderabadi restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Zeeshan%20Restaurant%20-%20Apna%20Hyderabadi%20Food&query_place_id=ChIJRVs7VBpDOToRu8XKaf7pjfw,Hyderabadi restaurant
New Satyam Multicuisine Restaurant,4.2,547.0,"47-12-7/1, opposite Sangam sarat theatre",Visakhapatnam,Andhra Pradesh,IN,,,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=New%20Satyam%20Multicuisine%20Restaurant&query_place_id=ChIJ3QiKQiNDOToRtT0dE5VjY9c,Biryani restaurant
Vijayawada's Raju Gari Ruchulu,4.5,3339.0,"Chillapali complex, 47-11-24, 1st Ln, beside Ravindra Bharathi School",Visakhapatnam,Andhra Pradesh,IN,,+91 81210 36023,Biryani restaurant,Family restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Vijayawada's%20Raju%20Gari%20Ruchulu&query_place_id=ChIJyQvUl0FDOToRts_pv7cNWoo,Biryani restaurant
Biryanis Lounge,4.6,845.0,"Block No. 23, Srinivasa Bhavan, 1st Floor, D.No. 47, 13-1, Diamond Park Rd",Visakhapatnam,Andhra Pradesh,IN,https://biryanislounge.com/,+91 90001 24944,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Biryanis%20Lounge&query_place_id=ChIJww-9FIBDOToR175tcUqtxKo,Biryani restaurant
The Spicy Venue Restaurant,4.1,7484.0,Siripuram Cir,Visakhapatnam,Andhra Pradesh,IN,http://www.thespicyvenue.in/,+91 94926 55553,Biryani restaurant,Andhra restaurant,Caterer,Family restaurant,Lunch restaurant,Non vegetarian restaurant,North Indian restaurant,South Indian restaurant,Vegetarian restaurant,,https://www.google.com/maps/search/?api=1&query=The%20Spicy%20Venue%20Restaurant&query_place_id=ChIJmb45EqdDOToR7_sRaqlosrc,Biryani restaurant
Naaz special dum biryani point,4.6,84.0,"13-24-5 .o-optex Road, Jagadamba Center, MACCA Mosque Street. Vsp Near Macca Masjid",Visakhapatnam,Andhra Pradesh,IN,,+91 99662 84343,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Naaz%20special%20dum%20biryani%20point&query_place_id=ChIJu2kJYBpDOToR1dwHGrrrkco,Biryani restaurant
Paradise Biryani | Visakhapatnam,4.0,13211.0,"9-14-1, VIP Rd",Visakhapatnam,Andhra Pradesh,IN,https://www.paradisefoodcourt.in/,+91 91103 91524,Biryani restaurant,Andhra restaurant,Breakfast restaurant,Chicken restaurant,Family restaurant,Hyderabadi restaurant,Mughlai restaurant,Mutton barbecue restaurant,Non vegetarian restaurant,Restaurant,https://www.google.com/maps/search/?api=1&query=Paradise%20Biryani%20%7C%20Visakhapatnam&query_place_id=ChIJFc3n3EBDOToR2DkaQyP3NX8,Biryani restaurant
KAI,4.8,1343.0,Beach Rd,Visakhapatnam,Andhra Pradesh,IN,https://www.itchotels.com/in/en/welcomhoteldeveegrandbay-visakhapatnam,+91 70327 03264,Asian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=KAI&query_place_id=ChIJj7KGPgBDOToRinGABuW_Pr8,Asian restaurant
Alpha Hotel,3.6,10001.0,"Chitralaya Rd, near Sharada Theatre",Visakhapatnam,Andhra Pradesh,IN,,+91 89127 97533,Hyderabadi restaurant,Indian restaurant,Restaurant,Seafood restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Alpha%20Hotel&query_place_id=ChIJZc69VhpDOToRDq4z-fCpHbw,Hyderabadi restaurant
The Eatery,4.1,892.0,"10-28-3, Waltair Main Rd",Visakhapatnam,Andhra Pradesh,IN,https://marriottbonvoyasia.com/restaurants-bars/Four-Points-by-Sheraton-Visakhapatnam-The-Eatery,+91 891 305 1111,Fine dining restaurant,Bar,Breakfast restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Eatery&query_place_id=ChIJc7VIQxVDOToREysU7wSzkpk,Fine dining restaurant
Bhale Biryani Diamond Park,4.4,308.0,"Sonovision, Near, Diamond Park Rd",Visakhapatnam,Andhra Pradesh,IN,,,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bhale%20Biryani%20Diamond%20Park&query_place_id=ChIJl_MS6TFDOToRivdaZdBziyE,Biryani restaurant
Biryani Hub,4.0,103.0,P883+X87,Visakhapatnam,Andhra Pradesh,IN,,+91 89770 08440,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Biryani%20Hub&query_place_id=ChIJK8x1HkZDOToR07RWkFn3IaM,Biryani restaurant
Sri Sai Geetha Biryani House,3.5,100.0,"P856+M48, Zilla Parishad Road",Visakhapatnam,Andhra Pradesh,IN,,+91 70134 49944,Biryani restaurant,Chinese restaurant,Fast food restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sri%20Sai%20Geetha%20Biryani%20House&query_place_id=ChIJO1rJCRJDOToRo6OewHqouIQ,Biryani restaurant
R K Chiken,,,"22-51-4, Town Hall St",Visakhapatnam,Andhra Pradesh,IN,,+91 95534 58458,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=R%20K%20Chiken&query_place_id=ChIJRaHIZ1hDOToRLeqDWASmRHI,Restaurant
JANAPRIYA RESTAURANT,,,,Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=JANAPRIYA%20RESTAURANT&query_place_id=ChIJyyM0iAFDOToR_xOh7JUzl98,Restaurant
