card-heading,hotel-neighbourhood,hotel-neighbourhood 2,rating-badge,rating-count,clickable,hotel-featured-data,price,text-muted,card-body
24. Hotel O Coastal Inn Luxury Service Apartments,2.6 kms from Kakinada Town Station,# 24  hotel in  Kakinada,7.4,(14 reviews),(Read More),Hotel with only 1 room option,"₹2,686",onwards,
25. Hotel IRAA,1.8 kms from Kakinada Town Station,# 25  hotel in  Kakinada,8.3,(13 reviews),,Hotel with 3 room options,"₹7,056",onwards,"Facilities:
     Wifi, Bar, Food"
26. Hotel Jaya Residency,1.4 kms from Kakinada Town Station,# 26  hotel in  Kakinada,7.1,(13 reviews),Enter dates  to see price,,,,
27. Zibe Luxe Kakinada by GRT Hotels,1.1 kms from Kakinada Town Station,# 27  hotel in  Kakinada,8.8,(11 reviews),,Hotel with 3 room options,"₹3,700",onwards,"Facilities:
     Wifi, Pets Allowed, Food, Shuttle Service"
28. Karthikeya Grand,4.0 kms from Kakinada Town Station,# 28  hotel in  Kakinada,5.1,(10 reviews),,Hotel with 3 room options,₹990,onwards,"Facilities:
     Bar, Wifi, Garden, Shuttle Service"
29. SEA COASTAL INN-3,3.4 kms from Kakinada Town Station,# 29  hotel in  Kakinada,6.0,(6 reviews),,,"₹2,522",onwards,"Facilities:
     Wifi, Bar, Food"
30. Pakas House,3.5 kms from Kakinada Town Station,# 30  hotel in  Kakinada,7.4,(5 reviews),,Homestay with 2 room options,"₹1,599",onwards,"Facilities:
     Wifi, Pets Allowed, Garden, Shuttle Service"
31. RL GRAND,1.5 kms from Kakinada Town Station,# 31  hotel in  Kakinada,5.2,(5 reviews),,,"₹1,704",onwards,
32. Hotel Gokulam Grand,8.9 kms from Samalkot Junction Station,# 32  hotel in  Kakinada,9.5,(4 reviews),,,"₹3,321",onwards,
"33. Hotel City Inn, Kakinada, Andhra Pradesh",100 m from Kakinada Town Station,# 33  hotel in  Kakinada,5.5,(2 reviews),,Homestay with 3 room options,"₹6,228",onwards,"Facilities:
     Wifi, Food"
34. OYO Flagship 805641 The Central Guest House,900 m from Kakinada Town Station,# 34  hotel in  Kakinada,3.7,(2 reviews),,,"₹1,754",onwards,
35. Palette - Hilife Towers,2.1 kms from Kakinada Town Station,# 35  hotel in  Kakinada,1.5,(2 reviews),,,"₹4,494",onwards,"Facilities:
     Bar, Wifi, Pool, Children's Playground, Food"
36. The Mak Inn Hotel - Affordable Luxury Stay,1.1 kms from Kakinada Town Station,# 36  hotel in  Kakinada,2.8,(1 reviews),,,"₹1,227",onwards,
37. Sea breeze villa,2.7 kms from Kakinada Town Station,# 37  hotel in  Kakinada,,,,Homestay with only 1 room option,"₹1,750",onwards,"Facilities:
     Pets Allowed"
38. Cocannada sea breeze villa,2.3 kms from Kakinada Town Station,# 38  hotel in  Kakinada,,,,Homestay with only 1 room option,"₹1,912",onwards,
39. Pent house,1.7 kms from Kakinada Town Station,# 39  hotel in  Kakinada,,,,Guest house with only 1 room option,"₹1,600",onwards,"Facilities:
     Wifi, Pets Allowed, Garden"
40. HOTEL O SREE GRAND,6.1 kms from Kakinada Town Station,# 40  hotel in  Kakinada,,,,Hotel with only 1 room option,"₹1,760",onwards,"Facilities:
     Wifi, Bar, Food"
41. Kautilya Grand,2.0 kms from Kakinada Town Station,# 41  hotel in  Kakinada,,,,Homestay with only 1 room option,"₹2,000",onwards,"Facilities:
     Wifi, Pets Allowed"
42. Spacious 3BHK Near Beach with Secure Parking,5.2 kms from Kakinada Town Station,# 42  hotel in  Kakinada,,,Enter dates  to see price,Villa with only 1 room option,,,"Facilities:
     Wifi, Pets Allowed"
43. Kautilya Grand,2.0 kms from Kakinada Town Station,# 43  hotel in  Kakinada,,,,Apartment with only 1 room option,"₹2,200",onwards,"Facilities:
     Wifi, Pets Allowed"
44. Hotel Vijaya Sri,900 m from Kakinada Town Station,# 44  hotel in  Kakinada,,,Enter dates  to see price,,,,
45. Hotel Srivatsa,1.0 kms from Kakinada Town Station,# 45  hotel in  Kakinada,,,Enter dates  to see price,,,,
46. OYO 40718 Hotel Arka,900 m from Kakinada Town Station,# 46  hotel in  Kakinada,,,Enter dates  to see price,,,,
47. OYO 40770 Sai Priya Residency,400 m from Kakinada Town Station,# 47  hotel in  Kakinada,,,Enter dates  to see price,,,,
48. Hotel Atithi Inn,600 m from Kakinada Town Station,# 48  hotel in  Kakinada,,,Enter dates  to see price,,,,
49. GK RESIDENCY,600 m from Kakinada Town Station,# 49  hotel in  Kakinada,,,Enter dates  to see price,,,,
50. Flagship Balaji Grand,2.4 kms from Kakinada Town Station,# 50  hotel in  Kakinada,,,Enter dates  to see price,,,,
