qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 5,W4Efsd 6,ah5Ghc
Balaji Cheruvu Center,4.3,"-4,715",Historical landmark,?,?,Open 24 hours,,On-site services
Bank Colony Park,4.0,-116,Park,?,"68-10-7/1, Vidyuth Nagar, VIDYUTH NAGAR FIRST Ln",Open,? Closes 9??m,"""Needs to be well maintained but it's ?? ?? fine"""
Children Play Park,4.4,-51,Playground,?,"X66M+WJ2, Nukalamma Temple St",Open,? Closes 10:10??m,"""Very nice play park"""
JANOOS THE WATER LAND,4.1,-80,Water park,?,near Lighthouse,Closed,? Opens 11??m,On-site services
Ayodhya Nagar Park,4.6,-5,Park,?,"PLOT NO 11 , Besides Toofan Building Road, Sambhamurthy Nagar 5th Street",Open,? Closes 6??m,
Park,5.0,-1,Park,?,W6VJ+GXV,Open now,,"""Good for photod"""
Municipal Park & 600 Meter walking track,3.4,-18,Park,?,Peddireddi Street,,,
Seven Hills park,3.2,-9,Park,?,X65W+7RX,,,
Sri Vidya nagar colony Park,4.0,-7,Park,?,X6FW+8V6,Closed,? Opens 4??m,
University Main Park,3.8,-11,Park,?,X6HR+C45,Open now,,
Mahatma Gandhi Statue Gandhi Park,4.4,-5,Park,?,X69G+246,Open,? Closes 9??m,"""Good park for walking, exercise and spending time with family."""
Kakinada,5.0,-1,Park,?,"29, Koyya Vari Street, Cinema Rd",,,
Manchi Park,3.5,-4,Park,?,Kulai Cheruvu,Open now,,
Anand Bharathi ground,4.0,"-1,899",Exhibition and trade center,?,,Closed,? Opens 5??m,"""The best place for meetings and kid-friendly Nature"""
Church Square Park,4.0,-1,Park,?,W6QP+CCW,,,
Gandhi Nagar Park Kakinada,,,Park,?,X68G+X37,,,
Kakinada beach park,3.8,-22,Park,?,?,,,"""Just a casual place to a evening or morning walk or jog."""
Jawahar Park,3.3,-3,Park,?,X6MJ+69P,Closed,? Opens 4??m,"""Beautiful view ,"""
Ranga Rao Nagar Park,3.4,-108,Park,?,X7M2+2V2,Open 24 hours,,
Boat Club,4.1,"-2,315",Boat club,?,"214, National Highway",Open 24 hours,,"""Green fresh air, playing children nice atmosphere, peace ful place"""
King Kong Cave,4.4,-9,Amusement center,?,"278P+5M6 Maharshi Bulusu Sambamurti, Green Circle, Kakinada - Uppada Beach Rd",,,"""Great job by the organizers & thanks for the wonderful work."""
Kulai cheruvu.,4.8,-6,Tourist attraction,?,X66M+GGG,,,
Venkat Nagar Park,,,Park,?,X6FV+WQ5,,,
Smart Happy Kidz,4.1,-109,Children's amusement center,?,"4th floor, Katyayani Hi-Tech Complex, Main Rd, opp. Apollo Hospital",Closed,? Opens 11??m,"""Well maintained."""
Municipal Park,3.8,-135,Park,?,"2-46-17/A, Venkata Nagar",,,
KMC PARK BOYS,3.7,-7,Park,?,MAHALAXMI NAGAR,Open 24 hours,,
Bus Stop A/C (Vivekananada Park Bus Shelter),3.9,-211,Transportation service,?,X67J+88W,Open,? Closes 11??m,"""Even there is a atm in side mAn
# cOOl"""
Buddha park,3.0,-2,Park,?,"Dept. Civil Engg , Main Building",Open now,,
Indira colony park,,,Park,?,W6MH+HPJ,Open 24 hours,,
Royal Park Hotel,4.1,"-4,267",Hotel,Laid-back hotel with dining & a gym,,,,"""The Royal Park was neat and kept well."""
KALPANA CENTRE BRIDGE,4.0,-514,Bridge,?,?,,,"""Solar power system"""
Ghantashala Venkateswara Rao Bronze Statue,3.7,-3,Memorial park,?,X65M+FG3,Open 24 hours,,"""Statutes of his likeness have been installed across Andhra Pradesh."""
Netaji Park,3.0,-1,Park,?,W6MM+X5G,,,
HOTEL GREEN PARK ELITE KAKINADA,4.3,-96,Lodge,,,,,"""All the necessities are located in the vicinity."""
Tota Gopala Krishna Park,,,Park,?,X66F+3C5,,,
Small Park,1.5,-2,Park,?,"W6PP+W4Q, Market St",Open now,,
Kmc mahila park,,,Park,?,X6CW+77C,Open now,,
Pavan Gardens,4.0,-477,Apartment building,?,?,,,"""Nice location"""
Indira colony park,,,Park,?,W6GQ+VPP,,,
Kulai Cheruvu,4.3,-110,Lake,,,,,"""..."
Food Park Family Restaurant,3.6,"-1,353",Biryani,?,Datlavari St,Opens soon,? 10??m,Dine-in
Kakinada Anchorage Port,4.1,-598,Port,?,?,Open now,,"""And here lots of boats will be parked.They do maintenance of boats."""
District Sports Authority,4.3,"-1,120",Sports complex,?,?,Open,? Closes 8??m,"""Numerous amenities, including tennis, indoor bandminton, and a gym."""
Gandhi Nagar Park Car Parking,5.0,-1,Public parking space,?,X68F+HQ,,,
RMC grounds,4.3,"-1,813",Playground,?,?,Open,? Closes 9??m,"""Morning close at 9.00 am
Only Out side circle allowed for walk/run"""
Dr.YSR Skating Rink,4.3,-198,Roller skating rink,?,"X67M+3JM, Nukalamma Temple St",Closed,? Opens 4??m,"""My kids are here for a summer camp."""
Uppada Beach,4.3,-894,Tourist attraction,?,Kakinada - Uppada Beach Rd,Open now,,"""We can see a lot of birds flying over sky and the view is awesome."""
Mahatma Gandhi Statue,4.0,-2,Memorial park,?,X64P+JR9,Open now,,"""Good looking and perfect shaping of sri Mahatma gandhi"""
"Paradigm Sarovar Portico, Kakinada",4.4,"-5,661",3-star hotel,Casual hotel with dining & city views,,,,Takeaway
Slippers,,,Ecological park,?,Main Rd,,,
Vivekananda Park Library,3.6,-11,Library,?,"X67J+6J4, Nukalamma Temple St",,,"""This makes it a perfect place for anyone who loves books and nature."""
SKS Township Club house & aSwimming pool,4.3,-10,Housing society,?,"High School, D.No. 2-264, Plot No 47, Phase I SKS Mega Township, Ganganapalli, Near Kovvada",,,"""Gated community with security patrolling 24hrs."""
Sri Bhavannarayana Swamy Temple,4.7,"-1,312",Hindu temple,?,2629+F8Q,Open,? Closes 12??m ? Reopens 5??m,"""Well maintained and offers benches for rest."""
Badminton court ragam peta,2.0,-1,Park,?,"X62Q+FR4, Unnamed Road",,,
Sri Bala Tripura Sundari Temple,4.7,"-1,259",Hindu temple,?,X65M+Q54,Open,? Closes 11:30??m ? Reopens 5??m,"""Go early in the morning for a peaceful experience"""
Great Play Back Singer Gantasala Statue,,,Memorial park,?,X65M+CGF,Open now,,
