qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1,doJOZc,W4Efsd 6
Chikmagalur Caffé,4.3,-377,·,?1200,Cafe,·,·,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,,,?,"D.no : 12, By-pass, 455/16/2, Service Rd, near subhamastu Kalyana Mandapam"
Simhadri Coffee Cafe,4.3,-109,·,?1200,Coffee shop,·,"Sontyam, Checkpost",Open,· Closes 9 pm,Dine-in,·,Drive-through,,,,,,
Beyond Bajji The Cafe,4.1,-226,·,?200400,Cafe,·,"D.no : 40, 27-85, Nirmala Convent Rd",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,Reserve a table,?,,
KAFA CAFE & RESTO,4.5,-515,·,"?4001,400",Cafe,·,Apiic,Open,· Closes 11 pm,Dine-in,·,Kerbside pickup,,,Order online,?,,
Brew buzz,4.5,-672,·,"?2001,200",Coffee shop,·,530045,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?,,
Madras Premium Coffee,4.5,-79,·,?1200,Coffee shop,·,"Prakasam Rd, near Health Hospital",Open,· Closes 10 pm,Takeaway,,,,,Order online,?,,
New creative restro cafe,4.6,-262,,,Restaurant,·,No F-2/9,,,Dine-in,·,Takeaway,,,Order online,?,,
Madras Filter Coffee,3.9,-309,·,?1200,Coffee shop,·,·,Open,· Closes 10 pm,Delivery,,,,,,,?,"1-11, Vijayawada Rd"
Madras Filter Coffee - Kalaparru,4.2,"-1,649",·,?1200,Coffee shop,·,tollgate,Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No delivery,,,,
Chikmagalur Caffé,4.2,-39,·,?1200,Coffee store,·,01-Apr,Open,· Closes 10 pm,Delivery,,,,,,,,
CAFFEINE CUPS,4.7,-167,·,?1200,Coffee shop,·,·,Open,· Closes 9:30 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,,,?,"SHOP NO 6-A , APTDC FOOD COURT, INSIDE RUSHIKONDA BEACH, RUSHIKONDA BEACH"
TJ'S Delice Cafe,5.0,-12,·,?200400,Coffee shop,·,"53, Veramachaneni Krishna Rao St",Open,· Closes 11 pm,Dine-in,·,Takeaway,,,Order online,?,,
Vault Brewery and Restaurant,4.2,"-3,448",,,Brewpub,·,·,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Reserve a table,?,?,VSN Mall
Hush Coffee,4.3,-500,·,?200400,Cafe,·,Rangoon meda street,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,,,,
COFFEE ORIGINS,4.6,-13,,,Coffee shop,·,"6, Major District Road",Open,· Closes 10 pm,Takeaway,,,,,,,,
ARAKU COFFEE,4.2,-271,·,?1200,Coffee shop,·,·,Open,· Closes 10 pm,Dine-in,·,Takeaway,·,Delivery,,,?,"Amaravathi Rd, opp. Anjaneya Swamy Temple"
The Krishna Cafe,4.7,-3,,,Chinese,·,"27-33-31, Gudavallivari Street, Besant Rd",Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Reserve a table,?,,
THE CAFE STOP,3.9,-639,·,?1200,Coffee shop,·,·,Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,,,?,Vijayawada - Guntur Hwy
OpenCafé,4.6,-128,·,?200400,Restaurant,·,·,Open,· Closes 8 pm,Dine-in,·,Kerbside pickup,·,Delivery,Order online,?,?,Parimi-Neerukonda Road
Chennapatnam filter coffee,5.0,-11,·,?1200,Coffee shop,·,P4PV+MQ,Open,· Closes 11 pm,Takeaway,,,,,,,,
Suto Cafe - VISAKHAPATNAM,4.3,-111,·,?200400,Cafe,·,"SRI SAI SOUDHA (GROUND FLOOR) PLOT HIG 737, 100 FEET ROAD, LAYOUT",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?,,
Durgasaikrishna tea and tiffin center,4.4,-11,,,Coffee shop,·,"3XJQ+96Q, Peddakallepalli - Mopidevi Rd",Open now,,Dine-in,·,Drive-through,,,,,,
The Cio cafe & food's,4.3,-3,,,Cafe,·,"Dr.no: 32-15-12, satavahana college, opposite Chandra Rajeswara Rao Raod",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,,,,
Sri Krishna Poojitha FILTER COFFEE,5.0,-2,,,Coffee shop,·,GM5C+FJ5,Open,· Closes 11 pm,,,,,,,,,
SRI ANJANEYA COFFEE WORKS,5.0,-2,,,Coffee shop,·,"shop no 3, opposite, Police Station Rd",Open,· Closes 1:30 pm · Reopens 4 pm,,,,,,,,,
Balance Cafe,4.4,-13,,,Art center,·,54-26,,,Dine-in,·,Kerbside pickup,·,No-contact delivery,,,,
Lahsun Coffee Shop,4.0,-30,,,Coffee shop,·,"Shop No. 23-37-168, Mahatma Gandhi Rd, Bandar Road",Open,· Closes 9 pm,Dine-in,·,Takeaway,,,,,,
Jonaki - The Coffee Shop,4.5,"-1,148",·,?200400,Cafe,·,"23A/2, Sukanta Sarani",Closed,· Opens 1 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?,,
Sri Vinayaka Alpha Cafe,4.0,-612,·,?1200,Coffee shop,·,8C6M+3FP,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,,,
Royal Cafe,4.3,-64,·,?1200,Coffee shop,·,near Hp Petrol Pump,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,,,
HEAVEN IN A CUP,4.8,-4,,,Coffee shop,·,"11-23, opp. Lorry Parking",Open,· Closes 10:30 pm,"""the tea and coffee are excellent.""",,,,,,,,
The Cage Cafe,4.1,"-4,725",·,?200400,Cafe,·,·,Opens soon,· 11:30 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?,?,"No F, 2/7"
EXULT COFFEE HOUSE,4.6,-27,·,?1800,Coffee shop,·,"3-61/11, 100 Feet Rd, opp. SUN FLOWER SCHOOL",Open,· Closes 10 pm,Dine-in,·,Kerbside pickup,,,,,,
Madras Premium Coffee,4.3,-33,·,?1200,Coffee shop,,,Open,· Closes 10 pm,Dine-in,·,Drive-through,,,,,,
Madras Premium Coffee,4.5,-94,·,?1200,Coffee shop,·,GR6Q+RW4,Open 24 hours,,Dine-in,,,,,,,,
Vintage Filter Coffee,4.3,-52,·,?1200,Coffee shop,·,HQCF+X9X,Open 24 hours,,Dine-in,,,,,,,,
Rong Chaa,4.8,-58,·,?1200,Cafe,·,"Don Bosco Rd, near Merry Don Bosco English Medium School",Closed,· Opens 6 pm,Dine-in,·,Drive-through,,,,,,
KUMBAKONAM FILTER COFFEE - BEST COFFEE IN GUNTUR,4.2,-154,·,?1200,Coffee shop,·,"Mahatma Gandhi Inner Ring Rd, beside Wagon Wheel Pizza",Open,· Closes 10 pm,Delivery,,,,,,,,
Beans Beyond Coffee | Best Coffe Shop in Vijayawada,4.4,-94,·,?200400,Cafe,·,VSN MALL GANTASALA VARI ROAD,,,Takeaway,,,,,,,,
Kumar Soda Hub,4.1,-12,,,Coffee shop,·,Repalle Rd,Open now,,Dine-in,·,Takeaway,,,,,,
Andhra Filter Coffee,5.0,-6,·,?1200,Coffee shop,·,"shop1&2.ground floor, FM plaza",Open,· Closes 10 pm,Takeaway,,,,,,,,
RUSH CAFE,4.0,"-2,072",·,?1200,Restaurant,·,·,Open,· Closes 2 am,Dine-in,·,Kerbside pickup,·,No-contact delivery,,,?,"NH 5, Near Thammavaram, Junction"
Klub F5 Coffee Shop,4.2,"-2,274",·,?200400,Coffee shop,·,2nd St,,,"""No crowd at all, but a good place to sit and talk with friends.""",,,,,,,,
Alfa Irani Cafe Arabian Mandi,4.0,"-2,533",·,?200400,Biryani,·,33-4-19 Pushpa Hotel Rd,Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,No-contact delivery,,,,
Stories hangout cafe,4.2,-68,·,?200400,Cafe,·,Q9VM+2JH it junction,Closed,· Opens 1 pm,Dine-in,·,Takeaway,·,No-contact delivery,,,,
Krishna Cafe,3.8,-156,·,?1200,Restaurant,·,"Door No :15-11-150, Beside Mediline Hospital, Near Padmaja Petrol Bunk Mangalagiri Road, Guntur - Vijayawada Hwy",Open,· Closes 9 pm,Dine-in,·,Takeaway,,,,,,
PINAKA CAFFE,4.7,-15,·,?200400,Cafe,·,"KALYANI ABODE, 9-170/1, opp. GVP WOMENS ENGINEERING COLLEGE",Open,· Closes 10 pm,Dine-in,·,Kerbside pickup,·,Delivery,Order online,?,,
"Coffee day (Cappuccino, Espresso) & Kwality walls Ice cream (C/o- Donthu Cool Drinks)",4.5,-41,·,?1200,Coffee shop,·,"1-567-e, Donthu Satya Prasad, C/O, Bantumilli Rd, next to alankrutha function hall",Open,· Closes 2 pm · Reopens 4 pm,Delivery,,,,,,,,
CB Diner Krishna Nagar Pure Veg,4.2,-201,·,"?2001,200",North Indian,·,"F-3/2, near Sehgal Bakery",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?,,
Cafe Nearby,5.0,-2,,,Cafe,·,"64-1-27/B/1, Krishna Veni School Rd, beside Karur Vysya bank",,,Dine-in,·,Kerbside pickup,·,Delivery,Order online,?,,
Madras Filter Coffee,4.1,-9,,,Cafe,·,Interns Hostel,Open,· Closes 7:30 pm,Takeaway,,,,,,,,
DHANA LAKSHMI SNACKS,4.8,-41,·,?200400,Restaurant,·,opp RK COLLEGE machilipatnam krishna district pin code :-521001,Closed,· Opens 4 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?,,
The Village Cafe,4.0,"-2,147",·,?200400,Cafe,·,·,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?,?,"A9, Shivpuri, Golden Park Chander Nagar"
DeadFit Cafe & Co,3.9,-17,·,?200400,Cafe,·,"F2, 31",,,Dine-in,·,Takeaway,·,Delivery,Order online,?,,
Café Delite,4.1,-44,,,Cafe,·,"6-9/9, beside Durga Theatre",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,,,,
Kyaari - Lounge & Skydiner Restaurant,4.7,"-1,320",·,"?2,000+",Restaurant,·,·,Open,· Closes 11:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,,,?,"F-2/9, above Bharat Dry Fruits"
Krishna Gari Hotel,4.4,-123,·,?1200,Restaurant,,,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,,,
R K genarals and cool drinks,4.0,-65,·,?,Breakfast,·,"No. 7-34, Krishna Dist., opp. SERM HIGH SCHOOl",Closed,· Opens 4 pm,Dine-in,·,Takeaway,,,,,,
Vikky's Cafe & Bistro,3.9,-26,·,?1600,Cafe,·,"Door no 3, 120",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?,,
Dharani Tea Stall,3.9,-195,·,?1200,Coffee shop,·,HVRP+5PC,Open,· Closes 8 pm,Drive-through,,,,,,,,
Foodie Heist Cafe - Best Theme Cafe in Krishna Nagar,4.1,-222,·,?200400,North Indian,·,·,Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?,?,"F 2/6, opposite HDFC bank"
Murugan Dhaba Nandigama,4.2,"-1,418",·,?1200,Dhaba,·,"P8G6+6QH, NH 65",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,No-contact delivery,,,,
SHIVASHIVA,4.3,-18,,,Coffee shop,·,"M273+FP4, ANDHRAPRADESH",Open 24 hours,,Drive-through,,,,,,,,
Rs cafe,,,,,Coffee shop,·,off chitralahari family restaurant,Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,,,,
Madras Premium Coffee,4.1,-8,,,Cafe,·,"8C2Q+P55, 4th Ln",Open,· Closes 10 pm,Takeaway,,,,,,,,
Cafe,,,,,Cafe,,,,,Dine-in,,,,,,,,
Cafe Rio,4.0,-27,·,??,Cafe,·,"Altius Villas, IT-SEZ road",Open,· Closes 11 pm,Dine-in,·,Takeaway,,,,,,Counter-serve chain for Mexican fare
Darbar The cafe,4.2,-17,,,Tea store,·,"Murali Krishna hospital road, opposite to Fire station",Open,· Closes 12 am,Dine-in,·,Takeaway,·,Delivery,,,,
NEW COFFEE DAY STORE,4.0,-7,·,??,Coffee shop,·,"Shop No1, High School Rd",Open,· Closes 9 pm,Dine-in,·,Takeaway,·,No-contact delivery,,,,
Ramaiah mess,4.1,-565,·,?1200,Indian,·,·,Open,· Closes 10 pm,"""",,Coffee,,"counter to be in the premises.""",,,?,54VV+833
Krishna Cafe,5.0,-9,,,Tea store,·,"Gunturvari Thota 8 Th Lane Guntur, Kothapeta, opp. Suraksha hospital",Open,· Closes 10 pm,"""Coffee n ginger tea taste is ultimate..""",,,,,,,,
Sri Lakshmi Sai Swagruha Food Junction,3.9,-551,·,?1200,Food court,·,·,Open,· Closes 10 pm,"""A good place to hangout on evening for a cup of tea/",,coffee,,".""",,,?,"Vijayawada road, beside to panchayti office"
Ethree,4.3,"-7,415",·,?200400,Restaurant,·,,Open,· Closes 12 am,"""",,Coffee,,"and the view is a great combination.""",,,?,
Golden spoon cafe & restro | Best Cafe in Mathura | Best Restro in Mathura | Best Hukka Bar in Mathura,4.6,-202,·,"?11,000",Cafe,·,"NH2 highway, near Moti Manzil",Open,· Closes 9 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?,,
SVS CAFE,4.9,-10,,,Coffee shop,·,"WH4J+R8P, Chintalacheruvu - Nagireddy Palle Rd",,,Dine-in,·,Takeaway,·,Delivery,,,,
Koneru Center,4.3,"-1,247",,,Ice Cream,·,·,Open 24 hours,,On-site services,,,,,,,?,"54JJ+C4R, Pachari Kotula Ln"
"Nothing Before Coffee - Krishna Nagar, Dehradun",4.6,-551,·,?200400,Coffee shop,·,"841, 3, Kaulagarh Rd, near shri enterprises, beside archies",Open,· Closes 11:30 pm,Dine-in,·,Kerbside pickup,·,Delivery,Order online,?,,
Kumbakonam Degree Coffee,4.7,-28,,,Coffee store,·,"D.No # 76-8-28A, Nature Greens, Besids Reliance Trends, Swathi Theatre Rd",Open,· Closes 10 pm,Delivery,,,,,,,,
The Black Ganache,4.4,-74,·,?200400,Cafe,·,"The Black Ganache Bakery&Cafe, A - 63, opp. Punjab National Bank",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,Delivery,Order online,?,,
Subway Surya Vijayawada AP,4.1,"-3,042",·,?200400,Cafe,·,·,Open,· Closes 2 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?,?,"Flat #3, Surya Satya, 40-6-22/1A, Murali Fortune Rd"
Highway Nest Coffee Shop,2.5,-2,,,Coffee shop,·,"V5P5+649, Hyderabad - Vijayawada Hwy",Open 24 hours,,Dine-in,,,,,,,,
Golden spoon cafe& restro krishna nagar,5.0,-3,,,Cafe,·,"22 A, Link Rd, near hotel madhuvan",Open,· Closes 8 pm,Dine-in,·,Kerbside pickup,·,Delivery,,,,
Yo Jo Cafe,4.5,-89,·,?200400,Cafe,·,"Team9 Sports Arena, 52-1-16-8, Road No. 4",,,"""Snacks are very good here,, mocktails also, b Must try.""",,,,,,,,
Jagapathi Pan Shop,4.2,-177,·,?1200,Cafe,·,"8XF5+8P8, main road,beside old indian bank,chowdary pet, Vijayawada Rd",Open,· Closes 9 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,,,,
Paritala karimulla tea stall,5.0,-2,,,Tea store,·,Krishna taluk of Krishna district,Open,· Closes 8 pm,,,,,,,,,
Mastanayya Tea & Pan Shop,4.4,-24,·,?1200,Coffee shop,·,Tea shop,Open,· Closes 10:30 pm,Drive-through,,,,,,,,
Mastanayya Tea & Pan Shop,4.4,-24,·,?1200,Coffee shop,·,Tea shop,Open,· Closes 10:30 pm,Drive-through,,,,,,,,
Coffee Day Fresh 'n Ground,4.3,-16,·,??,Coffee shop,·,"Andhra bank(union bank, PM Palem Main Road, opposite road",,,Takeaway,,,,,,,,
Magic blended cafe,4.7,-13,·,?1200,Cafe,·,"F1/9, Krishna Nagar Lal Quarter, Mandir Marg, beside F1/9",,,"""good food and drinks amezing
servic 5 star""",,,,,,,,
Sweet Magic,3.8,"-7,243",·,?200400,Andhra,·,·,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,Reserve a table,?,?,"Bus Stop, 56-11, 13/2, MG Rd, 11-16, Donka Rd, near Sangeetha Gadgets - Vijayawada (Patamata)"
The Hide Resto Cafe,4.7,-42,·,?200400,North Indian,·,"Besides KIA service center, Near SreeKanya Cinepolis, IT Junction road",,,"""Nice food nice location""",,,,,,,,
Sai krishna tea & tiffins,2.3,-10,,,Restaurant,·,54VV+833,,,Dine-in,·,Takeaway,,,,,,
Ice Age Creamery,4.6,-259,,,Ice Cream,·,·,Open,· Closes 1 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?,?,"Krishna Nagar Main Rd, Beside Paradise, Brundavan Gardens, 1, St Line"
Sunway Cafe,5.0,-1,,,Cafe,·,near carte line,Open,· Closes 11 pm,Dine-in,·,Kerbside pickup,·,Delivery,,,,
FRIENDS CAFE,4.1,-55,,,Tea store,,,Open now,,Dine-in,·,Takeaway,,,,,,
ss cafe-Best cafe in vijayawada,,,,,Coffee shop,·,"1-4 bayyavaram krosur, Sattenapalli Amaravathi Rd",Closed,· Opens 5 am Tue,Dine-in,·,Kerbside pickup,·,Delivery,,,,
ZOLO Diner,4.2,-316,·,"?2001,200",Restaurant,·,·,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?,?,"First Floor, ZOLO Diner, A-34"
Sri Durga Bhavani Bakery and Curry Point,4.2,-13,,,Food & Beverage Exporter,·,61-7/3-1,Open,· Closes 10 pm,Takeaway,,,,,,,,
Bhuvi's Billiards Cafe,4.8,-96,,,Pool hall,·,Amaravathi Rd,Open,· Closes 11 pm,"""Cool drinking water is available too.""",,,,,,,,
Tea 9 cafe,4.3,-15,,,Tea house,·,"ML company, Krishna Mahal road, opposite Chilakaluripeta",Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No delivery,,,,
RK Good Times,3.9,"-2,732",,,Hotel,·,"21/74, Revathi Center, Main Road, National Highway 214A",,,"""Food is freshly made and to the order.""",,,,,,,,
Paradise net cafe,4.3,-40,,,Internet cafe,·,"Block no :84,Daba, kotlu centre, 43-1-11, Main Road",Opens soon,· 11:30 am,"""If u have any work, i firstly prefer this netcafe.""",,,,,,,,
Madras Coffee House,3.3,-9,·,??,Coffee shop,·,89HQ+CWH Peda Palakaluru Cheruvu,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,,,
Hotel Sri Srinivasa A/C,3.7,-649,·,?1200,Biryani,·,·,Open 24 hours,,Dine-in,·,Takeaway,·,Delivery,,,?,Vijayawada - Avanigadda - Hamsaladeevi Beach Rd
O2 NET CAFE,4.2,-104,,,Internet cafe,·,·,Open 24 hours,,"""Nice service""",,,,,,,?,"Pillar Center, FOUR, Vidhyadharapuram Main Rd, opp. INDANE GAS"
Kanuru Net Cafe,4.5,-66,,,Consultant,·,FMXR+3CQ Gandhi bomma center,Open,· Closes 2 pm · Reopens 5 pm,Dine-in,,,,,,,,
