qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
Bhavapuri Biriyanis,4.1,"-2,909",·,?200400,Biryani,·,"No. 501/3, konachamber, Radham Bazar Rd",Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
NIHAL FAMILY RESTAURANT BAPATLA,4.4,-168,·,?400600,Restaurant,·,"Sikaram, Vinjamuri Vari Street",Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,,
Aadhyas Food Court,4.7,-44,·,?1200,Restaurant,·,"216 - highway, Vedullapalli - Vodarevu Rd, beside old cinema hall",Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
BOMMARILLU GRAND RESTAURANT,3.8,-801,·,?200400,Restaurant,·,"1st floor, pagadala Grand, Located at, near anjaneya swamy temple",Closed,· Opens 12 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,,
RR GOLDEN CAFE,5.0,-6,,,Tea store,·,"Surya Lanka Rd, beside anjaneyaswami temple",,,"""Superb quality and taste must try hyderabadiirani chai and bun maska""",,,,,,
Kondapalli's Kitchen,4.8,-117,·,?1200,Restaurant,·,"4-179A, GBC Rd, beside Reliance Petrol Bunk",Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,Delivery,Order online,?
YV's Hungry Island,3.9,-79,,,Restaurant,·,"Bapatla engineering college road, opposite ramalayam",Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
SARAHS FEAST Family Restaurant,4.1,-11,·,?200400,Coffee shop,·,"road, opposite of Market Yard, beside the NH216",,,Dine-in,,,,,,
Rajesh Net Cafe,4.8,-70,,,Internet cafe,·,NH 216,Open,· Closes 9 pm,"""Bro work is too fast and perfect.""",,,,,,
Zam Zam Irani chai,5.0,-2,,,Coffee shop,·,WF3C+Q29,,,,,,,,,
"NICE Restaurant , BAPATLA",3.7,"-2,079",·,?200400,Indian,·,"2nd Floor, Sai Chambers, GBC Rd",Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Varun Restaurant,4.7,-353,·,?200400,Family-friendly,·,"Second Floor, D. No. 6-8-37, GBC Rd, opposite Municipal Office",Closed,· Opens 11:30 am,Dine-in,·,Kerbside pickup,·,Delivery,Order online,?
Rock & Roll Restaurant,4.1,-968,·,?200400,Family-friendly,·,·,Closed,· Opens 12 pm,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,?
Hotel Vaishnavi,4.1,-226,·,"?2001,000",Restaurant,·,·,Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
TEA TIME,3.9,-76,,,Tea store,·,,Open,· Closes 10 pm,Delivery,,,,,,
"POPIN'S (SNACKS, SHAKES & MORE)",3.7,-141,·,?200400,Hamburger,·,AG College Rd,Open,· Closes 10 pm,Dine-in,·,Drive-through,·,Delivery,,
CHAI DUNIYA TEA CAFE,4.6,-8,,,Cafe,·,·,Open,· Closes 5 pm,Dine-in,·,No delivery,,,,
Royal Cafe,4.3,-64,·,?1200,Coffee shop,·,near Hp Petrol Pump,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
Tenali Biryanis Bapatla,4.9,-84,·,?200400,Family-friendly,·,"10-2-104, Srungarapuram",Closed,· Opens 12 pm,Dine-in,·,Takeaway,,,Order online,?
Sainath Restaurant & Ice Cream Parlour,3.7,-160,·,?1200,Breakfast,·,·,Open,· Closes 10:30 pm,Dine-in,·,Drive-through,·,Delivery,,
"Faaz Chai House,near Old Bustand",5.0,-1,,,Coffee shop,·,"Anjuman Complex, 12-101",,,,,,,,,
Eagle Bar,3.6,-218,·,?200400,Gastropub,·,"WF4C+49M, MG Rd",Open,· Closes 10 pm,Dine-in,·,Drive-through,,,,
Madras Premium Coffee,4.5,-79,·,?1200,Coffee shop,·,"Madhu Building, Road, opp. Open Theater, near Subhankara Restaurant",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No delivery,,
Annapurna Mess and Catering,4.2,-707,·,?1200,Andhra,·,12519,Opens soon,· 11 am,Dine-in,·,Drive-through,·,Delivery,,
IRANI CHAI CAFE,1.0,-1,,,Coffee shop,·,VCQP+99 Atal Bihari Vajpayee Statu,,,Dine-in,,,,,,
swagath tiffin center,4.1,-45,·,?1200,Restaurant,·,GBC Rd,Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
Raza Ice Cream & juice Parlour,4.1,-620,·,??,Ice Cream,·,,Open,· Closes 10 pm,Delivery,,,,,,
Hyderabad Dum Biryani,4.6,-36,·,?200400,Family-friendly,·,"Main Center, Vedullapalli - Vodarevu Rd",Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
Pardhu Family Dhaba,4.0,-246,·,?200400,Family-friendly,·,"Opposite HolyCrossschool, NH 216",Closed,· Opens 11:30 am,Dine-in,·,Drive-through,,,,
Koli hut- Fivestar chicken,3.9,-323,·,?1800,Chicken,·,"Bapatla old busstand, Guntur - Chirala Rd, opposite CBZ church",Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Chilli's Family Restaurant,3.6,"-1,274",·,?200400,Family-friendly,·,·,Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,Delivery,,
Mukanda Tea & Snacks,4.2,-244,·,?1200,Cafe,·,"WGPJ+W2R, NH 216",Open,· Closes 10 pm,Drive-through,·,Delivery,,,,
Borra foods,4.6,-9,·,?1200,Restaurant,·,"Railway Station Rd, opposite Sivalayam",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?
Godavari Ruchulu,3.9,-61,·,?1200,Biryani,·,"WF3C+R23, GBC Rd",Closed,· Opens 12 pm,Dine-in,·,Takeaway,·,Delivery,Order online,?
Hotel Swaraj,4.7,-154,,,Restaurant,·,"near RTO office, beside Maruthi Suzuki Showroom",,,Dine-in,,,,,Order online,?
JV Grand Restaruant,3.9,-115,·,"?2001,200",Fast Food,·,"Shop No 4, AG College Rd, beside sbi bank",Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Tirumala Internet Cafe,4.5,-2,,,Internet cafe,·,WF4F+CJ5,Open,· Closes 9 pm,,,,,,,
Durga villas,4.9,-21,·,"?2001,000",Family-friendly,·,,Open,· Closes 12 am,Dine-in,·,Drive-through,·,No-contact delivery,,
TEA TIMES,,,,,Coffee shop,·,NH 216,Open,· Closes 10 pm,,,,,,,
Gurus Food Court,3.9,-33,·,?1200,Family-friendly,·,·,Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
SUDHAKAR MEALS,3.9,-32,,,Andhra,·,"Patel Nagar 4th line, opposite new bus stop",Open,· Closes 11 pm,Dine-in,·,Drive-through,·,Delivery,Order online,?
Bapatla Famous Bajji,5.0,-1,,,Fast Food,·,"VFX9+6V8, Surya Lanka Beach Road",,,,,,,,,
Vijaya Durga tea and cool drinks,5.0,-8,,,Cafe,·,Road,,,Dine-in,·,Takeaway,·,No delivery,,
HANNA TEA CAFE,4.3,-3,,,Tea store,·,near Vetapalem,Open,· Closes 10 pm,,,,,,,
Haritha Beach Resort Suryalanka,3.9,"-4,646",,,3-star hotel,Resort made up of beach bungalows,,,,"""Food quality is fresh and healthy.""",,,,,,
Bapatla Badam Milk,3.5,-59,·,?1200,Juice,·,"R9F2+29M, Kotla Bazaar",Open,· Closes 8 pm,Drive-through,,,,,,
Mastanayya InterNet,5.0,-147,,,Internet cafe,,,Open,· Closes 10 pm,"""good inter net at vetapalem""",,,,,,
P R NET CENTER,5.0,-6,,,Internet cafe,·,"M COMPOUND AREA, A B, opp. FOOD AND SCIENCE COLLEGE",Open,· Closes 9 pm,,,,,,,
Nagaraju Biryani Point,4.5,-19,·,?1200,Biryani,·,NH 216,Closed,· Opens 12 pm Tue,Dine-in,·,Takeaway,·,Delivery,,
Madras Filter Coffee,4.2,-224,·,?1200,Indian,·,V3MC+27R,Open,· Closes 11 pm,Dine-in,·,Takeaway,,,,
Vijayadurga Mess Bapatla Newbusstand,3.6,-26,,,Chinese,·,"WF5H+5PQ, NH 216",Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
Vtreat restaurant,3.8,-9,,,Restaurant,·,"14-4-35, 522101, Masjid Rd",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,,,,
ZAM ZAM TEA STALL,4.1,-138,·,?,Cafe,·,"2 9, Bapatla Road, near Gameshon Mill",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
PURNA FAMILY RESTAURANT,4.8,-8,·,?200400,Restaurant,,,,,Dine-in,·,Takeaway,,,,
PIZZA CENTRAL,4.0,-104,·,?200400,Pizza,·,"vijayadigitals, SLn pride building, back side AG College Road",Opens soon,· 11 am,Dine-in,·,Kerbside pickup,·,No-contact delivery,Order online,?
Rambabu biriyani point,3.7,-244,·,?1200,Biryani,·,"VFX9+MP5, AG College Rd",Closed,· Opens 12 pm,Dine-in,·,Drive-through,·,Delivery,,
Rose Cafe - Multi Cuisine Restaurant,4.7,"-1,819",,,Restaurant,·,·,Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No delivery,Order online,?
"Madras Premium Coffee, Kandukur",4.8,-54,·,?1200,Coffee shop,·,6W62+9P6,Open,· Closes 10 pm,Takeaway,,,,,,
Cappuccino Cafe,4.2,-148,,,Coffee shop,·,"Mangamuru Rd, Near SBI Bank",Open,· Closes 10:30 pm,Dine-in,·,Takeaway,·,No-contact delivery,,
Ruchi Punjabi Dhaba,4.9,-28,,,Restaurant,,,,,Dine-in,·,Drive-through,·,No-contact delivery,,
Bulli abbaii kirana &hotel store,4.0,-4,,,Coffee shop,·,"70, Bapatla Parchuru, Rd, opp. MASJID CENTER",,,,,,,,,
Bapatla Beach,4.5,"-3,135",,,Tourist attraction,·,,Open,· Closes 5 pm,On-site services,,,,,,
HIDEOUT CAFE,1.0,-1,,,Cafe,·,"HIDEOUT CAFE, GBC Rd, beside sai palace",,,Dine-in,,,,,,
Nataraja Cafe,3.4,-5,,,Cafe,·,"WF49+45W, Radham Bazar Rd",,,,,,,,,
Uday Net Cafe,5.0,-6,,,Print shop,,,Open 24 hours,,Delivery,,,,,,
VIMAL TEA CAFE,4.8,-10,,,Tea store,·,SH 40,Open,· Closes 9:30 pm,"""Nice tea point, good quality.""",,,,,,
Hotel Sri swagath,3.7,-18,·,?1200,Vegetarian,·,"6-6-5, Bapatla Rd, Srungarapuram",Open,· Closes 10 pm,Dine-in,·,Drive-through,,,,
VJ grand family restarant,4.3,-428,·,?200400,Family-friendly,·,"Teachers Colony, Bapatla Road, SH 40",Closed,· Opens 11:30 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
Siva Krishna Reddy,,,,,Coffee shop,·,WF38+HVC,,,,,,,,,
Dhanalakshmi Cooldrink Shop,4.4,-8,,,Coffee shop,·,"Ntr, Market St",,,,,,,,,
Gopi Chicken Pokadi,3.6,-213,·,?,Chicken,·,·,Closed,· Opens 5 pm,Takeaway,,,,,,
Annapurna Curries Point,3.8,-33,,,Fast Food,·,·,Closed,· Opens 6:30 pm,Takeaway,,,,,,
ARAKU COFFEE,3.7,-32,·,?1200,Cafe,·,P2F5+XJF,Open 24 hours,,Dine-in,·,Drive-through,·,No-contact delivery,,
SPICY CHEF RESTAURANT,4.4,-141,·,?1400,Restaurant,·,·,,,"""Very less options for vegetarians but the taste is good""",,,,,,
Yuvaraj Fast Food Center,4.0,-7,·,?1200,Fast Food,·,AG College Rd,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
HIGHWAY CAFE AND RESTAURANT UNLIMITED,4.0,-48,·,?1200,Coffee shop,,,Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,No-contact delivery,Order online,?
TEA ZONE,4.2,-22,,,Coffee shop,·,"J2CC+M8Q, Chennai - Kolkata Hwy",Open,· Closes 9 pm,Dine-in,·,Drive-through,,,,
Red Bucket Biryani - Best Biryani Takeaway | Bapatla,3.8,-105,·,?200400,Biryani,·,"Cheelu Road, opp. HP petrol Station, near New Bus stand",,,"""Food is good and tasty.""",,,,,,
Sai Ganesh Xerox shop,4.2,-5,,,Internet cafe,·,"PIN CODE, LANDMARK, 522101, opp. RAZA ICE CREAM PARLOUR",Open,· Closes 10 pm,,,,,,,
Hotel Kona Bhavan,3.7,"-1,334",,,Restaurant,,,,,"""Best in bapatla, not many choices you have in the town""",,,,,,
Madras premium filter coffee-Ongole-Five star rated,4.5,-20,·,?1200,Coffee shop,·,"Mangamuru Rd, near koutilya super market",Open,· Closes 10 pm,Dine-in,·,Takeaway,,,,
Zam zam tea center,,,,,Coffee shop,·,"WF5H+5GJ, Guntur - Chirala Rd",,,Dine-in,,,,,,
js internet cafe,4.4,-71,,,Internet cafe,·,·,Open,· Closes 9 pm,"""Good Service.""",,,,,,
Bapatla Suryalanka Beach,4.4,"-1,512",,,Tourist attraction,,,Open,· Closes 6 pm,On-site services,,,,,,
The Fruitify Café,4.0,-278,·,?1600,Cafe,·,·,Open,· Closes 12 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
SSV INTERNET AND XEROX,3.8,-4,,,Internet cafe,·,"MAIN GATE, Bapatla College Of Arts and Science, OPP:, Main Rod",Open,· Closes 9:30 pm,,,,,,,
Ruchi Star Family Restaurantnt,4.0,-185,·,?1800,Fast Food,,,,,,,,,,,
BIGBOSS MULTI CUSINE RESTAURANT,4.0,-631,·,?200400,Restaurant,·,"On, Bhavani Centre, NH16 Highway",Open,· Closes 11:30 pm,Dine-in,·,Drive-through,·,Delivery,,
Highway Cafe And Restaurant,3.9,"-1,282",·,?1200,Cafe,·,"NH16, Bypass, beside Bharat Petrol Bunk",,,"""Easy access, delicious food and clean washroom""",,,,,,
Central Cafe,3.8,-811,·,?1200,Cafe,·,"Court Street, 35-3-88, Gandhi Rd",Open,· Closes 10 pm,Dine-in,·,Drive-through,·,No-contact delivery,,
Royal Oak Resorts,4.5,-374,,,Resort hotel,·,"RGV4+6W9 Surya Lanka, Beach",,,"""Gorgeous ambience, great food, great service.""",,,,,,
ROYAL T HOUSE,4.3,-6,,,Tea store,,,,,"""Ginger tea is good""",,,,,,
Bapatla Guest House,4.3,-139,,,Hotel,·,"ECO House, 4-2-89/a, road, near panduranga swamy temple",,,"""Excellent hospitality healthy food ??""",,,,,,
AL MADHEENA BIRYANI POINT,3.9,-121,·,?1200,Biryani,,,,,"""Tasty food and good service and eligible costs""",,,,,,
Kavuri Grand,4.8,-504,,,Hotel,·,"Surya Lanka Beach Road, beside substation",,,"""The food was fair priced and amazingly tasty.""",,,,,,
ANU CAFE,4.2,-64,·,?1200,Coffee shop,·,"3P8R+PJP, Karampodi road, Bolla brahmanaidu convention, opposite Vinukonda",,,Dine-in,·,Drive-through,,,,
Lotus Pond Resort & spa,3.7,"-1,107",,,Resort hotel,·,Road,,,"""Friendly atmosphere and working staff is good and nice service""",,,,,,
ROYAL CAFE,4.6,-42,·,?1200,Coffee shop,·,"One Town One Town Area, 523001, Police Station Road",Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,?
Tea Zone,5.0,-5,,,Coffee shop,,,,,Dine-in,,,,,,
Uday net cafe Branch 2,5.0,-1,,,Print shop,·,opposite Bapatla Junior College,,,,,,,,,
Venkateswaramma Tiffin Centre,,,,,Coffee shop,·,"RGXM+FGJ, Bapatla Suryalanka Road",,,,,,,,,
