card-heading,slick-prev,slick-next,slick-dots,slick-dots 2,slick-dots 3,slick-dots 4,hotel-neighbourhood,hotel-neighbourhood 2,rating-badge,rating-count,price,text-muted,slick-dots 5,slick-dots 6,slick-dots 7,card-body,readMoreSmall,clickable,moreTextHidden,hotel-featured-data
11. Vistaram @ 402,Previous,Next,2.0,3.0,4.0,5.0,1.9 kms from Vizianagaram Station,# 11  hotel in  Vizianagaram,6.5,(8Â reviews),"â‚¹1,150",onwards,,,,,,,,
12. Townhouse 1439 The B&W Motel,Previous,Next,2.0,3.0,4.0,5.0,40.9 kms from city centre,# 12  hotel in  Vizianagaram,6.5,(4Â reviews),"â‚¹3,642",onwards,6.0,7.0,8.0,"Facilities:
     Wifi, Food",,,,
13. S Conventions and TSR Grand,Previous,Next,2.0,3.0,4.0,5.0,400 m from Vizianagaram Station,# 13  hotel in  Vizianagaram,9.2,(2Â reviews),"â‚¹2,024",onwards,,,,,,,,
14. Hotel O Sri Sairam Residency,Previous,Next,2.0,3.0,4.0,5.0,42.1 kms from city centre,# 14  hotel in  Vizianagaram,,(3Â reviews),"â‚¹3,011",onwards,6.0,7.0,8.0,"Facilities:
     Wifi, Bar, Food",,,,Hotel with only 1 room option
15. Midas Touch Casa,Previous,Next,2.0,3.0,4.0,5.0,11.4 kms from city centre,# 15  hotel in  Vizianagaram,,,,,6.0,7.0,8.0,"Facilities:
     Wifi, Pool",,Enter dates  to see price,,Villa with only 1 room option
16. Hangout Hills Resorts,Previous,Next,2.0,3.0,4.0,5.0,6.3 kms from Srungavarapukota Station,# 16  hotel in  Vizianagaram,,,"â‚¹2,228",onwards,6.0,7.0,8.0,"Facilities:
     Pool, Garden",,,,Resort with 5 room options
17. The Hive,Previous,Next,2.0,3.0,4.0,5.0,34.1 kms from city centre,# 17  hotel in  Vizianagaram,,,"â‚¹3,800",onwards,6.0,7.0,8.0,"Facilities:
     Wifi, Beach, Pool, Concierge Service, Food, Shuttle Service",,,,4 star hotel with 3 room options
18. Sky Mountain Guest House,Previous,Next,2.0,3.0,4.0,5.0,39.3 kms from city centre,# 18  hotel in  Vizianagaram,,,"â‚¹2,400",onwards,6.0,7.0,8.0,"Facilities:
     Wifi",,,,Homestay with only 1 room option
19. Hotel Mayura,Previous,Next,2.0,3.0,4.0,5.0,400 m from Vizianagaram Station,# 19  hotel in  Vizianagaram,,,,,6.0,,,,,Enter dates  to see price,,
20. Anupriya Residency,Previous,Next,2.0,3.0,4.0,5.0,1.7 kms from Vizianagaram Station,# 20  hotel in  Vizianagaram,,,,,6.0,,,,,Enter dates  to see price,,
