qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc
Sambhuni Cheruvu Park ( Abdul Kalam Health Park),4.2,(351),Park,·,,"GP8Q+378, Yedla Bazar",,Closed,· Opens 4 pm,"""Best place for walking and spending some time in nature."""
Vivekananda Park,4.2,(68),Park,·,,2Q7H+QGW,,,,"""Natural place
Nice looking"""
Alamuru Park,3.3,(44),Park,·,,QVQM+R7W,,,,
Sri Mangalampalli Bala Murali Krishna Park,4.2,(82),Park,·,,2Q6X+MWJ,,Open 24 hours,,"""A good well maintained park with proper walking tracks."""
Alluri Seetharamraju park,4.8,(5),Park,·,,353F+C44,,,,
Sanjay Gandhi Park,4.8,(5),Park,·,,2QRJ+G79,,,,
Janmabhumi Park,3.8,(142),Park,·,,·,HFM6+Q72,Open now,,"""Recently renovated and park is superb"""
Coringa Wildlife Sanctuary,4.2,"(6,088)",National forest,·,,·,R7CX+F8V,Open,· Closes 5 pm,On-site services
Kshatriya Park,3.9,(16),Park,·,,5MHV+XHW,,Open,· Closes 5 pm,
GSL Hospital Park,4.0,(209),Park,·,,·,3V8M+77R,Open 24 hours,,"""Nice place to relax"""
Park,4.1,(142),Park,·,,·,"2P5H+XH2, 15-3-12/5, Park Rd",,,"""Good for walking, small jim, skating etc."""
Gandhi Park Dommeru,3.5,(41),Park,·,,2MMQ+7Q6,,Open,· Closes 7 pm,
Elephant Rock,4.2,(23),Park,·,,7M2M+3XM,,Open now,,
RMC Glow Garden,4.1,(479),Park,·,,·,Rmc glow garden,Closed,· Opens 6 pm,On-site services
Nallajerla park,3.9,(13),Park,·,,"WCV5+CGV, Ramalayam Rd",,Open 24 hours,,"""Nice view in  evening sunset time"""
Water Village by River Bay,3.6,"(1,106)",Amusement park,·,,·,"Iskcon temple, Gowthami Ghat Rd",Closed,· Opens 2 pm,"""No charge for footwear which is left in a place at our own risk."""
Municipal Park Vidyanagar,3.2,(89),Park,·,,WM8C+M36,,Open now,,
N T R Park,3.8,(194),Park,·,,·,R778+W4F,Open 24 hours,,"""It's very beautiful but its only little place"""
Shirdi Nagar Park,3.7,(110),Park,·,,QM9W+M3R,,Opens soon,· 10 am,"""Good place for amusement"""
Sri Venkateswara swamy park,,,Park,·,,36HX+PH9,,Open,· Closes 5 pm,
Gandhi park,,,Park,·,,"3Q2V+2W3, Gandhi St",,,,
Pedagogada public park,4.6,(43),Park,·,,·,WW69+W3R,,,"""Peaceful place"""
Pedhha cheruvu,5.0,(1),Park,·,,3C87+X8,,Open 24 hours,,
Sri Nandamuri Taraka Rama Rao Municipal Park,4.0,"(1,473)",Park,·,,·,"Temple Rd, opp. Venkateswara Swamy",Open,· Closes 8 pm,On-site services
IP Appm Colony Park,3.8,(40),Park,·,,APPM Township Local Park,,,,
Eswara Temple park,4.0,(5),Park,·,,"Sri Ayyappa Swamy Temple (Dwarapudi), Bus Stop",,Open now,,"""visit early morning or Evining"""
Weaver's colony skating park,4.3,(162),Park,·,,2QCM+QJ8,,,,"""It's looks great"""
Godavari bund park,4.3,(4),Park,·,,2P9J+WQ7,,Open now,,"""Nice place to visit"""
Maruthi Nagar Park,3.8,(242),Park,·,,"GHW4+83G, Unnamed Road",,Open 24 hours,,"""There is a walking track around the part."""
Freedom Fighters park,5.0,(1),Park,·,,"XQVG+Q47, Main Rd",,,,
Childrens Park,4.4,(20),Park,·,,"X754+GV3, Road",,,,"""Beautiful location, And play ground for children's."""
Jalsa House🏡,5.0,(1),Park,·,,opposite Durgamma,,Open 24 hours,,
Walking park,4.8,(4),Park,·,,"WC8J+5GX, MDR170",,Open 24 hours,,
Ponada suryarao park,4.8,(8),Park,·,,FRHR+P45,,,,
Sri Palempati Veeranna Memorial Municipal Sports Park,,,Park,·,,"2PCF+FG7, Palempati Narasayya Nagar Rd",,Open 24 hours,,
Rampa Waterfalls,4.3,"(2,063)",Tourist attraction,·,,·,FQ8P+X9R,Open,· Closes 6 pm,"""The cool breeze, forest vibes, and flowing water make it a relaxing getaway."""
Kirlampudi Park,3.9,(212),Park,·,,·,652H+PJC,Opens soon,· 10 am,"""1st park in the village and a good spot for children to play"""
Papikonda National Park,4.4,(134),National park,·,,MG9W+363,Woodland habitat for endangered species,,,"""A nice national park, not too much to do but boating on the river tho."""
NTR Children Park,4.1,(8),Park,·,,"2P9J+WQ2, Rajahmundry Rd",,,,
PALEMPATI NARASAYYA MEMORIAL MUNICIPAL PARK,3.8,(36),Memorial park,·,,"Mini Bypass Road, Palempati Narasayya Nagar Rd",,Closed,· Opens 5 pm,
Simhachal nagar park and Play ground,4.0,(4),Playground,·,,2QPV+624,,Open 24 hours,,"""government No Reconstruction"""
River View Park,4.5,(4),Park,·,,Godavari Bund,,,,
GS GARDENS GREEN PARK,3.8,(12),Park,·,,"NUMBER 1, FVR7+QHJ GS GARDENS, beside ROAD",,Open now,,"""Good community with a gym, badminton court and park"""
Rajamahendravaram Urban Square,4.2,(160),Park,·,,·,"2Q8J+5XM, NCC Block Road",,,"""We can fix the road, trash cans and restrooms for public."""
Ramakrishna Puram 21 Division Park,4.2,(295),Park,,,,,Open,· Closes 9 pm,
"Park , Lakshmi Nagar",3.8,(59),Park,·,,GP9R+R9J,,Opens soon,· 10 am,"""Peaceful park"""
Park,4.1,(23),Park,·,,M7PC+CHG,,,,
M venkatesh,5.0,(1),Park,·,,3QR2+PHJ,,,,
Bollina garden’s,5.0,(5),Park,·,,3Q2V+FVF,,Open,· Closes 6 pm,
Raagaala Cheruvu,,,Park,·,,3Q5X+78R,,,,
Sai Aditya Mega Township,3.2,(29),Park,·,,33RF+2V2,,Open 24 hours,,
Kids Park,5.0,(1),Park,,,,,Open now,,
"Park,Lakkavaram",1.0,(1),Park,·,,CR9Q+FRH,,Open now,,
Sitapuram Park,4.4,(76),Park,·,,"Raghava Estates, Sitapuram Main Rd",,Open 24 hours,,"""Very peaceful place..... A nice environment..."""
Puducherry Mangrove forest tourist spot,4.5,(181),Park,·,,"P78R+2CQ, Tippa, dariyalatippa",,Open,· Closes 5:30 pm,"""Creepy types with very little sun light entering into the forest."""
Park,3.8,(5),Park,·,,FRJR+2J8,,,,
Municipal colony park,5.0,(3),Park,·,,2QGH+8WW,,,,"""Good for walking, Play for kids."""
P.V. Narasimharao Park,4.1,(811),Park,·,,XQX9+J9M,,,,"""Nice park besides Godavari and Road cum Rail Bridge."""
Godavari Park,5.0,(1),Park,·,,"M7P2+3XV, KV1 Rd",,Open,· Closes 10 pm,
Hari Hara Brundhavan Gardens,5.0,(3),Park,·,,43FM+7VJ,,,,"""Children Park"""
jagannadhapuram lake,4.1,(7),Garden,·,,JP4Q+2CV,,,,
ELURU SATRAMPADU MUNICIPAL PARK,3.7,(197),Park,·,,P36C+CMM,,,,
M v subbaiah street,3.4,(5),Park,·,,Andhra Sugars Quarters,,,,
సుబ్బరావూ పేట,4.0,(1),Park,·,,2QQH+3FH,,,,
Dwaraka Street Park,,,Park,·,,"2QVJ+VPF, Katheru - Konthamuru Rd, near HP Gas Godown",,Open now,,
NTR STADIUM,4.4,(19),Playground,·,,"NTR Stadium, Railway station Road",,Closed,· Opens 6 am Tue,"""Good place to workout and it was soo peaceful"""
"SRI VETUKURI VENKATA SIVA RAMA RAJU PARK, KOMATIGUNTA",3.9,(20),Park,·,,"HC4H+7MG, Seesali - Komatigunda Main Rd",,,,
Y GARDEN,5.0,(1),Park,·,,32QH+362,,Open now,,
Gavarapeta park,4.5,(2),Park,·,,RXMX+JHR,,Open now,,
Alluri SeetaRamaraju Park,,,Park,·,,"2PCJ+M86, Rajahmundry Rd",,Open now,,
Ashok Nagar Park 2,4.1,(754),Park,·,,"P3CV+GHH, Chintalapudi To Eluru Road (SH-43)",,Closed,· Opens 4 pm,"""A good place for both children and adults to walk and play..."""
Municipal Park,,,Park,·,,"14-1-1/4A, Palempati Narasayya Nagar Rd",,,,
Park,,,Park,·,,2P8P+J88,,,,
Agape Park,5.0,(1),Park,·,,GHWP+G7C,,Open now,,
Sri Venkata Ramaraju Gardens,,,Park,·,,"NH-5, Eluru Rajamundry Road",,Open 24 hours,,
Yanam River Beach (SR),4.2,"(1,706)",Tourist attraction,·,,·,P6G5+3JF,Open 24 hours,,On-site services
Mogallapu gardens,,,Park,·,,3PHW+M6,,Open now,,
VIDYUTH NAGAR PARK,3.0,(1),Park,·,,5-1-31D,,,,
Nehru park,,,Park,·,,11-20,,,,
Shiva Shankar,,,Park,·,,2PCH+3VM,,,,
Hanuman Nagar park,4.0,(1),Park,·,,X6X6+8HR,,,,
Municipal Park,,,Park,·,,"3-11-14/6, Rajendra St",,,,
"Boating point, coringa",4.4,(307),Tourist attraction,·,,V6JX+5RM,,Open,· Closes 5 pm,On-site services
Odalarevu Beach,4.3,(782),Tourist attraction,·,,"CX7G+7WV, Amalapuram Bendamurlanka Rd",,Open 24 hours,,"""Clean and beautiful views."""
Nageswara Rao Garden,5.0,(1),Park,·,,V59W+XF6,,,,
Mallayya Peta Play Ground,4.1,(179),Playground,·,,2QMG+5MV,,,,"""Super playing"""
Srikar chahallu,1.0,(1),Park,·,,"2P6H+6FJ, Park Rd",,Open now,,
Lalam Koduru Children Park,4.0,(43),Park,·,,·,FXR7+JJ8,Open now,,"""It's peaceful and refreshing mind"""
Appanna Cheruvu,,,Park,·,,2QXW+XWW,,,,
Kolleru Bird Sanctuary,4.2,(478),Bird watching area,·,,M57J+XF7,,Open 24 hours,,"""There is a watch tower for seeing the lake and birds."""
Kakinada Beach,4.2,"(1,584)",Tourist attraction,·,,·,"278R+H6C, Kakinada - Uppada Beach Rd",,,"""The"
Babu Jagjivan Ram Park,3.3,(3),Garden,·,,2QXV+2QP,,,,
Tobacco barns nimmalapudi srinu,,,Park,·,,4Q29+332,,Open now,,
Haritha Coconut Country Resorts Dindi,4.0,"(1,649)",Tourist attraction,·,,·,"CQWM+MQF, Palakollu",,,"""The"
Mallanna Cheruvu,,,Park,·,,3Q3R+CG8,,,,
Cherukuri's (party place),5.0,(6),Garden,·,,"Bhramin's colony, right, 2nd St, near vinayaka temple",,,,
,,,,,,,,,,
