qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,ah5Ghc,doJOZc,W4Efsd 5,W4Efsd 6
Grand Park Adithya,3.7,-69,Lodge,,,,"""Centrally located, family friendly, each access to public transportation""",,,
vizianagaram Fort Park,4.3,-745,Park,,,Open 24 hours,"""Lovely place full of greenary""",,,
Vijaya aditya park,1.0,-1,Park,·,"8V6G+G53, Srikakulam Bypass Rd",,,,,
APR Park korlakota,4.8,-27,Park,·,"CV5F+HCG, Korla Kota Rd",Open 24 hours,"""Nice weather""",,,
Buragam Hill,5.0,-2,Park,·,P3G9+QVV,Open now,,,,
Lake view,5.0,-1,Park,·,8W89+FRV,Open 24 hours,,,,
Delux park,4.7,-12,Park,,,,,,,
Friends Colony Community Hall,4.3,-29,Park,·,8W27+VJF,Open now,,,,
Jeans Park,4.0,-168,Clothing Accessories Store,·,"7, GT Rd",Open 24 hours,In-store shopping,,,
Patra Paradise Mandasa Park,4.5,-19,Park,,,Open 24 hours,"""A peaceful place""",,,
Arri Gadda Water Rever.,4.0,-4,Water park,·,9V3Q+MRF,,,,,
Kambalakonda Eco Park,4.2,"-1,869",Park,·,·,Open,"""Ecologocal park very lush greenary hill and lake view""",,NH 16,· Closes 4:30 pm
R K WATER PARK,4.1,-133,Water park,,,Open,"""Play ground is the best for children under 10 year old""",,,· Closes 6 pm
Sai Kumar garden,5.0,-1,Park,·,JPXP+HV,,,,,
Krishna Park Area,,,New Colony,"Srikakulam, Andhra Pradesh 532001",,,,,,
Janoo's The Water Park,4.2,-356,Water park,·,·,Closed,"""Its a wonderful park with so many crafts and I love the water slides""",,"janoo's the water park, shilparamam",· Opens 10 am
Green park Suravaram,5.0,-2,Park,·,GXVG+HV6,Open now,,,,
Garlapadu Gandhi Park,4.5,-2,Park,·,"JWFQ+74J, SH 2",,,,,
Boddavalasa trees area,5.0,-3,Park,·,JWJ8+Q23,Open now,"""Super area and cool weather""",,,
Sri Ayyappa Dabha Gardens,5.0,-1,Park,·,JWGW+JWF,Open now,,,,
Waves Amusement park,4.1,-433,Amusement park,·,·,Opens soon,"""Beautiful  atmosphere  of Stanford University  locations""",,NH 16,· 9:30 am
Biodiversity Park -Botanical Garden,4.9,"-3,012",Park,·,,Open,On-site services,,,· Closes 1 pm
SERENE WOODS Resorts,4.9,-678,Holiday apartment rental,·,Serene woods Conventions,,"""We had a great experience at serene woods, the staff was very helpful.""",,,
Shilparamam (Jatara),4.0,"-9,877",Tourist attraction,·,·,Closed,On-site services,,Shilparamam,· Opens 10 am
Bhamidipati Farm Lands,5.0,-2,Garden,·,7WJC+GH8,,,,,
Shivaji Park,4.2,"-10,954",Park,·,·,Open,On-site services,,MVP Double Rd,· Closes 9 pm
Purushottakarra junction,4.0,-4,Nature preserve,·,"J35C+M54 Purushottakarra, junction",,"""One pond is also available.""",,,
Raja's Sun Silver Park,4.6,-43,Jewelry store,·,GT Rd,Open,Delivery,,,· Closes 9:30 pm
Amaravathi Water Park (Swimming Pool),3.7,"-1,388",Amusement park,·,·,Closed,On-site services,,"Pendurthi, Saripalli, Araku - Visakhapatnam Rd",· Opens 11 am
Bora Dharmarao,,,Park,·,H2FP+VH,,,,,
HappyPola - Indoor Amusement Park,4.5,"-1,091",Indoor playground,·,·,Closed,On-site services,,"2nd Floor, NH16, above Tata Motors",· Opens 11 am
Vizag Water World,4.2,"-3,137",Water park,·,·,Closed,On-site services,,193/1,· Opens 10:30 am
RAVI CHAND ART AMUSEMENT PARK,4.4,-48,Amusement park,·,P8XV+6G2,Closed,"""I don't have option to give more than 5stars
Great work & detail""",,,· Opens 10 am
Aluru Waterfalls,4.3,-150,Tourist attraction,·,·,,"""Surrounded by hills and hills covered with greenary.""",,"C3HV+4X3, Pachipenta Main Rd",
Sri Sai joy land,4.5,-38,Resort hotel,·,6RR7+WQC,,"""Pool maintenance is good.""",,,
Vivekananda Park,4.1,-216,Park,·,"P8R6+MGG, [no name],",Open,"""Wide walking track, not crowded, we even can enjoy walking with closed eyes.""",,,· Closes 8:30 pm
A Square Gokarting | Bicycle Zipline | Sky Rolling | Rocket Ejector | Visakhapatnam,4.6,"-2,576",Go-karting venue,·,·,,"""Small Track but Nicely Maintained""",,"Anandapuram Junction, Bus Stop, 16, National Highway",
Shankar Bava place agriculture,,,Park,·,"HXWP+WRH, Unnamed Road",Open now,,,,
"Boddepalli Rajagopal Rao Vamsadhara Hiramandalam Reservoir, Hiramandalam",,,Park,·,"MX92+94P, Kotturu - Srikakulam Rd",Open now,,,,
Palla suri land,5.0,-1,Garden,·,824P+7W,,"""Very coolest place in my village""",,,
dr.vishnu Murty garden,5.0,-1,Garden,·,RV45+268,,,,,
Savarapet Kidimi,5.0,-1,Garden,·,H3JX+489,,,,,
