qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 6,W4Efsd 7,ah5Ghc
"Near GVMC PARK , GCC LAYOUT",3.9,-471,Park,·,,"R9G2+3FJ Temple, Kommadi Village Rd Sai Ram, Ganesh Nagar Rd",,Closed,· Opens 5 pm,"""Very neat and clean  park super mantiance"""
Waves Amusement park,4.1,-433,Amusement park,·,,·,NH 16,Open,· Closes 6:30 pm,"""Beautiful  atmosphere  of Stanford University  locations"""
Smart City Park,4.5,-26,Park,·,,,,Open now,,"""Best walking place"""
Abid Nagar Park,4.1,"-1,127",Park,·,,·,"45-49-5/B45-49-5/B, Abid Nagar Rd",Closed,· Opens 4 pm,"""It is filled with greenery and very well maintained"""
Kite Beach Park,4.4,-80,Park,·,,Kite beach park,,,,"""Used as picnic area and playground especially for kids."""
Vivekananda Park,4.1,-216,Park,·,,"P8R6+MGG, [no name],",,Open,· Closes 8:30 pm,"""Wide walking track, not crowded, we even can enjoy walking with closed eyes."""
Kailasgiri Park,4.5,-292,Park,·,,·,"P8XW+38M, Hill Top Rd",,,On-site services
HPCL Waltair Park,4.5,-198,Park,·,,·,P8CF+CRV Park,Open now,,"""Very nice gated corporate community."""
Dragon Park,4.2,-243,Park,·,,"53, 7-1-53, Chinna Waltair Main Rd",,Closed,· Opens 11 am,"""It’s a small area near to rk beach where people come and rest."""
Diamond park,4.3,-213,Park,·,,Diamond Park Rd,,Open now,,"""Very Nice Park ,well maintained park."""
HappyPola - Indoor Amusement Park,4.5,"-1,091",Indoor playground,·,,·,"2nd Floor, NH16, above Tata Motors",Closed,· Opens 11 am,On-site services
MGM Park,4.2,-142,Park,·,,·,"near The Park Hotel, next to VUDA Park Light House",,,"""Nice ground with good connectivity and parking area."""
LUMBINI VANAM,4.4,-44,Park,·,,R82V+MGG,,,,"""There is a sitting area in the park with lots of benches."""
White tiger Zone,4.5,-160,Zoo,·,,·,"Q88X+WPM, Zoo Inner Road",,,"""Very beautiful white tiger"""
Sai Ram park,4.0,-1,Park,·,,R9H2+9CF,,Open now,,
Vuda park kids swing zone,4.6,-19,Playground,·,,P8FQ+74M,,Open now,,"""Well maintained, near beach"""
Vuda Park Roller Skating Rink,4.5,-204,Park,·,,·,P8FQ+XGF,Open 24 hours,,"""The entire place looks fresh, clean, and beautifully maintained."""
Haji Abusarang Eidgah And Park,4.5,-22,Memorial park,·,,"haji ambusarang, eidgah and park, ambusarang street",,Open 24 hours,,"""Best for Eid and bakrid Namaz."""
Ashoka Park,4.2,-264,Apartment complex,·,,·,"P7H6+39C, Post",,,"""It's a place for defense civilian colony, It's a neat and clean colony."""
Kambalakonda Entrance,4.2,-39,Tourist attraction,·,,·,Q89V+92V,Open,· Closes 4 pm,"""Fun activities like rope walking, kayaking are available."""
Matsya Darshini,3.8,"-3,769",Tourist attraction,·,,Beach Rd,Aquarium with various fish & tortoises,Open,· Closes 9 pm,On-site services
Vizag Fishing Harbour,4.2,"-16,223",Tourist attraction,·,,·,Fishing,Open,· Closes 6 pm,On-site services
Park View,4.1,-56,Park,·,,"P75X+MQV, Inside of the Vaisakhi Jala Udayana Vanam, near CP's Office",,,,
Amzari Park,4.2,-218,Housing society,·,,·,"M7Q9+MFH, Scindia Rd",Open 24 hours,,
Kailasa Giri,4.5,"-10,380",Tourist attraction,·,,·,"P8WW+XC5, Kailasagiri Ghat Rd",,,On-site services
Kondakarla Bird Sanctuary,4.4,"-2,210",Park,·,,JX2X+85M,Scenic bird sanctuary with boat tours,Open,· Closes 6:30 pm,"""Watching the sunrise and sunset from here is a mesmerizing experience."""
Gangapur layout park,4.3,-9,Park,·,,"Plot No 6 Gangapur Layout Colony, near Govt. Circuit House",,,,
RK Beach,4.5,"-50,038",Tourist attraction,·,,·,Beach Rd,Open 24 hours,,On-site services
Pheasantry(Peacock Zone),4.5,-14,Zoo,·,,Q88W+97,,,,"""Loved it ❤️🫠"""
"The Park, Visakhapatnam",4.2,"-9,497",5-star hotel,Beachfront hotel with dining & a pool,,,,,,"""Is it pet friendly like can you bring your own pets and have a staycation?"""
Coastal Park Guest House,4.3,-98,Guest house,·,,Coastal Battery Rd,,,,"""How to contact the property host?"""
Kailashgiri Park,,,Park,·,,M7WX+XJ2,,,,
GVP College Park,1.0,-1,Park,·,,R8CR+9R8,,Open now,,
Lakshmi Talkies Park,5.0,-2,Park,·,,Lakshmi Talkies Park,,,,
DRK Layout Park,,,Park,·,,R8CV+VH9,,,,
Gangavaram beach,4.4,-370,Tourist attraction,,,,,Open 24 hours,,"""Awesome scenery and wonderful views."""
Visakhapatnam Dock View Point,4.2,-59,Tourist attraction,·,,M7PV+R9R,,,,"""Very beautiful place."""
IT park,,,Government office,·,,·,"P882+C8P, Ranga St",,,
The Shack @ The Park Visakhapatnam,4.0,-626,Restaurant,·,,·,"The Park, Visakhapatnam, Beach Rd",Closed,· Opens 7 pm,Dine-in
TVS Industrial and Logistics Parks - Visakhapatnam,4.7,-14,Warehouse,·,,·,"Land – 9, IP_Expansion_Gurrampalem,Survey No. 186, 187P, 188P,Gurrampalem Village",Open,· Closes 6:30 pm,On-site services
Hotel Winsar Park,4.5,"-1,878",3-star hotel,Unfussy lodging with free breakfast,,,,,,Takeaway
Aqua @ The Park Visakhapatnam,4.3,-245,Italian,·,,·,"Swimming Pool, Beach Rd",Open,· Closes 10:30 pm,Dine-in
Zora Park Hotel,3.4,-104,5-star hotel,,,,,,,"""All amenities working."""
Dino Park,4.1,-37,Amusement park,·,,P88F+5XP,,,,"""Full entertainment for adults and kids too."""
VMRDA INS Kursura Submarine Museum,4.6,"-53,807",Tourist attraction,·,,"P88J+V2W, RK Beach Rd",Submarine museum with guided tours,Closed,· Opens 2 pm,"""The"
Sri Simran Park,3.3,-148,2-star hotel,,,,,,,
parking area,3.0,-1,Parking lot,·,,R8CV+58P,,,,
VIZAG VIEW POINT - FOOD COURT AREA,4.3,-4,Food court,·,,Q943+PF8,,Closed,· Opens 4 pm,Takeaway
Ashoka Park Colony,,,"Visakhapatnam, Andhra Pradesh",,,,,,,
Adventure Thrill City,4.1,-11,Amusement park,·,,Vishwanadh Sports Club,,,,
ARAKU VALLEY,4.5,"-40,569",Park,·,,·,Araku - Visakhapatnam Rd,Open,· Closes 5 pm,On-site services
Suryachandrudu Layout Park,5.0,-2,Park,·,,Surya Chandrudu Layout,,,,
GAYATRI VIDHYA PARISHAD COLLEGE PARK,3.1,-75,Student housing center,·,,R8CV+G4Q,,,,"""Good but no wifi"""
Vista @ The Park Visakhapatnam,4.3,-457,American,·,,·,"The Park, Beach Rd, near VUDA Park Light House",Open,· Closes 12 am,Dine-in
TU 142 Aircraft Museum,4.6,"-5,609",Maritime museum,·,,·,"P89H+5WX, Beach Rd, opp. Kursura Submarine museum",Closed,· Opens 2 pm,On-site services
ASIAN GLOBAL VACATION,4.5,-120,Holiday park,·,,"D.No.9-14-3,Balaji's Mangalagiri Chamber,4th Floor, Shop No:5A",,,,"""Good experience in my holiday.. It provides good accommodation and service"""
Hotel Ostin Orange Park,4.1,-215,Hotel,,,,,,,Dine-in
Potti sri ramullu park,,,Housing society,·,,M7VR+HWR,,,,
