title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName,openingTime,closingTime,happyHours,entryFee,coupleEntryFee,stagEntryFee,averageCostForTwo,expectedBudgetPerPerson,musicType,danceFloorAvailable,liveMusicAvailable,djNightAvailable,alcoholAvailable,hookahAvailable,smokingZone,foodAvailability,parkingAvailability,onlineReservationAvailable,bestTimeToVisit,crowdLevel,dressCode,speciality,bestFor,nearbyAttractions,googleMapsUrl,verificationStatus
MYZ - UNO Vizag,4.4,11763,"Central building, 4, VIP Rd",Visakhapatnam,Andhra Pradesh,IN,http://myzuno.com/,+91 99917 25555,Brewery,Bar,Brewpub,Dance club,Family restaurant,Pub,,,,,https://www.google.com/maps/search/?api=1&query=MYZ%20-%20UNO%20Vizag&query_place_id=ChIJc_TEiztDOToRiOr_45oreSk,Brewery,12:00 PM,01:00 AM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹2500 - ₹4500,₹1500,DJ Night / EDM / Bollywood,Yes,No,Yes,Yes,Yes,Yes,Full multi-cuisine menu available,Limited street parking on VIP Road,Yes,"Weekend evenings, DJ nights on Friday & Saturday",Very crowded on weekends,"Smart casuals, No slippers",Brewery and club combo - craft beer and DJ nights on VIP Road,"Friends, Couples, Weekend nightlife, Craft beer lovers","VIP Road, CMR Central, Siripuram",https://www.google.com/maps/search/?api=1&query=MYZ%20-%20UNO%20Vizag%20Visakhapatnam,Verified nightlife place
Horizon Restaurant,4.3,1936,"7th floor, Dolphin Hotel, 75 Feet Road, Daba Garden Rd",Visakhapatnam,Andhra Pradesh,IN,https://www.dolphinhotelsvizag.com/horizon,+91 81210 13707,Restaurant,Andhra restaurant,Buffet restaurant,Chinese restaurant,Continental restaurant,Family restaurant,Live music bar,Seafood restaurant,Wine bar,,https://www.google.com/maps/search/?api=1&query=Horizon%20Restaurant&query_place_id=ChIJU2WKahxDOToRLGbv-_IO5dU,Restaurant,12:00 PM,11:30 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹3000 - ₹5000,₹1800,Live Music / Lounge Music,No,Yes,No,Yes,No,Designated area,"Buffet, Seafood, Continental, Chinese",Valet parking at Dolphin Hotel,Yes,"Weekend evenings, Sunset hours","Moderate, peak on weekends",Smart casuals,7th floor sea-view restaurant with live music at Dolphin Hotel,"Couples, Family dining, Corporate parties","Daba Garden, Beach Road, RK Beach",https://www.google.com/maps/search/?api=1&query=Horizon%20Restaurant%20Visakhapatnam,Verified nightlife place
Sri Sai Ram Restaurant & Bar,3.5,55,"28-9-40/5, Raja Rammohan Roy Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 891 664 0333,Bar,Restaurant,Wine bar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sri%20Sai%20Ram%20Restaurant%20%26%20Bar&query_place_id=ChIJg-F7lRtDOToR9VaTwcVmJis,Bar,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Sri%20Sai%20Ram%20Restaurant%20%26%20Bar%20Visakhapatnam,Estimated timings - verify before visit
M/s. Dwaraka Restaurant & Bar,4,3,"48-19-2, Waltair Station Approach Rd",Visakhapatnam,Andhra Pradesh,IN,,,Bar,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=M%2Fs.%20Dwaraka%20Restaurant%20%26%20Bar&query_place_id=ChIJnz_5UwBDOToRCgF7UNa93PA,Bar,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=M/s.%20Dwaraka%20Restaurant%20%26%20Bar%20Visakhapatnam,Estimated timings - verify before visit
Sarigama Restaurant And Bar,3.2,21,"P8F5+W2R, Complex Complex",Visakhapatnam,Andhra Pradesh,IN,,+91 92487 74222,Bar,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sarigama%20Restaurant%20And%20Bar&query_place_id=ChIJH4TdODxDOToRz1bise76ehU,Bar,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Sarigama%20Restaurant%20And%20Bar%20Visakhapatnam,Estimated timings - verify before visit
Vamsi Restaurant & Bar,3.3,43,P77W+CCX,Visakhapatnam,Andhra Pradesh,IN,,,Bar,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Vamsi%20Restaurant%20%26%20Bar&query_place_id=ChIJP-ByzR1DOToRkz86ONltEyE,Bar,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Vamsi%20Restaurant%20%26%20Bar%20Visakhapatnam,Estimated timings - verify before visit
Nellore Vari Mess- Hotel Chandras,3.9,10412,"30-12-38, Ranga St, opp. Hirawats",Visakhapatnam,Andhra Pradesh,IN,,+91 89125 41074,Restaurant,Caterer,Hotel,,,,,,,,https://www.google.com/maps/search/?api=1&query=Nellore%20Vari%20Mess-%20Hotel%20Chandras&query_place_id=ChIJZdK-sRlDOToRSZkUrzBPkHk,Restaurant,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Nellore%20Vari%20Mess-%20Hotel%20Chandras%20Visakhapatnam,Estimated timings - verify before visit
Tap The Sports Bar,4.2,1190,"15-3-22, Varun Inox, Block No 4, Beach Rd, beside Maharani Peta",Visakhapatnam,Andhra Pradesh,IN,,+91 63037 71087,Pub,Bar,Bar & grill,Cocktail bar,Disco club,Live music bar,Restaurant,Sports bar,Wine bar,,https://www.google.com/maps/search/?api=1&query=Tap%20The%20Sports%20Bar&query_place_id=ChIJJ9lyVjBDOToRqWyRXmamTC8,Pub,12:00 PM,12:00 AM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹2000 - ₹3500,₹1200,DJ Night / Sports screening,Yes,No,Yes,Yes,Yes,Yes,"Pub grills, Continental, Bar food",Limited parking near Beach Road,Yes,"Match nights, Friday and Saturday",High during sports events and weekends,Casual dressing allowed,Sports bar with live match screening and DJ nights near Beach Road,"Friends, Sports lovers, DJ lovers, Weekend nightlife","Beach Road, Varun Beach, RK Beach",https://www.google.com/maps/search/?api=1&query=Tap%20The%20Sports%20Bar%20Visakhapatnam,Verified nightlife place
Durga Restaurant & Bar,3.6,85,"P8F5+W7J, Waltair Station Approach Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 99854 01231,Bar,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Durga%20Restaurant%20%26%20Bar&query_place_id=ChIJJ8mxDDtDOToRk6BILmlopGc,Bar,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Durga%20Restaurant%20%26%20Bar%20Visakhapatnam,Estimated timings - verify before visit
Sri Venkateshwara garden Restaurant,3.7,503,"46-15-38, Railway New Colony Rd,Dondaparithy Road, Near, Diamond Park Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 89125 29018,Bar,Biryani restaurant,Family restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sri%20Venkateshwara%20garden%20Restaurant&query_place_id=ChIJlz78eSRDOToRp_tpywh_Lv8,Bar,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Sri%20Venkateshwara%20garden%20Restaurant%20Visakhapatnam,Estimated timings - verify before visit
Four Points by Sheraton Visakhapatnam,4.2,5878,"10-28-3 Uplands, Waltair Main Rd",Visakhapatnam,Andhra Pradesh,IN,https://www.marriott.com/en-us/hotels/vtzfp-four-points-visakhapatnam/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+91 891 305 1111,Hotel,Meeting planning service,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Four%20Points%20by%20Sheraton%20Visakhapatnam&query_place_id=ChIJ2Y1ieRVDOToRvHc2nERuj9c,Hotel,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Four%20Points%20by%20Sheraton%20Visakhapatnam%20Visakhapatnam,Estimated timings - verify before visit
The Eatery,4.1,892,"10-28-3, Waltair Main Rd",Visakhapatnam,Andhra Pradesh,IN,https://marriottbonvoyasia.com/restaurants-bars/Four-Points-by-Sheraton-Visakhapatnam-The-Eatery,+91 891 305 1111,Bar,Fine dining restaurant,Breakfast restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Eatery&query_place_id=ChIJc7VIQxVDOToREysU7wSzkpk,Bar,07:00 AM,11:30 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹3000 - ₹5000,₹1800,Lounge Music,No,No,No,Yes,No,Designated area,"Fine dining - Continental, breakfast, multi-cuisine",Valet parking at Four Points Sheraton,Yes,Weekend evenings,"Moderate, peak on weekends",Smart casuals,Premium fine dining bar at Four Points by Sheraton,"Couples, Corporate parties, Fine dining","Waltair Main Road, Uplands Area",https://www.google.com/maps/search/?api=1&query=The%20Eatery%20Visakhapatnam,Verified nightlife place
The Resto,3.9,76,"P896+QQ2, Waltair Main Rd",Visakhapatnam,Andhra Pradesh,IN,,,Restaurant,Hotel,,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Resto&query_place_id=ChIJfflXyi9DOToR_3uYey3EszM,Restaurant,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=The%20Resto%20Visakhapatnam,Estimated timings - verify before visit
Upland Bistro,4.2,3264,"10-26-1/1, opposite to Waltair Club Road",Visakhapatnam,Andhra Pradesh,IN,http://www.uplandbistro.com/,+91 80882 61886,Continental restaurant,French restaurant,Italian restaurant,Mediterranean restaurant,Mexican restaurant,,,,,,https://www.google.com/maps/search/?api=1&query=Upland%20Bistro&query_place_id=ChIJMUaoAUBDOToRdDF7baDOC84,Continental restaurant,12:00 PM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹2000 - ₹3500,₹1200,Lounge Music,No,No,No,Yes,No,No,"Continental, Italian, French, Mediterranean cuisine",Street parking near Waltair Club,Yes,Weekend evenings,Moderate,Smart casuals,Fine European dining bistro near Waltair Club,"Couples, Fine dining lovers, Corporate dinners","Waltair Club, Uplands, Waltair Main Road",https://www.google.com/maps/search/?api=1&query=Upland%20Bistro%20Visakhapatnam,Verified nightlife place
Blue Moon Hotel,4.3,1059,"Sunitha Arcade, 28-10-25/4, Chitralaya Rd, near jagadamba junction",Visakhapatnam,Andhra Pradesh,IN,https://blue-moon-hotel.grexa.site/,+91 96670 06313,Hotel,Bed & breakfast,Extended stay hotel,Guest house,Holiday home,Inn,Lodge,Motel,Serviced accommodation,Serviced apartment,https://www.google.com/maps/search/?api=1&query=Blue%20Moon%20Hotel&query_place_id=ChIJ_el3Q61DOToRe_sGdMzoP1Q,Hotel,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Blue%20Moon%20Hotel%20Visakhapatnam,Estimated timings - verify before visit
Kulasa Bar,2.6,19,"P79R+6RC, Railway Station Road, Mandavaripeta, Dondaparthy",Visakhapatnam,Andhra Pradesh,IN,,,Bar,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Kulasa%20Bar&query_place_id=ChIJxWEJs8RDOToR2LuIo2ghmCE,Bar,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Kulasa%20Bar%20Visakhapatnam,Estimated timings - verify before visit
Best Brews,3.7,6,"AS Raja Complex, Waltair Main Rd",Visakhapatnam,Andhra Pradesh,IN,,,Bar & grill,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Best%20Brews&query_place_id=ChIJCVzJNz9DOToRPea1DvUlZVY,Bar & grill,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Best%20Brews%20Visakhapatnam,Estimated timings - verify before visit
Dwaraka A/C Deluxe Longue,1.9,11,"RTC Complex Shop No. 12, D. No. 48-19-21 RTC Complex, Sudarshan Plaza, Waltair Station Approach Rd, opposite to Out Gate",Visakhapatnam,Andhra Pradesh,IN,,,Lounge bar,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dwaraka%20A%2FC%20Deluxe%20Longue&query_place_id=ChIJVyBtYe5DOToRXN6sH3BmeXY,Lounge bar,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Dwaraka%20A/C%20Deluxe%20Longue%20Visakhapatnam,Estimated timings - verify before visit
Drunken Monkey,4,1978,"1st floor Vinayagar Kosala, beside Sarvani Sweets",Visakhapatnam,Andhra Pradesh,IN,http://www.thedrunkenmonkey.in/,+91 79955 55888,Restaurant,Breakfast restaurant,Coffee shop,Cafe,,,,,,,https://www.google.com/maps/search/?api=1&query=Drunken%20Monkey&query_place_id=ChIJ66GSLjxDOToR7PdjWdMG9T4,Restaurant,09:00 AM,11:00 PM,N/A,Free Entry,Free Entry,Free Entry,₹600 - ₹1200,₹400,Cafe Music,No,No,No,No,No,No,"Cafe food, sandwiches, beverages, desserts",Street parking,No,"Daytime, Evenings",Moderate,Casual,Trendy cafe with fun branding near Siripuram,"Students, Casual hangout, Daytime cafe","Siripuram, Waltair Main Road",https://www.google.com/maps/search/?api=1&query=Drunken%20Monkey%20Visakhapatnam,Cafe - not a nightlife venue
Foodie Mama,4,652,"P8C5+RJ8, Ram Nagar Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 81798 90888,Biryani restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Foodie%20Mama&query_place_id=ChIJvXs9WD9DOToRSze0dySHSDQ,Biryani restaurant,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Foodie%20Mama%20Visakhapatnam,Estimated timings - verify before visit
Wood House,3.8,9,P77W+8X4,Visakhapatnam,Andhra Pradesh,IN,,,Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Wood%20House&query_place_id=ChIJh2B3FRxDOToRoOq9X2RQh_s,Indian restaurant,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Wood%20House%20Visakhapatnam,Estimated timings - verify before visit
Helapuri Restaurant,3,407,"2, Chitralaya Rd",Visakhapatnam,Andhra Pradesh,IN,,+91 96762 24488,North Indian restaurant,Andhra restaurant,Biryani restaurant,Indian restaurant,Mughlai restaurant,Non vegetarian restaurant,South Indian restaurant,,,,https://www.google.com/maps/search/?api=1&query=Helapuri%20Restaurant&query_place_id=ChIJ1VFXVBpDOToR7fw0BzBT57g,North Indian restaurant,11:00 AM,11:00 PM,4:00 PM - 7:00 PM,Free Entry,Free Entry,Free Entry,₹1000 - ₹2000,₹700,Background Music,No,No,No,Yes,No,Yes,Full food menu available,Street parking,No,Evening hours,Moderate,Casual dressing allowed,Local bar and restaurant,"Friends outing, Budget dining",Visakhapatnam City Centre,https://www.google.com/maps/search/?api=1&query=Helapuri%20Restaurant%20Visakhapatnam,Estimated timings - verify before visit
