route_id,source_area,museum_name,museum_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,tourist_friendly,description
18,Kurmannapalem,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,58,City Ordinary,Kurmannapalem → NAD Junction → Seethammadhara → Jagadamba → Siripuram → RK Beach,24.2,1h 13min,Rs.39,5:30 AM,10:30 PM,20,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 58 from Kurmannapalem bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
19,Auto Nagar,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,28,City Ordinary,Auto Nagar → Steel Plant → NAD Junction → Seethammadhara → Jagadamba → RK Beach,21.3,1h 4min,Rs.35,5:30 AM,10:30 PM,10,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 28 from Auto Nagar bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
20,Steel Plant,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,999,City Ordinary,Steel Plant → Auto Nagar → NAD Junction → Jagadamba → Siripuram → RK Beach,14.3,43 min,Rs.25,5:30 AM,10:30 PM,20,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 999 from Steel Plant bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
21,Scindia,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,28SC,City Ordinary,Scindia → Old Harbour → One Town → Poorna Market → Jagadamba → RK Beach,23.0,1h 9min,Rs.37,5:30 AM,10:30 PM,15,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 28SC from Scindia bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
22,One Town,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,28,City Ordinary,One Town → Poorna Market → Jagadamba → Siripuram → Beach Road → RK Beach,6.2,19 min,Rs.14,5:30 AM,10:30 PM,15,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 28 from One Town bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
23,Poorna Market,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,28,City Ordinary,Poorna Market → Jagadamba → Siripuram → CMR Circle → Beach Road → RK Beach,6.1,18 min,Rs.14,5:30 AM,10:30 PM,15,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 28 from Poorna Market bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
24,RK Beach,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,99RK,City Ordinary,RK Beach → Siripuram → CMR Circle → Beach Road → YMCA Junction,1.3,4 min,Rs.12,5:30 AM,10:30 PM,10,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 99RK from RK Beach bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
25,Rushikonda,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,RSH1,City Ordinary,Rushikonda Beach → Lawson's Bay → Waltair → Beach Road → RK Beach,2.8,8 min,Rs.12,5:30 AM,10:30 PM,20,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus RSH1 from Rushikonda bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
26,Lawson's Bay,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,52A,City Ordinary,Lawson's Bay → Waltair → CMR Circle → Siripuram → Beach Road → RK Beach,1.4,4 min,Rs.12,5:30 AM,10:30 PM,20,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 52A from Lawson's Bay bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
27,Hanumanthuwaka,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,222H,City Ordinary,Hanumanthuwaka → Arilova → MVP Colony → Maddilapalem → Jagadamba → RK Beach,12.6,38 min,Rs.23,5:30 AM,10:30 PM,15,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 222H from Hanumanthuwaka bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
28,Arilova,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,222,City Ordinary,Arilova → Hanumanthuwaka → MVP Colony → Maddilapalem → Jagadamba → RK Beach,17.5,52 min,Rs.30,5:30 AM,10:30 PM,10,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 222 from Arilova bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
29,Beach Road,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,28BR,City Ordinary,Beach Road → YMCA Junction → Siripuram → CMR Circle → RK Beach,1.3,4 min,Rs.12,5:30 AM,10:30 PM,20,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus 28BR from Beach Road bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
30,Kailasagiri,VMRDA INS Kursura Submarine Museum,RK Beach,RK Beach Bus Stop,KAI1,City Ordinary,Kailasagiri → Lawson's Bay → Waltair → Beach Road → RK Beach,2.6,8 min,Rs.12,5:30 AM,10:30 PM,20,0.2,Yes - popular tourist route; many buses pass RK Beach,Board APSRTC bus KAI1 from Kailasagiri bus stop towards RK Beach/Beach Road. Alight at RK Beach Bus Stop for VMRDA INS Kursura Submarine Museum. RK Beach area.
31,Gajuwaka,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,999,City Ordinary,Gajuwaka → Steel Plant → Auto Nagar → NAD Junction → Jagadamba → Siripuram → RK Beach,24.4,1h 13min,Rs.39,5:30 AM,10:30 PM,10,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 999 from Gajuwaka bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
32,Kommadi,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,222C,City Ordinary,Kommadi → Madhurawada → Arilova → MVP Colony → Jagadamba → RK Beach,10.1,30 min,Rs.19,5:30 AM,10:30 PM,10,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 222C from Kommadi bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
33,Madhurawada,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,222A,City Ordinary,Madhurawada → Arilova → Hanumanthuwaka → MVP Colony → Jagadamba → RK Beach,17.9,54 min,Rs.30,5:30 AM,10:30 PM,10,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 222A from Madhurawada bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
34,PM Palem,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,300,City Ordinary,PM Palem → Kommadi → Madhurawada → Arilova → MVP Colony → RK Beach,17.3,52 min,Rs.29,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 300 from PM Palem bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
35,MVP Colony,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,99A,City Ordinary,MVP Colony → Maddilapalem → Seethammadhara → Jagadamba → Siripuram → RK Beach,8.6,26 min,Rs.17,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 99A from MVP Colony bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
36,Siripuram,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,28S,City Ordinary,Siripuram → Jagadamba → CMR Circle → RK Beach,3.6,11 min,Rs.12,5:30 AM,10:30 PM,10,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 28S from Siripuram bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
37,Dwaraka Nagar,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,5C,City Ordinary,Dwaraka Nagar → Jagadamba → CMR Circle → Siripuram → RK Beach,6.4,19 min,Rs.14,5:30 AM,10:30 PM,10,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 5C from Dwaraka Nagar bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
38,Maddilapalem,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,99,City Ordinary,Maddilapalem → NAD Junction → Seethammadhara → Jagadamba → CMR Circle → RK Beach,7.5,22 min,Rs.16,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 99 from Maddilapalem bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
39,NAD Junction,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,14A,City Ordinary,NAD Junction → Seethammadhara → Maddilapalem → Jagadamba → RK Beach,5.3,16 min,Rs.12,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 14A from NAD Junction bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
40,Seethammadhara,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,14A,City Ordinary,Seethammadhara → Maddilapalem → Jagadamba → Siripuram → CMR Circle → RK Beach,8.9,27 min,Rs.17,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 14A from Seethammadhara bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
41,Jagadamba,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,99,City Ordinary,Jagadamba → CMR Circle → Siripuram → Beach Road → RK Beach,5.1,15 min,Rs.12,5:30 AM,10:30 PM,20,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 99 from Jagadamba bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
42,Asilmetta,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,5,City Ordinary,Asilmetta → Siripuram → CMR Circle → Beach Road → RK Beach,3.5,10 min,Rs.12,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 5 from Asilmetta bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
43,Railway Station,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,99,City Ordinary,Railway Station → RTC Complex → Jagadamba → Siripuram → Beach Road → RK Beach,6.6,20 min,Rs.14,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 99 from Railway Station bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
44,RTC Complex,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,5,City Ordinary,RTC Complex → Jagadamba → Siripuram → Beach Road → RK Beach,4.2,13 min,Rs.12,5:30 AM,10:30 PM,20,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 5 from RTC Complex bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
45,Airport,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,AIRPORT 400,City Ordinary,Airport → Gajuwaka → Steel Plant → NAD Junction → Jagadamba → RK Beach,21.9,1h 6min,Rs.36,5:30 AM,10:30 PM,20,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus AIRPORT 400 from Airport bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
46,Pendurthi,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,58,City Ordinary,Pendurthi → Gopalapatnam → Kurmannapalem → NAD Junction → Jagadamba → RK Beach,21.9,1h 6min,Rs.36,5:30 AM,10:30 PM,20,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 58 from Pendurthi bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
47,Gopalapatnam,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,58,City Ordinary,Gopalapatnam → Kurmannapalem → NAD Junction → Jagadamba → Siripuram → RK Beach,21.4,1h 4min,Rs.35,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 58 from Gopalapatnam bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
48,Kurmannapalem,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,58,City Ordinary,Kurmannapalem → NAD Junction → Seethammadhara → Jagadamba → Siripuram → RK Beach,17.3,52 min,Rs.29,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 58 from Kurmannapalem bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
49,Auto Nagar,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,28K,City Ordinary,Auto Nagar → Steel Plant → NAD Junction → Seethammadhara → Jagadamba → RK Beach,18.6,56 min,Rs.31,5:30 AM,10:30 PM,10,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 28K from Auto Nagar bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
50,Steel Plant,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,28K,City Ordinary,Steel Plant → Auto Nagar → NAD Junction → Jagadamba → Siripuram → RK Beach,19.5,58 min,Rs.32,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 28K from Steel Plant bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
51,Scindia,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,28S,City Ordinary,Scindia → Old Harbour → One Town → Poorna Market → Jagadamba → RK Beach,19.9,1h 0min,Rs.33,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 28S from Scindia bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
52,One Town,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,99OT,City Ordinary,One Town → Poorna Market → Jagadamba → Siripuram → Beach Road → RK Beach,7.4,22 min,Rs.15,5:30 AM,10:30 PM,20,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 99OT from One Town bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
53,Poorna Market,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,5,City Ordinary,Poorna Market → Jagadamba → Siripuram → CMR Circle → Beach Road → RK Beach,7.1,21 min,Rs.15,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 5 from Poorna Market bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
54,RK Beach,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,99RK,City Ordinary,RK Beach → Siripuram → CMR Circle → Beach Road → YMCA Junction,1.8,5 min,Rs.12,5:30 AM,10:30 PM,10,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 99RK from RK Beach bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
55,Rushikonda,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,RSH1,City Ordinary,Rushikonda Beach → Lawson's Bay → Waltair → Beach Road → RK Beach,1.8,5 min,Rs.12,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus RSH1 from Rushikonda bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
56,Lawson's Bay,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,52A,City Ordinary,Lawson's Bay → Waltair → CMR Circle → Siripuram → Beach Road → RK Beach,1.0,3 min,Rs.12,5:30 AM,10:30 PM,20,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 52A from Lawson's Bay bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
57,Hanumanthuwaka,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,222H,City Ordinary,Hanumanthuwaka → Arilova → MVP Colony → Maddilapalem → Jagadamba → RK Beach,11.7,35 min,Rs.21,5:30 AM,10:30 PM,20,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 222H from Hanumanthuwaka bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
58,Arilova,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,14AR,City Ordinary,Arilova → Hanumanthuwaka → MVP Colony → Maddilapalem → Jagadamba → RK Beach,15.0,45 min,Rs.26,5:30 AM,10:30 PM,15,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 14AR from Arilova bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
59,Beach Road,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,28BR,City Ordinary,Beach Road → YMCA Junction → Siripuram → CMR Circle → RK Beach,2.3,7 min,Rs.12,5:30 AM,10:30 PM,20,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 28BR from Beach Road bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
60,Kailasagiri,TU 142 Aircraft Museum,Beach Road,YMCA Junction / Beach Road,52K,City Ordinary,Kailasagiri → Lawson's Bay → Waltair → Beach Road → RK Beach,1.5,4 min,Rs.12,5:30 AM,10:30 PM,20,0.3,Yes - Beach Road well-connected by APSRTC,Board APSRTC bus 52K from Kailasagiri bus stop towards RK Beach/Beach Road. Alight at YMCA Junction / Beach Road for TU 142 Aircraft Museum. Beach Road area.
