trip_id,source_area,theater_name,theater_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
TR00011,Gajuwaka,Sri Kanya Theatre,Dwaraka Nagar,12.8,30-40 mins,Rs.127-157,Rs.183-223,Rs.252-312,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"CMR Mall, Dwaraka Nagar Signal, PVR Complex",Travel from Gajuwaka to Sri Kanya Theatre in Dwaraka Nagar. Distance approx 12.8 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00012,Gajuwaka,Kinnera Theatre,Seethammadhara,15.7,37-47 mins,Rs.150-180,Rs.218-258,Rs.295-355,Moderate,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Seethammadhara Signal, Kinnera Junction",Travel from Gajuwaka to Kinnera Theatre in Seethammadhara. Distance approx 15.7 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00013,Gajuwaka,Urvasi Theatre,Jagadamba Junction,12.0,28-38 mins,Rs.121-151,Rs.174-214,Rs.240-300,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"Jagadamba Centre, Melody Theatre Road, City Bus Stand",Travel from Gajuwaka to Urvasi Theatre in Jagadamba Junction. Distance approx 12.0 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00014,Gajuwaka,Sukanya Theatre,Gajuwaka,0.0,5-15 mins,Rs.25-55,Rs.30-70,Rs.60-120,Moderate,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Gajuwaka Bus Stand, Steel Plant Gate",Travel from Gajuwaka to Sukanya Theatre in Gajuwaka. Distance approx 0.0 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00015,Gajuwaka,Sarada Theatre,Gajuwaka,0.0,5-15 mins,Rs.25-55,Rs.30-70,Rs.60-120,Moderate,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Gajuwaka Bus Stand, Steel Plant Gate",Travel from Gajuwaka to Sarada Theatre in Gajuwaka. Distance approx 0.0 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00016,Gajuwaka,Poorna Theatre,Visakhapatnam City,12.0,28-38 mins,Rs.121-151,Rs.174-214,Rs.240-300,Low,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"RTC Complex, Poorna Market, One Town",Travel from Gajuwaka to Poorna Theatre in Visakhapatnam City. Distance approx 12.0 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00017,Gajuwaka,V Max Theatre,Siripuram,14.6,35-45 mins,Rs.141-171,Rs.205-245,Rs.279-339,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"Fun Republic Mall, Siripuram Junction",Travel from Gajuwaka to V Max Theatre in Siripuram. Distance approx 14.6 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00018,Gajuwaka,Lakshmikanth Theatre,RTC Complex,12.2,29-39 mins,Rs.122-152,Rs.176-216,Rs.243-303,High,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"RTC Complex Bus Stand, Railway Station Flyover",Travel from Gajuwaka to Lakshmikanth Theatre in RTC Complex. Distance approx 12.2 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00019,Gajuwaka,Mohini Theatre,Dondaparthy,14.2,34-44 mins,Rs.138-168,Rs.200-240,Rs.273-333,Low,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Dondaparthy Main Road, Visakhapatnam",Travel from Gajuwaka to Mohini Theatre in Dondaparthy. Distance approx 14.2 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00020,Gajuwaka,Sri Venkateswara Theatre,NAD Junction,6.5,15-25 mins,Rs.77-107,Rs.108-148,Rs.157-217,Low,Auto,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"NAD Junction Signal, NAD Post Office",Travel from Gajuwaka to Sri Venkateswara Theatre in NAD Junction. Distance approx 6.5 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00021,Gajuwaka,Ramadevi Theatre,Gajuwaka,0.0,5-15 mins,Rs.25-55,Rs.30-70,Rs.60-120,Moderate,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Gajuwaka Bus Stand, Steel Plant Gate",Travel from Gajuwaka to Ramadevi Theatre in Gajuwaka. Distance approx 0.0 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00022,Gajuwaka,Durga Theatre,Visakhapatnam City,12.0,28-38 mins,Rs.121-151,Rs.174-214,Rs.240-300,Low,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"RTC Complex, Poorna Market, One Town",Travel from Gajuwaka to Durga Theatre in Visakhapatnam City. Distance approx 12.0 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00023,Gajuwaka,Srinivasa Theatre,Gajuwaka,0.0,5-15 mins,Rs.25-55,Rs.30-70,Rs.60-120,Moderate,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Gajuwaka Bus Stand, Steel Plant Gate",Travel from Gajuwaka to Srinivasa Theatre in Gajuwaka. Distance approx 0.0 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00024,Gajuwaka,Raja Theatre,Maddilapalem,17.5,42-52 mins,Rs.165-195,Rs.240-280,Rs.322-382,Moderate,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"CMR Central Mall, Maddilapalem Market",Travel from Gajuwaka to Raja Theatre in Maddilapalem. Distance approx 17.5 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00025,Gajuwaka,Alankar Theatre,Visakhapatnam City,12.0,28-38 mins,Rs.121-151,Rs.174-214,Rs.240-300,Low,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"RTC Complex, Poorna Market, One Town",Travel from Gajuwaka to Alankar Theatre in Visakhapatnam City. Distance approx 12.0 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00026,Gajuwaka,Swapna Theatre,Gajuwaka,0.0,5-15 mins,Rs.25-55,Rs.30-70,Rs.60-120,Moderate,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Gajuwaka Bus Stand, Steel Plant Gate",Travel from Gajuwaka to Swapna Theatre in Gajuwaka. Distance approx 0.0 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00027,Gajuwaka,Beach Road Cinemas,Beach Road,18.0,43-53 mins,Rs.169-199,Rs.246-286,Rs.330-390,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"Beach Road, Kailasagiri Ropeway, RK Beach",Travel from Gajuwaka to Beach Road Cinemas in Beach Road. Distance approx 18.0 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00028,Gajuwaka,NAD Cineplex,NAD Junction,6.5,15-25 mins,Rs.77-107,Rs.108-148,Rs.157-217,Low,Auto,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"NAD Junction Signal, NAD Post Office",Travel from Gajuwaka to NAD Cineplex in NAD Junction. Distance approx 6.5 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00029,Gajuwaka,MVP Talkies,MVP Colony,13.3,31-41 mins,Rs.131-161,Rs.189-229,Rs.259-319,Moderate,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"MVP Market, VMRDA Park, MVP Water Tank",Travel from Gajuwaka to MVP Talkies in MVP Colony. Distance approx 13.3 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00030,Gajuwaka,Dwaraka Talkies,Dwaraka Nagar,12.8,30-40 mins,Rs.127-157,Rs.183-223,Rs.252-312,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"CMR Mall, Dwaraka Nagar Signal, PVR Complex",Travel from Gajuwaka to Dwaraka Talkies in Dwaraka Nagar. Distance approx 12.8 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00031,Gajuwaka,Maddilapalem Cinemas,Maddilapalem,17.5,42-52 mins,Rs.165-195,Rs.240-280,Rs.322-382,Moderate,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"CMR Central Mall, Maddilapalem Market",Travel from Gajuwaka to Maddilapalem Cinemas in Maddilapalem. Distance approx 17.5 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00032,Gajuwaka,RTC Complex Cinema Hall,RTC Complex,12.2,29-39 mins,Rs.122-152,Rs.176-216,Rs.243-303,High,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"RTC Complex Bus Stand, Railway Station Flyover",Travel from Gajuwaka to RTC Complex Cinema Hall in RTC Complex. Distance approx 12.2 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00033,Gajuwaka,Gajuwaka Talkies,Gajuwaka,0.0,5-15 mins,Rs.25-55,Rs.30-70,Rs.60-120,Moderate,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Gajuwaka Bus Stand, Steel Plant Gate",Travel from Gajuwaka to Gajuwaka Talkies in Gajuwaka. Distance approx 0.0 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00034,Gajuwaka,Sri Balaji Theatre Gajuwaka,Gajuwaka,0.0,5-15 mins,Rs.25-55,Rs.30-70,Rs.60-120,Moderate,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Gajuwaka Bus Stand, Steel Plant Gate",Travel from Gajuwaka to Sri Balaji Theatre Gajuwaka in Gajuwaka. Distance approx 0.0 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00035,Gajuwaka,Bhavani Theatre Gajuwaka,Gajuwaka,0.0,5-15 mins,Rs.25-55,Rs.30-70,Rs.60-120,Moderate,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Gajuwaka Bus Stand, Steel Plant Gate",Travel from Gajuwaka to Bhavani Theatre Gajuwaka in Gajuwaka. Distance approx 0.0 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00036,Gajuwaka,Sudarshan Theatre NAD,NAD Junction,6.5,15-25 mins,Rs.77-107,Rs.108-148,Rs.157-217,Low,Auto,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"NAD Junction Signal, NAD Post Office",Travel from Gajuwaka to Sudarshan Theatre NAD in NAD Junction. Distance approx 6.5 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00037,Gajuwaka,Sri Rama Theatre NAD,NAD Junction,6.5,15-25 mins,Rs.77-107,Rs.108-148,Rs.157-217,Low,Auto,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"NAD Junction Signal, NAD Post Office",Travel from Gajuwaka to Sri Rama Theatre NAD in NAD Junction. Distance approx 6.5 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00038,Gajuwaka,Surya Cinema Beach Road,Beach Road,18.0,43-53 mins,Rs.169-199,Rs.246-286,Rs.330-390,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"Beach Road, Kailasagiri Ropeway, RK Beach",Travel from Gajuwaka to Surya Cinema Beach Road in Beach Road. Distance approx 18.0 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00039,Gajuwaka,Sagar Theatre Beach Road,Beach Road,18.0,43-53 mins,Rs.169-199,Rs.246-286,Rs.330-390,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"Beach Road, Kailasagiri Ropeway, RK Beach",Travel from Gajuwaka to Sagar Theatre Beach Road in Beach Road. Distance approx 18.0 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00040,Gajuwaka,Santhi Theatre Dwaraka Nagar,Dwaraka Nagar,12.8,30-40 mins,Rs.127-157,Rs.183-223,Rs.252-312,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"CMR Mall, Dwaraka Nagar Signal, PVR Complex",Travel from Gajuwaka to Santhi Theatre Dwaraka Nagar in Dwaraka Nagar. Distance approx 12.8 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00041,Gajuwaka,Vijaya Theatre Dwaraka Nagar,Dwaraka Nagar,12.8,30-40 mins,Rs.127-157,Rs.183-223,Rs.252-312,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"CMR Mall, Dwaraka Nagar Signal, PVR Complex",Travel from Gajuwaka to Vijaya Theatre Dwaraka Nagar in Dwaraka Nagar. Distance approx 12.8 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00042,Gajuwaka,Lakshmi Theatre MVP Colony,MVP Colony,13.3,31-41 mins,Rs.131-161,Rs.189-229,Rs.259-319,Moderate,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"MVP Market, VMRDA Park, MVP Water Tank",Travel from Gajuwaka to Lakshmi Theatre MVP Colony in MVP Colony. Distance approx 13.3 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00043,Gajuwaka,Roja Theatre MVP Colony,MVP Colony,13.3,31-41 mins,Rs.131-161,Rs.189-229,Rs.259-319,Moderate,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"MVP Market, VMRDA Park, MVP Water Tank",Travel from Gajuwaka to Roja Theatre MVP Colony in MVP Colony. Distance approx 13.3 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00044,Gajuwaka,Ganga Theatre Maddilapalem,Maddilapalem,17.5,42-52 mins,Rs.165-195,Rs.240-280,Rs.322-382,Moderate,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"CMR Central Mall, Maddilapalem Market",Travel from Gajuwaka to Ganga Theatre Maddilapalem in Maddilapalem. Distance approx 17.5 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00045,Gajuwaka,Sri Durga Bhavani Theatre,Jagadamba Junction,12.0,28-38 mins,Rs.121-151,Rs.174-214,Rs.240-300,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"Jagadamba Centre, Melody Theatre Road, City Bus Stand",Travel from Gajuwaka to Sri Durga Bhavani Theatre in Jagadamba Junction. Distance approx 12.0 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00046,Gajuwaka,Anjali Theatre,Jagadamba Junction,12.0,28-38 mins,Rs.121-151,Rs.174-214,Rs.240-300,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"Jagadamba Centre, Melody Theatre Road, City Bus Stand",Travel from Gajuwaka to Anjali Theatre in Jagadamba Junction. Distance approx 12.0 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00047,Gajuwaka,Waltair Talkies,Waltair,17.8,42-52 mins,Rs.167-197,Rs.243-283,Rs.327-387,Low,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Waltair Club, AU Campus, Waltair Junction",Travel from Gajuwaka to Waltair Talkies in Waltair. Distance approx 17.8 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00048,Gajuwaka,Sri Sarada Theatre Seethammadhara,Seethammadhara,15.7,37-47 mins,Rs.150-180,Rs.218-258,Rs.295-355,Moderate,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Seethammadhara Signal, Kinnera Junction",Travel from Gajuwaka to Sri Sarada Theatre Seethammadhara in Seethammadhara. Distance approx 15.7 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00049,Gajuwaka,Simhadri Theatre Simhachalam,Simhachalam,12.1,29-39 mins,Rs.121-151,Rs.175-215,Rs.241-301,Low,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Simhachalam Temple, Simhachalam Bus Stop",Travel from Gajuwaka to Simhadri Theatre Simhachalam in Simhachalam. Distance approx 12.1 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00050,Gajuwaka,Sri Lakshmi Theatre Pendurthi,Pendurthi,21.2,50-60 mins,Rs.194-224,Rs.284-324,Rs.378-438,Low,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Pendurthi Market, Pendurthi Circle",Travel from Gajuwaka to Sri Lakshmi Theatre Pendurthi in Pendurthi. Distance approx 21.2 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00051,Gajuwaka,VPLEX Multiplex,Kommadi,25.2,60-70 mins,Rs.226-256,Rs.332-372,Rs.438-498,Low,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Kommadi Junction, Madhurawada Flyover",Travel from Gajuwaka to VPLEX Multiplex in Kommadi. Distance approx 25.2 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00052,Gajuwaka,Ukkunagaram Talkies,Ukkunagaram,1.4,5-15 mins,Rs.36-66,Rs.46-86,Rs.81-141,Low,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Ukkunagaram Main Road, Visakhapatnam",Travel from Gajuwaka to Ukkunagaram Talkies in Ukkunagaram. Distance approx 1.4 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00053,Gajuwaka,Rushikonda Cinemax,Rushikonda,24.9,59-69 mins,Rs.224-254,Rs.328-368,Rs.433-493,Low,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Rushikonda Beach, IT Park",Travel from Gajuwaka to Rushikonda Cinemax in Rushikonda. Distance approx 24.9 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00054,Gajuwaka,Vasavi Theatre Asilmetta,Asilmetta,14.7,35-45 mins,Rs.142-172,Rs.206-246,Rs.280-340,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"Asilmetta Junction, Chitralaya Mall",Travel from Gajuwaka to Vasavi Theatre Asilmetta in Asilmetta. Distance approx 14.7 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00055,Gajuwaka,INOX Chitralayaa Mall,Asilmetta,14.7,35-45 mins,Rs.142-172,Rs.206-246,Rs.280-340,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"Asilmetta Junction, Chitralaya Mall",Travel from Gajuwaka to INOX Chitralayaa Mall in Asilmetta. Distance approx 14.7 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00056,Gajuwaka,Cinepolis Sree Kanya,Dwaraka Nagar,12.8,30-40 mins,Rs.127-157,Rs.183-223,Rs.252-312,High,Cab,6:00 PM - 10:00 PM (Movie rush),10:00 AM - 1:00 PM,"CMR Mall, Dwaraka Nagar Signal, PVR Complex",Travel from Gajuwaka to Cinepolis Sree Kanya in Dwaraka Nagar. Distance approx 12.8 km via city roads. Traffic is typically High on this route. Rapido bike is fastest during peak movie hours.
TR00057,Gajuwaka,Mukta A2 Cinemas,Kommadi,25.2,60-70 mins,Rs.226-256,Rs.332-372,Rs.438-498,Low,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Kommadi Junction, Madhurawada Flyover",Travel from Gajuwaka to Mukta A2 Cinemas in Kommadi. Distance approx 25.2 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00058,Gajuwaka,Miraj Cinemas Vizag,Hanumanthawaka,11.5,27-37 mins,Rs.117-147,Rs.168-208,Rs.232-292,Low,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Miraj Cinemas, Hanumanthawaka Junction",Travel from Gajuwaka to Miraj Cinemas Vizag in Hanumanthawaka. Distance approx 11.5 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00059,Gajuwaka,Sree Rama Picture Palace 4K Dolby Atmos,Gajuwaka,0.0,5-15 mins,Rs.25-55,Rs.30-70,Rs.60-120,Moderate,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Gajuwaka Bus Stand, Steel Plant Gate",Travel from Gajuwaka to Sree Rama Picture Palace 4K Dolby Atmos in Gajuwaka. Distance approx 0.0 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00060,Gajuwaka,Kameswari Theatre,Gajuwaka,0.0,5-15 mins,Rs.25-55,Rs.30-70,Rs.60-120,Moderate,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Gajuwaka Bus Stand, Steel Plant Gate",Travel from Gajuwaka to Kameswari Theatre in Gajuwaka. Distance approx 0.0 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00061,Gajuwaka,Sri Balajee Theatre Bheemunipatnam,Bheemunipatnam,44.0,105-115 mins,Rs.377-407,Rs.558-598,Rs.720-780,Low,Cab,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Bheemunipatnam Main Road, Visakhapatnam",Travel from Gajuwaka to Sri Balajee Theatre Bheemunipatnam in Bheemunipatnam. Distance approx 44.0 km via city roads. Traffic is typically Low on this route. Rapido bike is fastest during peak movie hours.
TR00062,Gajuwaka,Shanthi Theatre Gajuwaka,Gajuwaka,0.0,5-15 mins,Rs.25-55,Rs.30-70,Rs.60-120,Moderate,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Gajuwaka Bus Stand, Steel Plant Gate",Travel from Gajuwaka to Shanthi Theatre Gajuwaka in Gajuwaka. Distance approx 0.0 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00063,Gajuwaka,Srinivasa Talkies Gajuwaka,Gajuwaka,0.0,5-15 mins,Rs.25-55,Rs.30-70,Rs.60-120,Moderate,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Gajuwaka Bus Stand, Steel Plant Gate",Travel from Gajuwaka to Srinivasa Talkies Gajuwaka in Gajuwaka. Distance approx 0.0 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
TR00064,Gajuwaka,Sri Mahalakshmi Theatre Gajuwaka,Gajuwaka,0.0,5-15 mins,Rs.25-55,Rs.30-70,Rs.60-120,Moderate,Rapido Bike,6:00 PM - 9:30 PM,10:00 AM - 1:00 PM,"Gajuwaka Bus Stand, Steel Plant Gate",Travel from Gajuwaka to Sri Mahalakshmi Theatre Gajuwaka in Gajuwaka. Distance approx 0.0 km via city roads. Traffic is typically Moderate on this route. Rapido bike is fastest during peak movie hours.
