trip_id,source_area,pub_name,pub_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,late_night_availability,peak_time,off_peak_time,nearest_landmarks,description
TRP00011,Jagadamba,Theeram Kitchen & Bar,Siripuram,3,10 mins,₹50,₹65,₹110,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Jagadamba to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00012,Asilmetta,Theeram Kitchen & Bar,Siripuram,3,10 mins,₹50,₹65,₹110,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Asilmetta to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00013,Railway Station,Theeram Kitchen & Bar,Siripuram,5,15 mins,₹65,₹90,₹150,Moderate,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Railway Station to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00014,RTC Complex,Theeram Kitchen & Bar,Siripuram,5,14 mins,₹65,₹90,₹150,Moderate,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from RTC Complex to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00015,Airport,Theeram Kitchen & Bar,Siripuram,20,45 mins,₹185,₹270,₹420,Moderate,Cab,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Airport to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Cab."
TRP00016,Pendurthi,Theeram Kitchen & Bar,Siripuram,22,50 mins,₹200,₹295,₹460,Moderate,Cab,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Pendurthi to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Cab."
TRP00017,Gopalapatnam,Theeram Kitchen & Bar,Siripuram,12,28 mins,₹120,₹175,₹280,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Gopalapatnam to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00018,Kurmannapalem,Theeram Kitchen & Bar,Siripuram,10,24 mins,₹105,₹150,₹240,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Kurmannapalem to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00019,Auto Nagar,Theeram Kitchen & Bar,Siripuram,12,28 mins,₹120,₹175,₹280,High,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Auto Nagar to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00020,Steel Plant,Theeram Kitchen & Bar,Siripuram,16,38 mins,₹155,₹220,₹350,High,Cab,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Steel Plant to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Cab."
TRP00021,Scindia,Theeram Kitchen & Bar,Siripuram,7,18 mins,₹80,₹115,₹190,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Scindia to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00022,One Town,Theeram Kitchen & Bar,Siripuram,6,16 mins,₹75,₹100,₹170,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from One Town to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00023,Poorna Market,Theeram Kitchen & Bar,Siripuram,5,14 mins,₹65,₹90,₹150,Moderate,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Poorna Market to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00024,RK Beach,Theeram Kitchen & Bar,Siripuram,4,12 mins,₹55,₹80,₹130,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from RK Beach to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00025,Rushikonda,Theeram Kitchen & Bar,Siripuram,15,35 mins,₹145,₹210,₹330,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Rushikonda to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00026,Lawson's Bay,Theeram Kitchen & Bar,Siripuram,7,18 mins,₹80,₹115,₹190,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Lawson's Bay to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00027,Hanumanthuwaka,Theeram Kitchen & Bar,Siripuram,8,20 mins,₹90,₹125,₹200,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Hanumanthuwaka to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00028,Arilova,Theeram Kitchen & Bar,Siripuram,9,22 mins,₹95,₹140,₹220,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Arilova to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00029,Beach Road,Theeram Kitchen & Bar,Siripuram,3,10 mins,₹50,₹65,₹110,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Beach Road to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00030,Kailasagiri,Theeram Kitchen & Bar,Siripuram,6,16 mins,₹75,₹100,₹170,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Sreekanya Road, Siripuram Junction, Waltair Main Road","Travel from Kailasagiri to Theeram Kitchen & Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00031,Gajuwaka,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,13,32 mins,₹130,₹185,₹290,High,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Gajuwaka to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Auto."
TRP00032,Kommadi,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,16,35 mins,₹155,₹220,₹350,Moderate,Cab,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Kommadi to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Cab."
TRP00033,Madhurawada,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,14,32 mins,₹135,₹200,₹310,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Madhurawada to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Auto."
TRP00034,PM Palem,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,15,33 mins,₹145,₹210,₹330,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from PM Palem to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Auto."
TRP00035,MVP Colony,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,8,18 mins,₹90,₹125,₹200,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from MVP Colony to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Auto."
TRP00036,Siripuram,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,2,8 mins,₹40,₹55,₹100,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Siripuram to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00037,Dwaraka Nagar,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,1,5 mins,₹35,₹50,₹100,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Dwaraka Nagar to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00038,Maddilapalem,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,4,12 mins,₹55,₹80,₹130,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Maddilapalem to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00039,NAD Junction,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,7,18 mins,₹80,₹115,₹190,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from NAD Junction to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Auto."
TRP00040,Seethammadhara,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,3,10 mins,₹50,₹65,₹110,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Seethammadhara to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00041,Jagadamba,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,2,7 mins,₹40,₹55,₹100,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Jagadamba to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00042,Asilmetta,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,2,8 mins,₹40,₹55,₹100,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Asilmetta to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00043,Railway Station,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,4,12 mins,₹55,₹80,₹130,Moderate,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Railway Station to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00044,RTC Complex,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,3,10 mins,₹50,₹65,₹110,Moderate,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from RTC Complex to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00045,Airport,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,18,40 mins,₹170,₹245,₹380,Moderate,Cab,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Airport to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Cab."
TRP00046,Pendurthi,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,20,45 mins,₹185,₹270,₹420,Moderate,Cab,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Pendurthi to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Cab."
TRP00047,Gopalapatnam,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,10,25 mins,₹105,₹150,₹240,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Gopalapatnam to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Auto."
TRP00048,Kurmannapalem,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,8,20 mins,₹90,₹125,₹200,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Kurmannapalem to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Auto."
TRP00049,Auto Nagar,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,11,26 mins,₹115,₹160,₹260,High,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Auto Nagar to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Auto."
TRP00050,Steel Plant,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,15,35 mins,₹145,₹210,₹330,High,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Steel Plant to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Auto."
TRP00051,Scindia,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,5,15 mins,₹65,₹90,₹150,Moderate,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Scindia to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00052,One Town,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,4,12 mins,₹55,₹80,₹130,Moderate,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from One Town to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00053,Poorna Market,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,3,10 mins,₹50,₹65,₹110,Moderate,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Poorna Market to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00054,RK Beach,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,5,14 mins,₹65,₹90,₹150,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from RK Beach to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00055,Rushikonda,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,14,32 mins,₹135,₹200,₹310,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Rushikonda to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Auto."
TRP00056,Lawson's Bay,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,6,15 mins,₹75,₹100,₹170,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Lawson's Bay to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00057,Hanumanthuwaka,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,7,18 mins,₹80,₹115,₹190,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Hanumanthuwaka to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Auto."
TRP00058,Arilova,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,8,20 mins,₹90,₹125,₹200,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Arilova to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Auto."
TRP00059,Beach Road,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,4,12 mins,₹55,₹80,₹130,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Beach Road to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00060,Kailasagiri,Embers Multi-cuisine Restaurant and Bar,Dwaraka Nagar,7,18 mins,₹80,₹115,₹190,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,Waltair Main Road,"Travel from Kailasagiri to Embers Multi-cuisine Restaurant and Bar located at Dwaraka Nagar, Visakhapatnam. Best reached via Rapido Bike."
TRP00061,Gajuwaka,Mustang Bar,Siripuram,14,35 mins,₹135,₹200,₹310,High,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Waltair Main Road, Siripuram","Travel from Gajuwaka to Mustang Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00062,Kommadi,Mustang Bar,Siripuram,18,40 mins,₹170,₹245,₹380,Moderate,Cab,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Waltair Main Road, Siripuram","Travel from Kommadi to Mustang Bar located at Siripuram, Visakhapatnam. Best reached via Cab."
TRP00063,Madhurawada,Mustang Bar,Siripuram,16,38 mins,₹155,₹220,₹350,Moderate,Cab,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Waltair Main Road, Siripuram","Travel from Madhurawada to Mustang Bar located at Siripuram, Visakhapatnam. Best reached via Cab."
TRP00064,PM Palem,Mustang Bar,Siripuram,17,38 mins,₹160,₹235,₹370,Moderate,Cab,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Waltair Main Road, Siripuram","Travel from PM Palem to Mustang Bar located at Siripuram, Visakhapatnam. Best reached via Cab."
TRP00065,MVP Colony,Mustang Bar,Siripuram,10,22 mins,₹105,₹150,₹240,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Waltair Main Road, Siripuram","Travel from MVP Colony to Mustang Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00066,Siripuram,Mustang Bar,Siripuram,1,5 mins,₹35,₹50,₹100,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Waltair Main Road, Siripuram","Travel from Siripuram to Mustang Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00067,Dwaraka Nagar,Mustang Bar,Siripuram,2,8 mins,₹40,₹55,₹100,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Waltair Main Road, Siripuram","Travel from Dwaraka Nagar to Mustang Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00068,Maddilapalem,Mustang Bar,Siripuram,5,15 mins,₹65,₹90,₹150,Moderate,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Waltair Main Road, Siripuram","Travel from Maddilapalem to Mustang Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00069,NAD Junction,Mustang Bar,Siripuram,8,20 mins,₹90,₹125,₹200,Moderate,Auto,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Waltair Main Road, Siripuram","Travel from NAD Junction to Mustang Bar located at Siripuram, Visakhapatnam. Best reached via Auto."
TRP00070,Seethammadhara,Mustang Bar,Siripuram,4,12 mins,₹55,₹80,₹130,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Waltair Main Road, Siripuram","Travel from Seethammadhara to Mustang Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
TRP00071,Jagadamba,Mustang Bar,Siripuram,3,10 mins,₹50,₹65,₹110,Low,Rapido Bike,Rapido Bike & Cab available till 2 AM; Auto limited after midnight,7 PM - 10 PM,2 PM - 5 PM,"Waltair Main Road, Siripuram","Travel from Jagadamba to Mustang Bar located at Siripuram, Visakhapatnam. Best reached via Rapido Bike."
