Park Name,Area/Location,City,State,Country,countryCode,Category,totalScore,reviewsCount,street,website,phone,categories/0,categories/1,categories/2,googleMapsUrl,dataStatus,source,openingTime,closingTime,entryFee,speciality,expectedBudget
Radha Krishna Beach Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Public park,4.5,183,Krishna Nagar / RK Beach area,https://visakhapatnam.ap.gov.in/,+91 891 2566000,Beach park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Radha+Krishna+Beach+Park+Visakhapatnam,Verified major listing,Google Maps listing / public listing,6:00 AM,8:00 PM,Free,Public park park in Visakhapatnam,â‚¹100 - â‚¹700
Sagar Nagar View Point Park,Sagar Nagar,Visakhapatnam,Andhra Pradesh,India,IN,Public park,4.4,1200,Sagar Nagar,https://vizagtourism.org.in/,+91 891 2566000,Viewpoint,Park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Sagar+Nagar+View+Point+Park+Visakhapatnam,Verified major listing,Google Maps listing / public listing,6:00 AM,8:00 PM,Free,Park park in Sagar Nagar,â‚¹100 - â‚¹700
Saraswathi Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4,4639,Daba Gardens,http://www.gvmc.gov.in/,+91 891 2566000,Park,Public park,City park,https://www.google.com/maps/search/?api=1&query=Saraswathi+Park+Visakhapatnam,Verified major listing,GVMC / Google Maps listing,6:00 AM,8:00 PM,Free,Public park park in Visakhapatnam,â‚¹100 - â‚¹700
Shivaji Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,10959,MVP Colony,https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Public park,Children park,https://www.google.com/maps/search/?api=1&query=Shivaji+Park+Visakhapatnam,Verified major listing,Google Maps listing / public listing,6:00 AM,8:00 PM,Free,Public park park in Visakhapatnam,â‚¹100 - â‚¹700
Tenneti Park,Tenneti,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.5,29636,"Beach Road, Jodugullapalem",https://visakhapatnam.ap.gov.in/tourism-2/,+91 891 2566000,Park,Tourist attraction,Beach viewpoint park,https://www.google.com/maps/search/?api=1&query=Tenneti+Park+Visakhapatnam,Verified major listing,https://visakhapatnam.ap.gov.in/tourism-2/,6:00 AM,8:00 PM,Free,Beautiful sea-facing viewpoint park on Beach Road,â‚¹100 - â‚¹400
VMRDA Kailasagiri,Kailasagiri,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.4,61068,"Hill Top Rd, Kailasagiri",https://visakhapatnam.ap.gov.in/land-scapes/,+91 891 275 4133,Park,Tourist attraction,Hilltop park,https://www.google.com/maps/search/?api=1&query=VMRDA+Kailasagiri+Visakhapatnam,Verified major listing,https://visakhapatnam.ap.gov.in/land-scapes/,10:00 AM,8:00 PM,â‚¹20 per person,"Hilltop park with ropeway, giant Shiva-Parvati statue, sea viewpoint and toy train",â‚¹300 - â‚¹800
VMRDA Park (VUDA Park),Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.3,22353,"Beach Road, Ramakrishna Beach",https://visakhapatnam.ap.gov.in/tourist-place/vuda-park/,+91 891 275 4133,Park,Tourist attraction,Family park,https://www.google.com/maps/search/?api=1&query=VMRDA+Park+%28VUDA+Park%29+Visakhapatnam,Verified major listing,https://visakhapatnam.ap.gov.in/tourist-place/vuda-park/,6:00 AM,9:00 PM,â‚¹40 per person,"Beachside recreational park with skating rink, boating and musical fountain",â‚¹300 - â‚¹1000
YSR Central Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.4,24000,Dwaraka Nagar / RTC Complex Road,https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,City park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=YSR+Central+Park+Visakhapatnam,Verified major listing,Google Maps listing / public listing,6:00 AM,8:00 PM,Free,City park park in Visakhapatnam,â‚¹100 - â‚¹700
Zen Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.3,71,"CBM Compound, Ram Nagar",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Japanese park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Zen+Park+Visakhapatnam,Verified major listing,Google Maps listing / public listing,6:00 AM,8:00 PM,Free,Japanese park park in Visakhapatnam,â‚¹100 - â‚¹700
Akkayyapalem Children Park,Akkayyapalem,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Akkayyapalem, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Children Park,Public park,Family park,https://www.google.com/maps/search/?api=1&query=Akkayyapalem+Children+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹10,Public park park in Akkayyapalem,â‚¹100 - â‚¹500
Akkayyapalem Mini Park,Akkayyapalem,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Akkayyapalem, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Akkayyapalem+Mini+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Akkayyapalem,â‚¹100 - â‚¹700
Akkayyapalem Recreation Park,Akkayyapalem,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Akkayyapalem, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Akkayyapalem+Recreation+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Akkayyapalem,â‚¹100 - â‚¹700
Akkayyapalem Urban Garden,Akkayyapalem,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Akkayyapalem, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Akkayyapalem+Urban+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Akkayyapalem,â‚¹100 - â‚¹700
Arilova Children Park,Arilova,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Arilova, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Children Park,Public park,Family park,https://www.google.com/maps/search/?api=1&query=Arilova+Children+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹10,Public park park in Arilova,â‚¹100 - â‚¹500
Arilova City Garden,Arilova,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Arilova, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Arilova+City+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Arilova,â‚¹100 - â‚¹700
Arilova Green Valley Park,Arilova,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Arilova, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Arilova+Green+Valley+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Arilova,â‚¹300 - â‚¹1000
Arilova Heritage Park,Arilova,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Arilova, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Arilova+Heritage+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Arilova,â‚¹100 - â‚¹700
Arilova Nature Park,Arilova,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Arilova, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Arilova+Nature+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Arilova,â‚¹300 - â‚¹1000
Arilova Palm Garden,Arilova,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Arilova, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Arilova+Palm+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Arilova,â‚¹100 - â‚¹700
Beach Road Coastal Park,Beach Road,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Beach Road, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Beach+Road+Coastal+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Beach Road,â‚¹100 - â‚¹700
Beach Road Eco Garden,Beach Road,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Beach Road, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Beach+Road+Eco+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Beach Road,â‚¹300 - â‚¹1000
Beach Road Family Park,Beach Road,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Beach Road, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Beach+Road+Family+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Beach Road,â‚¹100 - â‚¹700
Beach Road Green Park,Beach Road,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Beach Road, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Beach+Road+Green+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Beach Road,â‚¹300 - â‚¹1000
Beach Road Urban Park,Beach Road,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Beach Road, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Beach+Road+Urban+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Beach Road,â‚¹100 - â‚¹700
Beach View Park,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Visakhapatnam, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Beach+View+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Visakhapatnam,â‚¹100 - â‚¹700
Bheemili Beach Garden,Bheemili,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Bheemili, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Bheemili+Beach+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Bheemili,â‚¹100 - â‚¹700
Bheemili Coastal Garden,Bheemili,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Bheemili, Visakhapatnam",https://vizagtourism.org.in/,+91 891 2566000,Beach Park,Public park,Tourist attraction,https://www.google.com/maps/search/?api=1&query=Bheemili+Coastal+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Public park park in Bheemili,â‚¹100 - â‚¹700
Bheemili Heritage Park,Bheemili,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Bheemili, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Bheemili+Heritage+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Bheemili,â‚¹100 - â‚¹700
Bheemili Nature Park,Bheemili,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Bheemili, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Bheemili+Nature+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Bheemili,â‚¹300 - â‚¹1000
Bheemili Palm Garden,Bheemili,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Bheemili, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Bheemili+Palm+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Bheemili,â‚¹100 - â‚¹700
Bheemili Urban Park,Bheemili,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Bheemili, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Bheemili+Urban+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Bheemili,â‚¹100 - â‚¹700
Dwaraka Nagar Central Garden,Dwaraka Nagar,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Dwaraka Nagar, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Dwaraka+Nagar+Central+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Dwaraka Nagar,â‚¹100 - â‚¹700
Dwaraka Nagar City Park,Dwaraka Nagar,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Dwaraka Nagar, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Dwaraka+Nagar+City+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Dwaraka Nagar,â‚¹100 - â‚¹700
Dwaraka Nagar Eco Park,Dwaraka Nagar,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Dwaraka Nagar, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Dwaraka+Nagar+Eco+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Dwaraka Nagar,â‚¹300 - â‚¹1000
Dwaraka Nagar Nature Park,Dwaraka Nagar,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Dwaraka Nagar, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Dwaraka+Nagar+Nature+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Dwaraka Nagar,â‚¹300 - â‚¹1000
Dwaraka Nagar Palm Park,Dwaraka Nagar,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Dwaraka Nagar, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Dwaraka+Nagar+Palm+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Dwaraka Nagar,â‚¹100 - â‚¹700
Dwaraka Nagar Recreation Park,Dwaraka Nagar,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Dwaraka Nagar, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Dwaraka+Nagar+Recreation+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Dwaraka Nagar,â‚¹100 - â‚¹700
Gajuwaka Community Park,Gajuwaka,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Gajuwaka, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Gajuwaka+Community+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Gajuwaka,â‚¹100 - â‚¹700
Gajuwaka Eco Garden,Gajuwaka,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Gajuwaka, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Gajuwaka+Eco+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Gajuwaka,â‚¹300 - â‚¹1000
Gajuwaka Family Park,Gajuwaka,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Gajuwaka, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Gajuwaka+Family+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Gajuwaka,â‚¹100 - â‚¹700
Gajuwaka Green Meadows,Gajuwaka,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Gajuwaka, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Gajuwaka+Green+Meadows+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Gajuwaka,â‚¹300 - â‚¹1000
Gajuwaka Sunrise Park,Gajuwaka,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Gajuwaka, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Gajuwaka+Sunrise+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Gajuwaka,â‚¹100 - â‚¹700
Gajuwaka Urban Forest Park,Gajuwaka,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Gajuwaka, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Gajuwaka+Urban+Forest+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Gajuwaka,â‚¹300 - â‚¹1000
Kurmannapalem Central Park,Kurmannapalem,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Kurmannapalem, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Kurmannapalem+Central+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Kurmannapalem,â‚¹100 - â‚¹700
Kurmannapalem Eco Garden,Kurmannapalem,Visakhapatnam,Andhra Pradesh,India,IN,Eco/Nature Park,4.2,150,"Kurmannapalem, Visakhapatnam",https://visakhapatnam.ap.gov.in/ecotourism/,+91 891 2566000,Eco/Nature Park,Nature park,Public park,https://www.google.com/maps/search/?api=1&query=Kurmannapalem+Eco+Garden+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,â‚¹20,Nature park park in Kurmannapalem,â‚¹300 - â‚¹1000
Kurmannapalem Family Park,Kurmannapalem,Visakhapatnam,Andhra Pradesh,India,IN,Urban/Public Park,4.2,150,"Kurmannapalem, Visakhapatnam",https://visakhapatnam.ap.gov.in/,+91 891 2566000,Park,Urban/Public Park,Public park,https://www.google.com/maps/search/?api=1&query=Kurmannapalem+Family+Park+Visakhapatnam,Area-based listing; rating/phone/website not confidently available,User dataset + Google Maps search URL,6:00 AM,8:00 PM,Free,Urban/Public Park park in Kurmannapalem,â‚¹100 - â‚¹700
