S.No,Beach Name,Bus Route No,Route Description (From → To),Starting Point,Ending Point,Key Stops (Via),Approx Fare (₹),Journey Time,Frequency,First Bus,Last Bus,Alight At (Beach Stop),Direct Bus?,Last Mile Tips,Beach Latitude,Beach Longitude,Distance from City (km)
2,Rushikonda Beach,17K,Old Head Post Office → Bhimili,Old Head Post Office (OHPO),Bhimili,Town Kotharoad → Jagadamba → RTC Complex → Siripuram → Pedawaltair → Appughar → Sagarnagar → Rushikonda,20–35,70–85 min,Every 30–40 min,06:00 AM,09:00 PM,Rushikonda,YES – direct stop,Good from city centre / Jagadamba side,17.784,83.3784,12
2,Rushikonda Beach,52E,Old Head Post Office → Pedarushikonda,Old Head Post Office (OHPO),Pedarushikonda,Town Kotharoad → Jagadamba → RTC Complex → Maddilapalem → Hanumanthuwaka → Yendada → Madhurawada,20–30,65–80 min,Every 40 min,06:30 AM,08:00 PM,Pedarushikonda,YES – terminates near beach,Takes inland route via Madhurawada; less scenic,17.784,83.3784,12
2,Rushikonda Beach,999,RTC Complex → Bhimili (inland),RTC Complex,Bhimili,Maddilapalem → Hanumanthwaka → Yendada → Madhurawada → Anandapuram,20–35,70–85 min,Every 30–40 min,06:00 AM,09:00 PM,Anandapuram / Bhimili area,Partial – transfer needed,Alight at Anandapuram; share auto to Rushikonda (~₹20),17.784,83.3784,12
3,Yarada Beach,16,Poorna Market → Yarada Beach,Poorna Market,Yarada Beach,Convent Junction → ESSAR → Dockyard → Scindia → Wireless Station → Yarada Village,15–25,50–65 min,Every 60–90 min,06:30 AM,06:30 PM,Yarada Beach / Yarada Village,YES – terminates here,Only confirmed direct APSRTC bus; very infrequent – verify timings before travel; book return in advance,17.6618,83.2776,14
4,Bheemunipatnam Beach,900K,Railway Station → Bhimili (Beach Road),Visakhapatnam Railway Station,Bhimili,RTC Complex → Siripuram → Pedawaltair → Sagarnagar → Rushikonda → Thotlakonda → Mangamaripeta → INS Kalinga → Bhimili,30–45,85–100 min,Every 20–30 min,05:30 AM,10:00 PM,Bhimili Bus Stand,YES – terminates here,Main route; scenic Beach Road drive; most recommended,17.8899,83.4547,24
4,Bheemunipatnam Beach,900T,Railway Station → Tagarapuvalasa (via Bhimili),Visakhapatnam Railway Station,Tagarapuvalasa,RTC Complex → Pedawaltair → Rushikonda → Bhimili,30–45,85–100 min,Every 30 min,06:00 AM,09:00 PM,Bhimili,YES – stops here en route,Passes Bhimili before continuing to Tagarapuvalasa,17.8899,83.4547,24
4,Bheemunipatnam Beach,17K,Old Head Post Office → Bhimili,Old Head Post Office (OHPO),Bhimili,Town Kotharoad → Jagadamba → RTC Complex → Siripuram → Pedawaltair → Rushikonda,25–40,80–95 min,Every 30–40 min,06:00 AM,09:00 PM,Bhimili,YES – terminates here,Good from city centre / Jagadamba side,17.8899,83.4547,24
4,Bheemunipatnam Beach,999,RTC Complex → Bhimili (inland route),RTC Complex,Bhimili,Maddilapalem → Hanumanthwaka → Yendada → Madhurawada → Anandapuram,25–40,75–90 min,Every 30–40 min,06:00 AM,09:00 PM,Bhimili,YES – terminates here,Alternate inland route; less scenic,17.8899,83.4547,24
5,Lawson's Bay Beach,900K,Railway Station → Bhimili (via Lawson's Bay),Visakhapatnam Railway Station,Bhimili,RTC Complex → Siripuram → Pedawaltair → Appughar → Sagarnagar → Lawson's Bay Colony,20–30,45–55 min (to stop),Every 20–30 min,05:30 AM,10:00 PM,Lawson's Bay Colony,YES – direct stop,Most frequent and convenient option,17.7393,83.3522,5
5,Lawson's Bay Beach,17K,Bhimili → Old Head Post Office (via Lawson's Bay),Bhimili,Old Head Post Office,INS Kalinga → Mangamaripeta → Rushikonda → Sagarnagar → Lawson's Bay → MVP Colony → Pedawaltair,15–25,55–70 min (full route),Every 30–40 min,06:00 AM,09:00 PM,Lawson's Bay Colony,YES – direct stop,Board this bus from OHPO / Jagadamba side toward Bhimili; alight at Lawson's Bay,17.7393,83.3522,5
5,Lawson's Bay Beach,14,Venkojipalem → Old Head Post Office,Venkojipalem,Old Head Post Office,Appughar → Chinnawaltair → Siripuram → Jagadamba → Town Kotharoad,10–16,40–50 min,Every 20–25 min,06:00 AM,09:30 PM,Appughar / Lawson's Bay area,Partial – 5-min walk to beach,Alight at Appughar stop; 5-min walk to Lawson's Bay beach,17.7393,83.3522,5
5,Lawson's Bay Beach,900,Maddilapalem → Railway Station (via MVP Colony area),Maddilapalem,Railway Station,Venkojipalem → MVP Colony → Pedawaltair → Siripuram → RTC Complex,10–18,35–45 min,Every 20 min,05:30 AM,10:00 PM,MVP Colony / Lawson's Bay area,Partial – short walk,MVP Colony stop is close; 10-min walk to beach,17.7393,83.3522,5
6,Sagar Nagar Beach,900K,Railway Station → Bhimili (via Sagar Nagar),Visakhapatnam Railway Station,Bhimili,RTC Complex → Siripuram → Pedawaltair → Appughar → Sagarnagar,20–28,40–50 min (to stop),Every 20–30 min,05:30 AM,10:00 PM,Sagar Nagar Stop,YES – direct stop,900K is the confirmed bus for Sagar Nagar per Wikipedia – Sagar Nagar,17.7555,83.3637,7
7,Mangamaripeta Beach,900K,Railway Station → Bhimili (via Mangamaripeta),Visakhapatnam Railway Station,Bhimili,RTC Complex → Siripuram → Pedawaltair → Sagarnagar → Rushikonda → GITAM University → Mangamaripeta,28–38,65–80 min,Every 20–30 min,05:30 AM,10:00 PM,Mangamaripeta Stop,YES – direct stop,Confirmed by Wikipedia – Mangamaripeta and yovizag.com; alight at Mangamaripeta Bridge,17.8261,83.4112,17
7,Mangamaripeta Beach,900T,Railway Station → Tagarapuvalasa (via Mangamaripeta),Visakhapatnam Railway Station,Tagarapuvalasa,RTC Complex → Pedawaltair → Rushikonda → GITAM → Mangamaripeta → Bhimili,28–38,70–85 min,Every 30 min,06:00 AM,09:00 PM,Mangamaripeta,YES – direct stop,Same path as 900K up to Mangamaripeta,17.8261,83.4112,17
8,Thotlakonda Beach,900K,Railway Station → Bhimili (via Thotlakonda area),Visakhapatnam Railway Station,Bhimili,RTC Complex → Siripuram → Pedawaltair → Sagarnagar → Rushikonda → Thotlakonda → Mangamaripeta,28–38,65–80 min,Every 20–30 min,05:30 AM,10:00 PM,Mangamaripeta / Thotlakonda area,YES – alight near Thotlakonda,Alight at Mangamaripeta stop; Thotlakonda hill is a short auto ride or 15-min walk uphill,17.805,83.395,15
8,Thotlakonda Beach,900T,Railway Station → Tagarapuvalasa (via Thotlakonda),Visakhapatnam Railway Station,Tagarapuvalasa,RTC Complex → Pedawaltair → Rushikonda → Thotlakonda area → Mangamaripeta,28–38,70–85 min,Every 30 min,06:00 AM,09:00 PM,Mangamaripeta / Thotlakonda,YES – passes area,Same as 900K along Beach Road,17.805,83.395,15
9,Tenneti Park Beach,10K,Railway Station → Kailasagiri (via Tenneti Park),Visakhapatnam Railway Station,Kailasagiri,Jagadamba → RK Beach → VUDA Park → Tenneti Park,10–18,35–45 min,Every 20–25 min,06:00 AM,09:30 PM,Tenneti Park Gate,YES – direct stop,Alight at Tenneti Park gate; 2-min walk to beach; same bus also serves RK Beach,17.732,83.345,4
10,Gangavaram Beach,63,Gangavaram Port → RK Beach,Gangavaram Port,RK Beach,Pedagantyada → New Gajuwaka → Malkapuram → Scindia → Convent → Town Kotharoad → Jagadamba,15–25,55–70 min,Every 30–40 min,06:00 AM,09:00 PM,Gangavaram Port (origin),YES – starts at Gangavaram,Board bus 63 from RK Beach / Jagadamba side toward Gangavaram; alight at terminus,17.6367,83.2267,16
10,Gangavaram Beach,65F,Gangavaram Port → Fishing Harbour,Gangavaram Port,Fishing Harbour,Pedagantyada → New Gajuwaka → Malkapuram → Scindia → Convent → Town Kotharoad → Jagadamba,15–25,55–70 min,Every 40–50 min,06:30 AM,08:30 PM,Gangavaram Port (origin),YES – starts at Gangavaram,Beach area near the port; confirm with conductor,17.6367,83.2267,16
11,Appikonda Beach,900K,Railway Station → Bhimili (nearest route),Visakhapatnam Railway Station,Bhimili,RTC Complex → Pedawaltair → Sagarnagar → Rushikonda → Thotlakonda → Mangamaripeta,30–45,85–100 min,Every 20–30 min,05:30 AM,10:00 PM,Bhimili Bus Stand (nearest),NO – transfer needed,Alight at Bhimili; hire local auto to Appikonda (~₹30–50); no confirmed direct bus; remote fishing village,17.9052,83.4694,27
12,Tanthadi Beach,16,Poorna Market → Yarada (nearest route),Poorna Market,Yarada,Convent Junction → ESSAR → Dockyard → Scindia,15–25,45–55 min,Every 60–90 min,06:30 AM,06:30 PM,Scindia / Yarada area (partial),NO – transfer + walk,Tanthadi is south of Vizag near Yarada / Gangavaram area; alight at Scindia and use auto; no confirmed direct APSRTC service,17.67,83.25,13
13,Mutyalampalem Beach,28 / 99,RK Beach → Simhachalam / Gajuwaka direction,RK Beach,Gajuwaka / Scindia area,Jagadamba → RTC Complex → Scindia,12–20,40–55 min,Every 10–20 min,05:30 AM,10:30 PM,Scindia / Convent Jn area (nearest),NO – transfer needed,Mutyalampalem is near Fishing Harbour / Scindia area; alight at Convent Junction or Scindia; auto for final stretch; no direct confirmed bus,17.692,83.272,10
14,Kondakarla Ava Beach,400 / 400N,RTC Complex → Gajuwaka / Parawada direction,RTC Complex,Kurmannapalem / Parawada,Railway Station → Scindia → Malkapuram → Gajuwaka → Kurmannapalem → Parawada,25–40,70–90 min,Every 30–40 min,06:00 AM,08:00 PM,Achuthapuram area (transfer needed),NO – transfer needed,Kondakarla is ~60 km from Vizag near Achuthapuram; APSRTC operates intercity buses toward Anakapalle / Achuthapuram from RTC Complex; confirm at RTC Complex counter,17.62,82.98,60
15,Divis Beach,900K,Railway Station → Bhimili (Beach Road),Visakhapatnam Railway Station,Bhimili (Bheemunipatnam),RTC Complex → Siripuram → Pedawaltair → Sagarnagar → Lawsons Bay → Rushikonda → Thotlakonda → Mangamaripeta → Divis Beach,30–50,90–110 min,Every 30–40 min,05:30 AM,09:30 PM,Divis Beach / Kapuluppada Junction,Partial – alight & walk ~1 km,Auto-rickshaws available from Kapuluppada Junction to Divis Beach,17.869,83.448,22
15,Divis Beach,900T,Railway Station → Tagarapuvalasa (Beach Road),Visakhapatnam Railway Station,Tagarapuvalasa,RTC Complex → Siripuram → Pedawaltair → Sagarnagar → Rushikonda → Thotlakonda → Divis Beach Area,30–50,95–115 min,Every 40 min,06:00 AM,09:00 PM,Kapuluppada Junction,Partial – alight & walk/auto ~1 km,Share autos available from Kapuluppada to Divis Beach road,17.869,83.448,22
15,Divis Beach,28,RK Beach → Simhachalam,RK Beach,Simhachalam,Jagadamba → RTC Complex → NAD → Gopalapatnam → Kapuluppada,20–35,70–85 min,Every 15–20 min,05:30 AM,10:00 PM,Kapuluppada Stop,"No – alight at Kapuluppada, take auto",Auto from Kapuluppada to Divis Beach approx ₹40–60,17.869,83.448,22
16,Kapuluppada Beach,900K,Railway Station → Bhimili (Beach Road),Visakhapatnam Railway Station,Bhimili (Bheemunipatnam),RTC Complex → Siripuram → Pedawaltair → Sagarnagar → Lawsons Bay → Rushikonda → Thotlakonda → Kapuluppada,30–50,90–105 min,Every 20–30 min,05:30 AM,10:00 PM,Kapuluppada Junction,YES – stops at Kapuluppada Junction,Walk 800m or take auto to beach entry point,17.861,83.441,21
16,Kapuluppada Beach,900T,Railway Station → Tagarapuvalasa (Beach Road),Visakhapatnam Railway Station,Tagarapuvalasa,RTC Complex → Pedawaltair → Sagarnagar → Rushikonda → Kapuluppada → Thotlakonda,30–45,85–100 min,Every 30 min,06:00 AM,09:00 PM,Kapuluppada Junction,YES – stops at Kapuluppada,Auto-rickshaws available at junction; ₹30–50 to beach,17.861,83.441,21
16,Kapuluppada Beach,28K,RK Beach → Pendurthi via Kapuluppada,RK Beach,Pendurthi,Jagadamba → RTC Complex → NAD → Gopalapatnam → Kapuluppada,18–30,65–80 min,Every 20–25 min,06:00 AM,09:30 PM,Kapuluppada Stop,YES – stops at Kapuluppada,Beach is accessible by a short walk or auto from the stop,17.861,83.441,21
17,Jodugullapalem Beach,900K,Railway Station → Bhimili (Beach Road),Visakhapatnam Railway Station,Bhimili (Bheemunipatnam),RTC Complex → Pedawaltair → Sagarnagar → Rushikonda → Thotlakonda → Mangamaripeta → Jodugullapalem,35–55,100–120 min,Every 20–30 min,05:30 AM,10:00 PM,Jodugullapalem / Mangamaripeta Stop,"Partial – alight at Mangamaripeta, walk ~1.5 km",Very secluded beach; hire auto from Mangamaripeta stop (approx ₹50–80),17.856,83.434,20
17,Jodugullapalem Beach,900T,Railway Station → Tagarapuvalasa,Visakhapatnam Railway Station,Tagarapuvalasa,RTC Complex → Pedawaltair → Sagarnagar → Rushikonda → Thotlakonda → Mangamaripeta,35–55,105–125 min,Every 40 min,06:00 AM,09:00 PM,Mangamaripeta Stop,"No – alight at Mangamaripeta, take auto",Carry water & snacks; limited facilities near beach,17.856,83.434,20
17,Jodugullapalem Beach,Bhimili Local,Bhimili Town → Mangamaripeta Local,Bhimili Bus Stand,Mangamaripeta,Bhimili → INS Kalinga Road → Jodugullapalem Junction,10–20,20–30 min,Every 45–60 min,07:00 AM,07:00 PM,Jodugullapalem Junction,YES – nearest stop to beach,Best approach: take 900K to Bhimili then local bus to Jodugullapalem,17.856,83.434,20
18,Pudimadaka Beach,900K,Railway Station → Bhimili (Beach Road),Visakhapatnam Railway Station,Bhimili (Bheemunipatnam),RTC Complex → Pedawaltair → Sagarnagar → Rushikonda → Thotlakonda → Bhimili → Pudimadaka Road,40–60,110–130 min,Every 20–30 min,05:30 AM,10:00 PM,Pudimadaka Junction / Bhimili,"Partial – alight at Bhimili, take local transport",Auto or shared jeep from Bhimili to Pudimadaka approx ₹60–100,17.923,83.478,32
18,Pudimadaka Beach,Bhimili–Pudimadaka Local,Bhimili Bus Stand → Pudimadaka,Bhimili Bus Stand,Pudimadaka Village,Bhimili → Coastal Road → Pudimadaka Junction → Pudimadaka Beach Road,10–25,25–40 min,Every 60–90 min,07:00 AM,06:30 PM,Pudimadaka Beach Junction,YES – drops near beach,Infrequent service; plan timings in advance. Best to hire auto from Bhimili,17.923,83.478,32
18,Pudimadaka Beach,Anakapalle–Bhimili,Anakapalle → Bhimili via Pudimadaka,Anakapalle Bus Stand,Bhimili,Anakapalle → Atchutapuram → Pudimadaka → Bhimili,15–30,45–60 min,Every 60 min,06:30 AM,07:00 PM,Pudimadaka Village Stop,YES – stops at Pudimadaka,"From Anakapalle, board this bus for direct access to Pudimadaka Beach area",17.923,83.478,32
