S.No,From (Locality),Zone,Locality Distance from City Centre (km),To (Beach),Beach Alias,Approx Distance (km),Rapido Bike – Base Fare (₹),Rapido Bike – Per km (₹),Rapido Bike – Day Fare (₹),Rapido Bike – Night Fare (₹),Rapido Bike – Est. Travel Time,Rapido Auto – Base Fare (₹),Rapido Auto – Per km (₹),Rapido Auto – Day Fare (₹),Rapido Auto – Night Fare (₹),Rapido Auto – Est. Travel Time,Rapido Cab – Base Fare (₹),Rapido Cab – Per km (₹),Rapido Cab – Day Fare (₹),Rapido Cab – Night Fare (₹),Rapido Cab – Est. Travel Time,Cheapest Option,Day Fare Summary (Bike/Auto/Cab),Rapido App,From Locality Latitude,From Locality Longitude,Beach Latitude,Beach Longitude,Beach Distance from City (km)
28,Madhurawada,North,16,Kapuluppada Beach,,7.8,20,3,43,64,27 min,25,12,119,149,31 min,50,14,159,199,23 min,Rapido Bike,₹43 / ₹119 / ₹159,https://rapido.bike,17.778,83.362,17.861,83.441,21
29,Yendada,North,13,Ramakrishna Beach,RK Beach,15.6,20,3,67,100,55 min,25,12,212,265,1h 2min,50,14,268,335,47 min,Rapido Bike,₹67 / ₹212 / ₹268,https://rapido.bike,17.767,83.37,17.7231,83.3378,3
30,Yendada,North,13,Rushikonda Beach,Rushikonda,2,20,3,26,39,8 min,25,12,49,61,10 min,50,14,78,98,8 min,Rapido Bike,₹26 / ₹49 / ₹78,https://rapido.bike,17.767,83.37,17.784,83.3784,12
31,Yendada,North,13,Yarada Beach,,3.9,20,3,32,48,14 min,25,12,72,90,16 min,50,14,105,131,12 min,Rapido Bike,₹32 / ₹72 / ₹105,https://rapido.bike,17.767,83.37,17.6618,83.2776,14
32,Yendada,North,13,Bheemunipatnam Beach,Bheemili Beach,16.9,20,3,71,106,59 min,25,12,228,285,1h 8min,50,14,287,359,51 min,Rapido Bike,₹71 / ₹228 / ₹287,https://rapido.bike,17.767,83.37,17.8899,83.4547,24
33,Yendada,North,13,Lawson's Bay Beach,Lawsons Bay,11.7,20,3,55,82,41 min,25,12,165,206,47 min,50,14,214,268,35 min,Rapido Bike,₹55 / ₹165 / ₹214,https://rapido.bike,17.767,83.37,17.7393,83.3522,5
34,Yendada,North,13,Sagar Nagar Beach,,6.5,20,3,40,60,23 min,25,12,103,129,26 min,50,14,141,176,20 min,Rapido Bike,₹40 / ₹103 / ₹141,https://rapido.bike,17.767,83.37,17.7555,83.3637,7
35,Yendada,North,13,Gangavaram Beach,,2,20,3,26,39,8 min,25,12,49,61,10 min,50,14,78,98,8 min,Rapido Bike,₹26 / ₹49 / ₹78,https://rapido.bike,17.767,83.37,17.6367,83.2267,16
36,Yendada,North,13,Appikonda Beach,,19.5,20,3,78,117,1h 8min,25,12,259,324,1h 18min,50,14,323,404,58 min,Rapido Bike,₹78 / ₹259 / ₹323,https://rapido.bike,17.767,83.37,17.9052,83.4694,27
37,Yendada,North,13,Mangamaripeta Beach,,2.6,20,3,28,42,9 min,25,12,56,70,10 min,50,14,86,108,8 min,Rapido Bike,₹28 / ₹56 / ₹86,https://rapido.bike,17.767,83.37,17.8261,83.4112,17
38,Yendada,North,13,Jodugullapalem Beach,,6.5,20,3,40,60,23 min,25,12,103,129,26 min,50,14,141,176,20 min,Rapido Bike,₹40 / ₹103 / ₹141,https://rapido.bike,17.767,83.37,17.856,83.434,20
39,Yendada,North,13,Mutyalammapalem Beach,,10.4,20,3,51,76,36 min,25,12,150,188,42 min,50,14,196,245,31 min,Rapido Bike,₹51 / ₹150 / ₹196,https://rapido.bike,17.767,83.37,17.692,83.272,10
40,Yendada,North,13,Pudimadaka Beach,,54.6,20,3,184,276,3h 11min,25,12,680,850,3h 38min,50,14,814,1018,2h 44min,Rapido Bike,₹184 / ₹680 / ₹814,https://rapido.bike,17.767,83.37,17.923,83.478,32
41,Yendada,North,13,Divis Beach,Divis Coastal Area,9.1,20,3,47,70,32 min,25,12,134,168,36 min,50,14,177,221,27 min,Rapido Bike,₹47 / ₹134 / ₹177,https://rapido.bike,17.767,83.37,17.869,83.448,22
42,Yendada,North,13,Kapuluppada Beach,,11.7,20,3,55,82,41 min,25,12,165,206,47 min,50,14,214,268,35 min,Rapido Bike,₹55 / ₹165 / ₹214,https://rapido.bike,17.767,83.37,17.861,83.441,21
43,PM Palem,North,14,Ramakrishna Beach,RK Beach,16.9,20,3,71,106,59 min,25,12,228,285,1h 8min,50,14,287,359,51 min,Rapido Bike,₹71 / ₹228 / ₹287,https://rapido.bike,17.772,83.375,17.7231,83.3378,3
44,PM Palem,North,14,Rushikonda Beach,Rushikonda,2.6,20,3,28,42,9 min,25,12,56,70,10 min,50,14,86,108,8 min,Rapido Bike,₹28 / ₹56 / ₹86,https://rapido.bike,17.772,83.375,17.784,83.3784,12
45,PM Palem,North,14,Yarada Beach,,2.6,20,3,28,42,9 min,25,12,56,70,10 min,50,14,86,108,8 min,Rapido Bike,₹28 / ₹56 / ₹86,https://rapido.bike,17.772,83.375,17.6618,83.2776,14
46,PM Palem,North,14,Bheemunipatnam Beach,Bheemili Beach,15.6,20,3,67,100,55 min,25,12,212,265,1h 2min,50,14,268,335,47 min,Rapido Bike,₹67 / ₹212 / ₹268,https://rapido.bike,17.772,83.375,17.8899,83.4547,24
47,PM Palem,North,14,Lawson's Bay Beach,Lawsons Bay,13,20,3,59,88,46 min,25,12,181,226,52 min,50,14,232,290,39 min,Rapido Bike,₹59 / ₹181 / ₹232,https://rapido.bike,17.772,83.375,17.7393,83.3522,5
48,PM Palem,North,14,Sagar Nagar Beach,,7.8,20,3,43,64,27 min,25,12,119,149,31 min,50,14,159,199,23 min,Rapido Bike,₹43 / ₹119 / ₹159,https://rapido.bike,17.772,83.375,17.7555,83.3637,7
49,PM Palem,North,14,Gangavaram Beach,,2.6,20,3,28,42,9 min,25,12,56,70,10 min,50,14,86,108,8 min,Rapido Bike,₹28 / ₹56 / ₹86,https://rapido.bike,17.772,83.375,17.6367,83.2267,16
50,PM Palem,North,14,Appikonda Beach,,18.2,20,3,75,112,1h 4min,25,12,243,304,1h 13min,50,14,305,381,55 min,Rapido Bike,₹75 / ₹243 / ₹305,https://rapido.bike,17.772,83.375,17.9052,83.4694,27
51,PM Palem,North,14,Mangamaripeta Beach,,2,20,3,26,39,8 min,25,12,49,61,10 min,50,14,78,98,8 min,Rapido Bike,₹26 / ₹49 / ₹78,https://rapido.bike,17.772,83.375,17.8261,83.4112,17
52,PM Palem,North,14,Jodugullapalem Beach,,5.2,20,3,36,54,18 min,25,12,87,109,21 min,50,14,123,154,16 min,Rapido Bike,₹36 / ₹87 / ₹123,https://rapido.bike,17.772,83.375,17.856,83.434,20
53,PM Palem,North,14,Mutyalammapalem Beach,,11.7,20,3,55,82,41 min,25,12,165,206,47 min,50,14,214,268,35 min,Rapido Bike,₹55 / ₹165 / ₹214,https://rapido.bike,17.772,83.375,17.692,83.272,10
54,PM Palem,North,14,Pudimadaka Beach,,53.3,20,3,180,270,3h 7min,25,12,665,831,3h 33min,50,14,796,995,2h 40min,Rapido Bike,₹180 / ₹665 / ₹796,https://rapido.bike,17.772,83.375,17.923,83.478,32
55,PM Palem,North,14,Divis Beach,Divis Coastal Area,7.8,20,3,43,64,27 min,25,12,119,149,31 min,50,14,159,199,23 min,Rapido Bike,₹43 / ₹119 / ₹159,https://rapido.bike,17.772,83.375,17.869,83.448,22
56,PM Palem,North,14,Kapuluppada Beach,,10.4,20,3,51,76,36 min,25,12,150,188,42 min,50,14,196,245,31 min,Rapido Bike,₹51 / ₹150 / ₹196,https://rapido.bike,17.772,83.375,17.861,83.441,21
57,Rushikonda,North,12,Ramakrishna Beach,RK Beach,14.3,20,3,63,94,50 min,25,12,197,246,57 min,50,14,250,312,43 min,Rapido Bike,₹63 / ₹197 / ₹250,https://rapido.bike,17.784,83.3784,17.7231,83.3378,3
58,Rushikonda,North,12,Rushikonda Beach,Rushikonda,2,20,3,26,39,8 min,25,12,49,61,10 min,50,14,78,98,8 min,Rapido Bike,₹26 / ₹49 / ₹78,https://rapido.bike,17.784,83.3784,17.784,83.3784,12
59,Rushikonda,North,12,Yarada Beach,,5.2,20,3,36,54,18 min,25,12,87,109,21 min,50,14,123,154,16 min,Rapido Bike,₹36 / ₹87 / ₹123,https://rapido.bike,17.784,83.3784,17.6618,83.2776,14
60,Rushikonda,North,12,Bheemunipatnam Beach,Bheemili Beach,18.2,20,3,75,112,1h 4min,25,12,243,304,1h 13min,50,14,305,381,55 min,Rapido Bike,₹75 / ₹243 / ₹305,https://rapido.bike,17.784,83.3784,17.8899,83.4547,24
61,Rushikonda,North,12,Lawson's Bay Beach,Lawsons Bay,10.4,20,3,51,76,36 min,25,12,150,188,42 min,50,14,196,245,31 min,Rapido Bike,₹51 / ₹150 / ₹196,https://rapido.bike,17.784,83.3784,17.7393,83.3522,5
62,Rushikonda,North,12,Sagar Nagar Beach,,5.2,20,3,36,54,18 min,25,12,87,109,21 min,50,14,123,154,16 min,Rapido Bike,₹36 / ₹87 / ₹123,https://rapido.bike,17.784,83.3784,17.7555,83.3637,7
63,Rushikonda,North,12,Gangavaram Beach,,2,20,3,26,39,8 min,25,12,49,61,10 min,50,14,78,98,8 min,Rapido Bike,₹26 / ₹49 / ₹78,https://rapido.bike,17.784,83.3784,17.6367,83.2267,16
64,Rushikonda,North,12,Appikonda Beach,,20.8,20,3,82,123,1h 13min,25,12,275,344,1h 23min,50,14,341,426,1h 2min,Rapido Bike,₹82 / ₹275 / ₹341,https://rapido.bike,17.784,83.3784,17.9052,83.4694,27
65,Rushikonda,North,12,Mangamaripeta Beach,,3.9,20,3,32,48,14 min,25,12,72,90,16 min,50,14,105,131,12 min,Rapido Bike,₹32 / ₹72 / ₹105,https://rapido.bike,17.784,83.3784,17.8261,83.4112,17
66,Rushikonda,North,12,Jodugullapalem Beach,,7.8,20,3,43,64,27 min,25,12,119,149,31 min,50,14,159,199,23 min,Rapido Bike,₹43 / ₹119 / ₹159,https://rapido.bike,17.784,83.3784,17.856,83.434,20
67,Rushikonda,North,12,Mutyalammapalem Beach,,9.1,20,3,47,70,32 min,25,12,134,168,36 min,50,14,177,221,27 min,Rapido Bike,₹47 / ₹134 / ₹177,https://rapido.bike,17.784,83.3784,17.692,83.272,10
68,Rushikonda,North,12,Pudimadaka Beach,,55.9,20,3,188,282,3h 16min,25,12,696,870,3h 44min,50,14,833,1041,2h 48min,Rapido Bike,₹188 / ₹696 / ₹833,https://rapido.bike,17.784,83.3784,17.923,83.478,32
69,Rushikonda,North,12,Divis Beach,Divis Coastal Area,10.4,20,3,51,76,36 min,25,12,150,188,42 min,50,14,196,245,31 min,Rapido Bike,₹51 / ₹150 / ₹196,https://rapido.bike,17.784,83.3784,17.869,83.448,22
70,Rushikonda,North,12,Kapuluppada Beach,,13,20,3,59,88,46 min,25,12,181,226,52 min,50,14,232,290,39 min,Rapido Bike,₹59 / ₹181 / ₹232,https://rapido.bike,17.784,83.3784,17.861,83.441,21
71,MVP Colony,East,5,Ramakrishna Beach,RK Beach,5.2,20,3,36,54,18 min,25,12,87,109,21 min,50,14,123,154,16 min,Rapido Bike,₹36 / ₹87 / ₹123,https://rapido.bike,17.745,83.332,17.7231,83.3378,3
72,MVP Colony,East,5,Rushikonda Beach,Rushikonda,9.1,20,3,47,70,32 min,25,12,134,168,36 min,50,14,177,221,27 min,Rapido Bike,₹47 / ₹134 / ₹177,https://rapido.bike,17.745,83.332,17.784,83.3784,12
73,MVP Colony,East,5,Yarada Beach,,14.3,20,3,63,94,50 min,25,12,197,246,57 min,50,14,250,312,43 min,Rapido Bike,₹63 / ₹197 / ₹250,https://rapido.bike,17.745,83.332,17.6618,83.2776,14
74,MVP Colony,East,5,Bheemunipatnam Beach,Bheemili Beach,27.3,20,3,102,153,1h 36min,25,12,353,441,1h 49min,50,14,432,540,1h 22min,Rapido Bike,₹102 / ₹353 / ₹432,https://rapido.bike,17.745,83.332,17.8899,83.4547,24
75,MVP Colony,East,5,Lawson's Bay Beach,Lawsons Bay,2,20,3,26,39,8 min,25,12,49,61,10 min,50,14,78,98,8 min,Rapido Bike,₹26 / ₹49 / ₹78,https://rapido.bike,17.745,83.332,17.7393,83.3522,5
76,MVP Colony,East,5,Sagar Nagar Beach,,3.9,20,3,32,48,14 min,25,12,72,90,16 min,50,14,105,131,12 min,Rapido Bike,₹32 / ₹72 / ₹105,https://rapido.bike,17.745,83.332,17.7555,83.3637,7
77,MVP Colony,East,5,Gangavaram Beach,,9.1,20,3,47,70,32 min,25,12,134,168,36 min,50,14,177,221,27 min,Rapido Bike,₹47 / ₹134 / ₹177,https://rapido.bike,17.745,83.332,17.6367,83.2267,16
78,MVP Colony,East,5,Appikonda Beach,,29.9,20,3,110,165,1h 45min,25,12,384,480,2h 0min,50,14,469,586,1h 30min,Rapido Bike,₹110 / ₹384 / ₹469,https://rapido.bike,17.745,83.332,17.9052,83.4694,27
79,MVP Colony,East,5,Mangamaripeta Beach,,13,20,3,59,88,46 min,25,12,181,226,52 min,50,14,232,290,39 min,Rapido Bike,₹59 / ₹181 / ₹232,https://rapido.bike,17.745,83.332,17.8261,83.4112,17
80,MVP Colony,East,5,Jodugullapalem Beach,,16.9,20,3,71,106,59 min,25,12,228,285,1h 8min,50,14,287,359,51 min,Rapido Bike,₹71 / ₹228 / ₹287,https://rapido.bike,17.745,83.332,17.856,83.434,20
81,MVP Colony,East,5,Mutyalammapalem Beach,,2,20,3,26,39,8 min,25,12,49,61,10 min,50,14,78,98,8 min,Rapido Bike,₹26 / ₹49 / ₹78,https://rapido.bike,17.745,83.332,17.692,83.272,10
82,MVP Colony,East,5,Pudimadaka Beach,,65,20,3,215,322,3h 48min,25,12,805,1006,4h 20min,50,14,960,1200,3h 15min,Rapido Bike,₹215 / ₹805 / ₹960,https://rapido.bike,17.745,83.332,17.923,83.478,32
83,MVP Colony,East,5,Divis Beach,Divis Coastal Area,19.5,20,3,78,117,1h 8min,25,12,259,324,1h 18min,50,14,323,404,58 min,Rapido Bike,₹78 / ₹259 / ₹323,https://rapido.bike,17.745,83.332,17.869,83.448,22
84,MVP Colony,East,5,Kapuluppada Beach,,22.1,20,3,86,129,1h 17min,25,12,290,362,1h 28min,50,14,359,449,1h 6min,Rapido Bike,₹86 / ₹290 / ₹359,https://rapido.bike,17.745,83.332,17.861,83.441,21
85,Maddilapalem,East,6,Ramakrishna Beach,RK Beach,6.5,20,3,40,60,23 min,25,12,103,129,26 min,50,14,141,176,20 min,Rapido Bike,₹40 / ₹103 / ₹141,https://rapido.bike,17.749,83.322,17.7231,83.3378,3
86,Maddilapalem,East,6,Rushikonda Beach,Rushikonda,7.8,20,3,43,64,27 min,25,12,119,149,31 min,50,14,159,199,23 min,Rapido Bike,₹43 / ₹119 / ₹159,https://rapido.bike,17.749,83.322,17.784,83.3784,12
87,Maddilapalem,East,6,Yarada Beach,,13,20,3,59,88,46 min,25,12,181,226,52 min,50,14,232,290,39 min,Rapido Bike,₹59 / ₹181 / ₹232,https://rapido.bike,17.749,83.322,17.6618,83.2776,14
88,Maddilapalem,East,6,Bheemunipatnam Beach,Bheemili Beach,26,20,3,98,147,1h 31min,25,12,337,421,1h 44min,50,14,414,518,1h 18min,Rapido Bike,₹98 / ₹337 / ₹414,https://rapido.bike,17.749,83.322,17.8899,83.4547,24
89,Maddilapalem,East,6,Lawson's Bay Beach,Lawsons Bay,2.6,20,3,28,42,9 min,25,12,56,70,10 min,50,14,86,108,8 min,Rapido Bike,₹28 / ₹56 / ₹86,https://rapido.bike,17.749,83.322,17.7393,83.3522,5
90,Maddilapalem,East,6,Sagar Nagar Beach,,2.6,20,3,28,42,9 min,25,12,56,70,10 min,50,14,86,108,8 min,Rapido Bike,₹28 / ₹56 / ₹86,https://rapido.bike,17.749,83.322,17.7555,83.3637,7
91,Maddilapalem,East,6,Gangavaram Beach,,7.8,20,3,43,64,27 min,25,12,119,149,31 min,50,14,159,199,23 min,Rapido Bike,₹43 / ₹119 / ₹159,https://rapido.bike,17.749,83.322,17.6367,83.2267,16
92,Maddilapalem,East,6,Appikonda Beach,,28.6,20,3,106,159,1h 40min,25,12,368,460,1h 54min,50,14,450,562,1h 26min,Rapido Bike,₹106 / ₹368 / ₹450,https://rapido.bike,17.749,83.322,17.9052,83.4694,27
93,Maddilapalem,East,6,Mangamaripeta Beach,,11.7,20,3,55,82,41 min,25,12,165,206,47 min,50,14,214,268,35 min,Rapido Bike,₹55 / ₹165 / ₹214,https://rapido.bike,17.749,83.322,17.8261,83.4112,17
94,Maddilapalem,East,6,Jodugullapalem Beach,,15.6,20,3,67,100,55 min,25,12,212,265,1h 2min,50,14,268,335,47 min,Rapido Bike,₹67 / ₹212 / ₹268,https://rapido.bike,17.749,83.322,17.856,83.434,20
95,Maddilapalem,East,6,Mutyalammapalem Beach,,2,20,3,26,39,8 min,25,12,49,61,10 min,50,14,78,98,8 min,Rapido Bike,₹26 / ₹49 / ₹78,https://rapido.bike,17.749,83.322,17.692,83.272,10
96,Maddilapalem,East,6,Pudimadaka Beach,,63.7,20,3,211,316,3h 43min,25,12,789,986,4h 15min,50,14,942,1178,3h 11min,Rapido Bike,₹211 / ₹789 / ₹942,https://rapido.bike,17.749,83.322,17.923,83.478,32
97,Maddilapalem,East,6,Divis Beach,Divis Coastal Area,18.2,20,3,75,112,1h 4min,25,12,243,304,1h 13min,50,14,305,381,55 min,Rapido Bike,₹75 / ₹243 / ₹305,https://rapido.bike,17.749,83.322,17.869,83.448,22
98,Maddilapalem,East,6,Kapuluppada Beach,,20.8,20,3,82,123,1h 13min,25,12,275,344,1h 23min,50,14,341,426,1h 2min,Rapido Bike,₹82 / ₹275 / ₹341,https://rapido.bike,17.749,83.322,17.861,83.441,21
99,Dwaraka Nagar,Central,2,Ramakrishna Beach,RK Beach,2,20,3,26,39,8 min,25,12,49,61,10 min,50,14,78,98,8 min,Rapido Bike,₹26 / ₹49 / ₹78,https://rapido.bike,17.726,83.32,17.7231,83.3378,3
100,Dwaraka Nagar,Central,2,Rushikonda Beach,Rushikonda,13,20,3,59,88,46 min,25,12,181,226,52 min,50,14,232,290,39 min,Rapido Bike,₹59 / ₹181 / ₹232,https://rapido.bike,17.726,83.32,17.784,83.3784,12
101,Dwaraka Nagar,Central,2,Yarada Beach,,18.2,20,3,75,112,1h 4min,25,12,243,304,1h 13min,50,14,305,381,55 min,Rapido Bike,₹75 / ₹243 / ₹305,https://rapido.bike,17.726,83.32,17.6618,83.2776,14
102,Dwaraka Nagar,Central,2,Bheemunipatnam Beach,Bheemili Beach,31.2,20,3,114,171,1h 49min,25,12,399,499,2h 5min,50,14,487,609,1h 34min,Rapido Bike,₹114 / ₹399 / ₹487,https://rapido.bike,17.726,83.32,17.8899,83.4547,24
103,Dwaraka Nagar,Central,2,Lawson's Bay Beach,Lawsons Bay,2.6,20,3,28,42,9 min,25,12,56,70,10 min,50,14,86,108,8 min,Rapido Bike,₹28 / ₹56 / ₹86,https://rapido.bike,17.726,83.32,17.7393,83.3522,5
104,Dwaraka Nagar,Central,2,Sagar Nagar Beach,,7.8,20,3,43,64,27 min,25,12,119,149,31 min,50,14,159,199,23 min,Rapido Bike,₹43 / ₹119 / ₹159,https://rapido.bike,17.726,83.32,17.7555,83.3637,7
105,Dwaraka Nagar,Central,2,Gangavaram Beach,,13,20,3,59,88,46 min,25,12,181,226,52 min,50,14,232,290,39 min,Rapido Bike,₹59 / ₹181 / ₹232,https://rapido.bike,17.726,83.32,17.6367,83.2267,16
106,Dwaraka Nagar,Central,2,Appikonda Beach,,33.8,20,3,121,182,1h 58min,25,12,431,539,2h 15min,50,14,523,654,1h 41min,Rapido Bike,₹121 / ₹431 / ₹523,https://rapido.bike,17.726,83.32,17.9052,83.4694,27
107,Dwaraka Nagar,Central,2,Mangamaripeta Beach,,16.9,20,3,71,106,59 min,25,12,228,285,1h 8min,50,14,287,359,51 min,Rapido Bike,₹71 / ₹228 / ₹287,https://rapido.bike,17.726,83.32,17.8261,83.4112,17
108,Dwaraka Nagar,Central,2,Jodugullapalem Beach,,20.8,20,3,82,123,1h 13min,25,12,275,344,1h 23min,50,14,341,426,1h 2min,Rapido Bike,₹82 / ₹275 / ₹341,https://rapido.bike,17.726,83.32,17.856,83.434,20
109,Dwaraka Nagar,Central,2,Mutyalammapalem Beach,,3.9,20,3,32,48,14 min,25,12,72,90,16 min,50,14,105,131,12 min,Rapido Bike,₹32 / ₹72 / ₹105,https://rapido.bike,17.726,83.32,17.692,83.272,10
