Hospital_Name,City,State,Specialty,Expected_Budget_INR_Lakhs
Samida Idu Pu,Visakhapatnam,Andhra Pradesh,Mental health service,149.4
Sm Dental Clinic,Visakhapatnam,Andhra Pradesh,Dentist,48.9
Venkateswaramma'S Vinu Multi-Speciality Dental Clinic,Visakhapatnam,Andhra Pradesh,Dental clinic,113.39
Kims-Icon Hospital,"sheela nagar, post","Visakhapatnam, Gajuwaka",+91 891 353 6379,71.8
Rise Hospital,Gajuwaka,Andhra Pradesh,Hospital,945.06
Sunrise Childrens Hospital,Gajuwaka,Andhra Pradesh,Private hospital,4874.84
Rk Hospital,Gajuwaka,Andhra Pradesh,Private hospital,3316.72
Aadityaa Hospital,Gajuwaka,Andhra Pradesh,Hospital,1313.29
Harshitha Hospital,Gajuwaka,Andhra Pradesh,Hospital,1621.96
Mahanthi Hospital,Gajuwaka,Andhra Pradesh,Hospital,585.75
Kims Cuddles - Best Maternity & Pediatric Hospital In Vizag,Gajuwaka,Andhra Pradesh,Maternity hospital,1042.6
Sujatha Hospital,Gajuwaka,Andhra Pradesh,General hospital,1906.27
Padmaja Hospital,Gajuwaka,Andhra Pradesh,General hospital,2675.98
Simhagiri Hospital,Gajuwaka,Andhra Pradesh,Hospital,736.15
Janani Hospital,Gajuwaka,Andhra Pradesh,Hospital,1941.17
Dr. K. Rambabu - Doctor'S General Physician & Diabitics - Harini Hospital In Gajuwaka,Gajuwaka,Andhra Pradesh,Hospital,620.17
Vasan Eye Care Hospital - (Gajuwaka,"no 8/13/7, nh 16, nearby amaravathi hotel",Gajuwaka,+91 1800 571 2222,80.17
Lata Hospital,Gajuwaka,Andhra Pradesh,Hospital,1392.55
Sj Hospital,"Vizianagaram, Gajuwaka",Andhra Pradesh,Hospital,1512.82
Sankar Foundation Eye Hospital,Gajuwaka,Andhra Pradesh,Hospital,852.81
Rapha Hospital Orthopaedics,Gajuwaka,Andhra Pradesh,Hospital,679.83
Sree Chaitra Hospital,Gajuwaka,Andhra Pradesh,Hospital,1835.43
Goutami Hospital,Gajuwaka,Andhra Pradesh,Hospital,869.32
Shri Rama Hospital,Gajuwaka,Andhra Pradesh,Hospital,1391.78
Dr Subba Rao N,Gajuwaka,Andhra Pradesh,Hospital,1429.07
Apollo Hospital Emergency Centre - Gajuwaka,"Visakhapatnam, Gajuwaka",Andhra Pradesh,Hospital,1128.84
Krishi Ayurvedic Hospital,Gajuwaka,Andhra Pradesh,Hospital,1375.51
Dr Savitri G,Gajuwaka,Andhra Pradesh,Doctor,57.05
Sreedhareeyam Ayurvedic Eye Clinics & Panchakarma Centre Pvt. Ltd.,"Sheela Nagar, Gajuwaka",Andhra Pradesh,Alternative medicine clinic,282.37
Dr Ramayya S,Gajuwaka,Andhra Pradesh,Doctor,28.38
Deva Septic Tank Cleaning Services Vizag,Gajuwaka,Andhra Pradesh,Septic system service,223.37
Sri Sai Physiotherapy Clinic,Gajuwaka,Andhra Pradesh,Physical therapy clinic,39.09
Kalabharati Kalyana Vedika,Gajuwaka,Andhra Pradesh,Community center,136.86
Hospital,"Gajuvaka, Gajuwaka",Andhra Pradesh,Hospital,1507.54
Susrutha Nursing Home,Gajuwaka,Andhra Pradesh,Hospital,950.0
Rmp Hospital,Gajuwaka,Andhra Pradesh,Hospital,974.27
Krishna Veni Eye Hosp,Gajuwaka,Andhra Pradesh,Hospital,1627.8
Pujitha Enterprises Hospital 1St Floor,Gajuwaka,Andhra Pradesh,Hospital,608.81
Ayushman Medisurg - Advanced Diabetic Wound And Foot Care Clinic,Gajuwaka,Andhra Pradesh,Hospital,1187.43
Drpavani'Sbestvisionadvancedeyehospital | Best Eye Hospital In Gajuwaka | Best Eye Doctor In Vizag,Gajuwaka,Andhra Pradesh,Eye care center,199.74
4S Multispeciality Hospital,Gajuwaka,Andhra Pradesh,Hospital,1994.14
Uphc Thungalam,Gajuwaka,Andhra Pradesh,Government hospital,387.91
Piles Surgeon,Gajuwaka,Andhra Pradesh,Medical clinic,66.24
Best General Physician - Dr. Venkat Ramana Akkerapu,"sri vijaya durga clinic, bc rd",Gajuwaka,+91 80 4006 2162,101.6
Sri Sai Krishna Dental,Gajuwaka,Andhra Pradesh,Dental clinic,141.32
New Dibbapalem Ram Mandir,Gajuwaka,Andhra Pradesh,Playground,267.83
Mukhyamantri Aarogya Kendhram,Gajuwaka,Andhra Pradesh,Government hospital,1355.12
Amulya Clinic,Gajuwaka,Andhra Pradesh,Medical clinic,92.82
Primary Health Center (Phc),Gajuwaka,Andhra Pradesh,Government hospital,489.3
Dr Agarwals Eye Hospital,Gajuwaka,Andhra Pradesh,Hospital,1750.62
Pedagantyada Health Center,Gajuwaka,Andhra Pradesh,Medical Center,366.59
Pedagantyada Government Hospital,Gajuwaka,Andhra Pradesh,Government hospital,1034.01
Novus Florence Village Phase 1,Gajuwaka,Andhra Pradesh,Apartment building,296.55
Mamata Hospital,Gajuwaka,Andhra Pradesh,Hospital,1480.96
Visakha Children Hospital,Visakhapatnam,Andhra Pradesh,Hospital,511.73
Lata Hospitals Private Limited,Visakhapatnam,Andhra Pradesh,Hospital,1725.66
Lakshmi Nursing Home,Gajuwaka,Andhra Pradesh,Hospital,949.07
Geetha Hospital,Gajuwaka,Andhra Pradesh,Hospital,1495.08
