"route_id,source_area,theater_name,theater_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,movie_crowd_friendly,description"
"19,Auto Nagar,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,402A,APSRTC City Ordinary,Auto Nagar â†’ NAD Jn â†’ Maddilapalem â†’ Siripuram â†’ Jagadamba,15,50 mins,25,05:30,22:30,20,0.3,Yes,Board bus 402A from Auto Nagar Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 20 mins; extra frequency during evening show times."
"20,Steel Plant,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,28A,APSRTC City Ordinary,Steel Plant â†’ Gajuwaka â†’ Ukkunagaram â†’ Daba Garden â†’ Siripuram â†’ Jagadamba,18,60 mins,30,05:30,22:30,25,0.3,Yes,Board bus 28A from Steel Plant Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 25 mins; extra frequency during evening show times."
"21,Scindia,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,350A,APSRTC City Ordinary,Scindia â†’ One Town â†’ Poorna Market â†’ Jagadamba â†’ Siripuram,13,43 mins,20,05:30,22:30,20,0.3,Yes,Board bus 350A from Scindia Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 20 mins; extra frequency during evening show times."
"22,One Town,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,101A,APSRTC City Ordinary,One Town â†’ Poorna Market â†’ Jagadamba â†’ Asilmetta â†’ Siripuram,9,30 mins,15,05:30,22:30,15,0.3,Yes,Board bus 101A from One Town Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"23,Poorna Market,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,103A,APSRTC City Ordinary,Poorna Market â†’ One Town â†’ Jagadamba â†’ Siripuram â†’ Dwaraka Nagar,8,26 mins,10,05:30,22:30,15,0.3,Yes,Board bus 103A from Poorna Market Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"24,RK Beach,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,900A,APSRTC City Ordinary,RK Beach â†’ Maharanipeta â†’ Jagadamba â†’ Siripuram â†’ Dwaraka Nagar,9,30 mins,15,05:30,22:30,15,0.3,Yes,Board bus 900A from RK Beach Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"25,Rushikonda,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,219A,APSRTC City Ordinary,Rushikonda â†’ Lawson's Bay â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,12,40 mins,20,05:30,22:30,20,0.3,Yes,Board bus 219A from Rushikonda Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 20 mins; extra frequency during evening show times."
"26,Lawson's Bay,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,901A,APSRTC City Ordinary,Lawson's Bay â†’ Rushikonda â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,10,33 mins,15,05:30,22:30,20,0.3,Yes,Board bus 901A from Lawson's Bay Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 20 mins; extra frequency during evening show times."
"27,Hanumanthuwaka,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,215A,APSRTC City Ordinary,Hanumanthuwaka â†’ Seethammadhara â†’ MVP Colony â†’ Maddilapalem â†’ Siripuram,6,20 mins,10,05:30,22:30,15,0.3,Yes,Board bus 215A from Hanumanthuwaka Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"28,Arilova,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,218A,APSRTC City Ordinary,Arilova â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,16,53 mins,25,05:30,22:30,20,0.3,Yes,Board bus 218A from Arilova Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 20 mins; extra frequency during evening show times."
"29,Beach Road,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,900A,APSRTC City Ordinary,Beach Road â†’ RK Beach â†’ Maharanipeta â†’ Jagadamba â†’ Siripuram,9,30 mins,15,05:30,22:30,15,0.3,Yes,Board bus 900A from Beach Road Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 15 mins; extra frequency during evening show times."
"30,Kailasagiri,INOX CMR Central Maddilapalem,Maddilapalem,Maddilapalem Bus Stop,802A,APSRTC City Ordinary,Kailasagiri â†’ Beach Rd â†’ RK Beach â†’ Jagadamba â†’ Siripuram,13,43 mins,20,05:30,22:30,20,0.3,Yes,Board bus 802A from Kailasagiri Bus Stop towards Maddilapalem. Alight at Maddilapalem Bus Stop and walk 0.3km to INOX CMR Central Maddilapalem. Buses run every 20 mins; extra frequency during evening show times."
"31,Gajuwaka,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,28B,APSRTC City Ordinary,Gajuwaka X Rd â†’ Ukkunagaram â†’ Steel Plant Gate â†’ Daba Garden â†’ Siripuram â†’ RTC Complex,21,70 mins,35,05:30,21:30,25,0.3,Yes,Board bus 28B from Gajuwaka Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 25 mins; extra frequency during evening show times."
"32,Kommadi,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,500B,APSRTC City Ordinary,Kommadi Jn â†’ Madhurawada â†’ Bheemunipatnam Rd â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,21,70 mins,35,05:30,21:30,25,0.3,Yes,Board bus 500B from Kommadi Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 25 mins; extra frequency during evening show times."
"33,Madhurawada,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,218B,APSRTC City Ordinary,Madhurawada â†’ Kommadi â†’ GITAM Jn â†’ Rushikonda â†’ Seethammadhara â†’ MVP Colony,18,60 mins,30,05:30,22:30,25,0.3,Yes,Board bus 218B from Madhurawada Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 25 mins; extra frequency during evening show times."
"34,PM Palem,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,299B,APSRTC City Ordinary,PM Palem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,14,46 mins,25,05:30,22:30,20,0.3,Yes,Board bus 299B from PM Palem Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 20 mins; extra frequency during evening show times."
"35,MVP Colony,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,215B,APSRTC City Ordinary,MVP Colony Sector 7 â†’ Seethammadhara â†’ Maddilapalem â†’ Siripuram â†’ Jagadamba,8,26 mins,10,05:30,22:30,15,0.3,Yes,Board bus 215B from MVP Colony Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"36,Siripuram,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,900B,APSRTC City Ordinary,Siripuram Jn â†’ VIP Rd â†’ RTC Complex â†’ Dwaraka Nagar â†’ Jagadamba,5,16 mins,10,05:30,22:30,15,0.3,Yes,Board bus 900B from Siripuram Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"37,Dwaraka Nagar,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,902B,APSRTC City Ordinary,Dwaraka Nagar â†’ Siripuram â†’ Jagadamba â†’ Maharanipeta â†’ RK Beach,7,23 mins,10,05:30,22:30,15,0.3,Yes,Board bus 902B from Dwaraka Nagar Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"38,Maddilapalem,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,211B,APSRTC City Ordinary,Maddilapalem â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram â†’ Jagadamba,9,30 mins,15,05:30,22:30,15,0.3,Yes,Board bus 211B from Maddilapalem Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"39,NAD Junction,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,400B,APSRTC City Ordinary,NAD Jn â†’ Maddilapalem â†’ Seethammadhara â†’ Siripuram â†’ Jagadamba,17,56 mins,30,05:30,22:30,20,0.3,Yes,Board bus 400B from NAD Junction Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 20 mins; extra frequency during evening show times."
"40,Seethammadhara,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,213B,APSRTC City Ordinary,Seethammadhara â†’ Maddilapalem â†’ MVP Colony â†’ Siripuram â†’ Jagadamba,6,20 mins,10,05:30,22:30,15,0.3,Yes,Board bus 213B from Seethammadhara Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"41,Jagadamba,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,905B,APSRTC City Ordinary,Jagadamba Jn â†’ Asilmetta â†’ Siripuram â†’ Dwaraka Nagar â†’ Waltair,3,15 mins,10,05:30,22:30,15,0.3,Yes,Board bus 905B from Jagadamba Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"42,Asilmetta,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,907B,APSRTC City Ordinary,Asilmetta â†’ Jagadamba â†’ Siripuram â†’ Maharanipeta â†’ RK Beach,4,15 mins,10,05:30,22:30,15,0.3,Yes,Board bus 907B from Asilmetta Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"43,Railway Station,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,909B,APSRTC City Ordinary,Railway Station â†’ RTC Complex â†’ Dwaraka Nagar â†’ Siripuram â†’ Jagadamba,7,23 mins,10,05:30,22:30,15,0.3,Yes,Board bus 909B from Railway Station Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"44,RTC Complex,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,100B,APSRTC City Ordinary,RTC Complex â†’ Siripuram â†’ Dwaraka Nagar â†’ Jagadamba â†’ Waltair,7,23 mins,10,05:30,22:30,15,0.3,Yes,Board bus 100B from RTC Complex Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"45,Airport,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,500B,APSRTC City Ordinary,Airport â†’ Kommadi â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,14,46 mins,25,05:30,22:30,20,0.3,Yes,Board bus 500B from Airport Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 20 mins; extra frequency during evening show times."
"46,Pendurthi,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,320B,APSRTC City Ordinary,Pendurthi â†’ Gopalapatnam â†’ Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony,26,86 mins,45,05:30,21:30,25,0.3,Limited,Board bus 320B from Pendurthi Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 25 mins; extra frequency during evening show times."
"47,Gopalapatnam,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,310B,APSRTC City Ordinary,Gopalapatnam â†’ Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,19,63 mins,30,05:30,22:30,25,0.3,Yes,Board bus 310B from Gopalapatnam Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 25 mins; extra frequency during evening show times."
"48,Kurmannapalem,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,330B,APSRTC City Ordinary,Kurmannapalem â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,21,70 mins,35,05:30,21:30,25,0.3,Yes,Board bus 330B from Kurmannapalem Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 25 mins; extra frequency during evening show times."
"49,Auto Nagar,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,402B,APSRTC City Ordinary,Auto Nagar â†’ NAD Jn â†’ Maddilapalem â†’ Siripuram â†’ Jagadamba,17,56 mins,30,05:30,22:30,20,0.3,Yes,Board bus 402B from Auto Nagar Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 20 mins; extra frequency during evening show times."
"50,Steel Plant,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,28B,APSRTC City Ordinary,Steel Plant â†’ Gajuwaka â†’ Ukkunagaram â†’ Daba Garden â†’ Siripuram â†’ Jagadamba,20,66 mins,35,05:30,22:30,25,0.3,Yes,Board bus 28B from Steel Plant Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 25 mins; extra frequency during evening show times."
"51,Scindia,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,350B,APSRTC City Ordinary,Scindia â†’ One Town â†’ Poorna Market â†’ Jagadamba â†’ Siripuram,13,43 mins,20,05:30,22:30,20,0.3,Yes,Board bus 350B from Scindia Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 20 mins; extra frequency during evening show times."
"52,One Town,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,101B,APSRTC City Ordinary,One Town â†’ Poorna Market â†’ Jagadamba â†’ Asilmetta â†’ Siripuram,6,20 mins,10,05:30,22:30,15,0.3,Yes,Board bus 101B from One Town Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"53,Poorna Market,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,103B,APSRTC City Ordinary,Poorna Market â†’ One Town â†’ Jagadamba â†’ Siripuram â†’ Dwaraka Nagar,5,16 mins,10,05:30,22:30,15,0.3,Yes,Board bus 103B from Poorna Market Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"54,RK Beach,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,900B,APSRTC City Ordinary,RK Beach â†’ Maharanipeta â†’ Jagadamba â†’ Siripuram â†’ Dwaraka Nagar,2,15 mins,10,05:30,22:30,15,0.3,Yes,Board bus 900B from RK Beach Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"55,Rushikonda,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,219B,APSRTC City Ordinary,Rushikonda â†’ Lawson's Bay â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,8,26 mins,10,05:30,22:30,15,0.3,Yes,Board bus 219B from Rushikonda Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"56,Lawson's Bay,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,901B,APSRTC City Ordinary,Lawson's Bay â†’ Rushikonda â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,5,16 mins,10,05:30,22:30,15,0.3,Yes,Board bus 901B from Lawson's Bay Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"57,Hanumanthuwaka,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,215B,APSRTC City Ordinary,Hanumanthuwaka â†’ Seethammadhara â†’ MVP Colony â†’ Maddilapalem â†’ Siripuram,7,23 mins,10,05:30,22:30,15,0.3,Yes,Board bus 215B from Hanumanthuwaka Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"58,Arilova,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,218B,APSRTC City Ordinary,Arilova â†’ Madhurawada â†’ Seethammadhara â†’ MVP Colony â†’ Siripuram,19,63 mins,30,05:30,22:30,25,0.3,Yes,Board bus 218B from Arilova Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 25 mins; extra frequency during evening show times."
"59,Beach Road,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,900B,APSRTC City Ordinary,Beach Road â†’ RK Beach â†’ Maharanipeta â†’ Jagadamba â†’ Siripuram,2,15 mins,10,05:30,22:30,15,0.3,Yes,Board bus 900B from Beach Road Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
"60,Kailasagiri,INOX Varun Beach,Varun Beach,RK Beach Bus Stop,802B,APSRTC City Ordinary,Kailasagiri â†’ Beach Rd â†’ RK Beach â†’ Jagadamba â†’ Siripuram,6,20 mins,10,05:30,22:30,15,0.3,Yes,Board bus 802B from Kailasagiri Bus Stop towards Varun Beach. Alight at RK Beach Bus Stop and walk 0.3km to INOX Varun Beach. Buses run every 15 mins; extra frequency during evening show times."
