trip_id,source_area,park_name,park_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
TRP00017,Gajuwaka,VMRDA Park (VUDA Park),Beach Road,14,35 mins,Rs 120,Rs 175,Rs 250,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Gajuwaka to VMRDA Park (VUDA Park) in Beach Road. Distance approx 14 km with medium traffic. Route via major Vizag roads.
TRP00018,Gajuwaka,YSR Central Park,Dwaraka Nagar,13,33 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Dwaraka Nagar Circle, Central Park, RTC Complex",Travel from Gajuwaka to YSR Central Park in Dwaraka Nagar. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00019,Gajuwaka,Zen Park,CBM Compound / Ram Nagar,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","CBM Compound, Ram Nagar, Gitam College",Travel from Gajuwaka to Zen Park in CBM Compound / Ram Nagar. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00020,Gajuwaka,Akkayyapalem Children Park,Akkayyapalem,12,30 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Akkayyapalem Junction, Seethammadhara Flyover",Travel from Gajuwaka to Akkayyapalem Children Park in Akkayyapalem. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00021,Gajuwaka,Akkayyapalem Mini Park,Akkayyapalem,13,33 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Akkayyapalem Junction, Seethammadhara Flyover",Travel from Gajuwaka to Akkayyapalem Mini Park in Akkayyapalem. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00022,Gajuwaka,Akkayyapalem Recreation Park,Akkayyapalem,11,27 mins,Rs 95,Rs 140,Rs 205,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Akkayyapalem Junction, Seethammadhara Flyover",Travel from Gajuwaka to Akkayyapalem Recreation Park in Akkayyapalem. Distance approx 11 km with medium traffic. Route via major Vizag roads.
TRP00023,Gajuwaka,Akkayyapalem Urban Garden,Akkayyapalem,12,30 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Akkayyapalem Junction, Seethammadhara Flyover",Travel from Gajuwaka to Akkayyapalem Urban Garden in Akkayyapalem. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00024,Gajuwaka,Arilova Children Park,Arilova,4,13 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Arilova Main Road, GVMC Office, NAD Junction",Travel from Gajuwaka to Arilova Children Park in Arilova. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00025,Gajuwaka,Arilova City Garden,Arilova,2,7 mins,Rs 25,Rs 30,Rs 80,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Arilova Main Road, GVMC Office, NAD Junction",Travel from Gajuwaka to Arilova City Garden in Arilova. Distance approx 2 km with medium traffic. Route via major Vizag roads.
TRP00026,Gajuwaka,Arilova Green Valley Park,Arilova,3,10 mins,Rs 35,Rs 40,Rs 95,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Arilova Main Road, GVMC Office, NAD Junction",Travel from Gajuwaka to Arilova Green Valley Park in Arilova. Distance approx 3 km with medium traffic. Route via major Vizag roads.
TRP00027,Gajuwaka,Arilova Heritage Park,Arilova,4,13 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Arilova Main Road, GVMC Office, NAD Junction",Travel from Gajuwaka to Arilova Heritage Park in Arilova. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00028,Gajuwaka,Arilova Nature Park,Arilova,2,7 mins,Rs 25,Rs 30,Rs 80,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Arilova Main Road, GVMC Office, NAD Junction",Travel from Gajuwaka to Arilova Nature Park in Arilova. Distance approx 2 km with medium traffic. Route via major Vizag roads.
TRP00029,Gajuwaka,Arilova Palm Garden,Arilova,3,10 mins,Rs 35,Rs 40,Rs 95,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Arilova Main Road, GVMC Office, NAD Junction",Travel from Gajuwaka to Arilova Palm Garden in Arilova. Distance approx 3 km with medium traffic. Route via major Vizag roads.
TRP00030,Gajuwaka,Beach Road Coastal Park,Beach Road,15,38 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Gajuwaka to Beach Road Coastal Park in Beach Road. Distance approx 15 km with medium traffic. Route via major Vizag roads.
TRP00031,Gajuwaka,Beach Road Eco Garden,Beach Road,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Gajuwaka to Beach Road Eco Garden in Beach Road. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00032,Gajuwaka,Beach Road Family Park,Beach Road,14,35 mins,Rs 120,Rs 175,Rs 250,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Gajuwaka to Beach Road Family Park in Beach Road. Distance approx 14 km with medium traffic. Route via major Vizag roads.
TRP00033,Gajuwaka,Beach Road Green Park,Beach Road,15,38 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Gajuwaka to Beach Road Green Park in Beach Road. Distance approx 15 km with medium traffic. Route via major Vizag roads.
TRP00034,Gajuwaka,Beach Road Urban Park,Beach Road,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","RK Beach, Appughar, Submarine Museum, INS Kurusura",Travel from Gajuwaka to Beach Road Urban Park in Beach Road. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00035,Gajuwaka,Beach View Park,Visakhapatnam,14,35 mins,Rs 120,Rs 175,Rs 250,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Visakhapatnam City Center, GVMC Office",Travel from Gajuwaka to Beach View Park in Visakhapatnam. Distance approx 14 km with medium traffic. Route via major Vizag roads.
TRP00036,Gajuwaka,Bheemili Beach Garden,Bheemili,21,53 mins,Rs 175,Rs 260,Rs 345,Low,Cab,"9-10 AM, 7-8 PM",Anytime except weekends 5-8 PM,"Bheemili Beach, Dutch Cemetery, Bheemili Bus Stop",Travel from Gajuwaka to Bheemili Beach Garden in Bheemili. Distance approx 21 km with low traffic. Route via major Vizag roads.
TRP00037,Gajuwaka,Bheemili Coastal Garden,Bheemili,19,47 mins,Rs 160,Rs 235,Rs 320,Low,Cab,"9-10 AM, 7-8 PM",Anytime except weekends 5-8 PM,"Bheemili Beach, Dutch Cemetery, Bheemili Bus Stop",Travel from Gajuwaka to Bheemili Coastal Garden in Bheemili. Distance approx 19 km with low traffic. Route via major Vizag roads.
TRP00038,Gajuwaka,Bheemili Heritage Park,Bheemili,20,50 mins,Rs 170,Rs 245,Rs 330,Low,Cab,"9-10 AM, 7-8 PM",Anytime except weekends 5-8 PM,"Bheemili Beach, Dutch Cemetery, Bheemili Bus Stop",Travel from Gajuwaka to Bheemili Heritage Park in Bheemili. Distance approx 20 km with low traffic. Route via major Vizag roads.
TRP00039,Gajuwaka,Bheemili Nature Park,Bheemili,21,53 mins,Rs 175,Rs 260,Rs 345,Low,Cab,"9-10 AM, 7-8 PM",Anytime except weekends 5-8 PM,"Bheemili Beach, Dutch Cemetery, Bheemili Bus Stop",Travel from Gajuwaka to Bheemili Nature Park in Bheemili. Distance approx 21 km with low traffic. Route via major Vizag roads.
TRP00040,Gajuwaka,Bheemili Palm Garden,Bheemili,19,47 mins,Rs 160,Rs 235,Rs 320,Low,Cab,"9-10 AM, 7-8 PM",Anytime except weekends 5-8 PM,"Bheemili Beach, Dutch Cemetery, Bheemili Bus Stop",Travel from Gajuwaka to Bheemili Palm Garden in Bheemili. Distance approx 19 km with low traffic. Route via major Vizag roads.
TRP00041,Gajuwaka,Bheemili Urban Park,Bheemili,20,50 mins,Rs 170,Rs 245,Rs 330,Low,Cab,"9-10 AM, 7-8 PM",Anytime except weekends 5-8 PM,"Bheemili Beach, Dutch Cemetery, Bheemili Bus Stop",Travel from Gajuwaka to Bheemili Urban Park in Bheemili. Distance approx 20 km with low traffic. Route via major Vizag roads.
TRP00042,Gajuwaka,Dwaraka Nagar Central Garden,Dwaraka Nagar,13,33 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Dwaraka Nagar Circle, Central Park, RTC Complex",Travel from Gajuwaka to Dwaraka Nagar Central Garden in Dwaraka Nagar. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00043,Gajuwaka,Dwaraka Nagar City Park,Dwaraka Nagar,11,27 mins,Rs 95,Rs 140,Rs 205,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Dwaraka Nagar Circle, Central Park, RTC Complex",Travel from Gajuwaka to Dwaraka Nagar City Park in Dwaraka Nagar. Distance approx 11 km with medium traffic. Route via major Vizag roads.
TRP00044,Gajuwaka,Dwaraka Nagar Eco Park,Dwaraka Nagar,12,30 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Dwaraka Nagar Circle, Central Park, RTC Complex",Travel from Gajuwaka to Dwaraka Nagar Eco Park in Dwaraka Nagar. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00045,Gajuwaka,Dwaraka Nagar Nature Park,Dwaraka Nagar,13,33 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Dwaraka Nagar Circle, Central Park, RTC Complex",Travel from Gajuwaka to Dwaraka Nagar Nature Park in Dwaraka Nagar. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00046,Gajuwaka,Dwaraka Nagar Palm Park,Dwaraka Nagar,11,27 mins,Rs 95,Rs 140,Rs 205,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Dwaraka Nagar Circle, Central Park, RTC Complex",Travel from Gajuwaka to Dwaraka Nagar Palm Park in Dwaraka Nagar. Distance approx 11 km with medium traffic. Route via major Vizag roads.
TRP00047,Gajuwaka,Dwaraka Nagar Recreation Park,Dwaraka Nagar,12,30 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Dwaraka Nagar Circle, Central Park, RTC Complex",Travel from Gajuwaka to Dwaraka Nagar Recreation Park in Dwaraka Nagar. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00048,Gajuwaka,Gajuwaka Community Park,Gajuwaka,4,13 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Gajuwaka Junction, RINL Gate, BHPV",Travel from Gajuwaka to Gajuwaka Community Park in Gajuwaka. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00049,Gajuwaka,Gajuwaka Eco Garden,Gajuwaka,2,7 mins,Rs 25,Rs 30,Rs 80,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Gajuwaka Junction, RINL Gate, BHPV",Travel from Gajuwaka to Gajuwaka Eco Garden in Gajuwaka. Distance approx 2 km with medium traffic. Route via major Vizag roads.
TRP00050,Gajuwaka,Gajuwaka Family Park,Gajuwaka,3,10 mins,Rs 35,Rs 40,Rs 95,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Gajuwaka Junction, RINL Gate, BHPV",Travel from Gajuwaka to Gajuwaka Family Park in Gajuwaka. Distance approx 3 km with medium traffic. Route via major Vizag roads.
TRP00051,Gajuwaka,Gajuwaka Green Meadows,Gajuwaka,4,13 mins,Rs 40,Rs 55,Rs 110,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Gajuwaka Junction, RINL Gate, BHPV",Travel from Gajuwaka to Gajuwaka Green Meadows in Gajuwaka. Distance approx 4 km with medium traffic. Route via major Vizag roads.
TRP00052,Gajuwaka,Gajuwaka Sunrise Park,Gajuwaka,2,7 mins,Rs 25,Rs 30,Rs 80,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Gajuwaka Junction, RINL Gate, BHPV",Travel from Gajuwaka to Gajuwaka Sunrise Park in Gajuwaka. Distance approx 2 km with medium traffic. Route via major Vizag roads.
TRP00053,Gajuwaka,Gajuwaka Urban Forest Park,Gajuwaka,3,10 mins,Rs 35,Rs 40,Rs 95,Medium,Rapido Bike,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Gajuwaka Junction, RINL Gate, BHPV",Travel from Gajuwaka to Gajuwaka Urban Forest Park in Gajuwaka. Distance approx 3 km with medium traffic. Route via major Vizag roads.
TRP00054,Gajuwaka,Kurmannapalem Central Park,Kurmannapalem,19,48 mins,Rs 160,Rs 235,Rs 320,Medium,Cab,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Kurmannapalem Bus Stop, Kommadi Circle",Travel from Gajuwaka to Kurmannapalem Central Park in Kurmannapalem. Distance approx 19 km with medium traffic. Route via major Vizag roads.
TRP00055,Gajuwaka,Kurmannapalem Eco Garden,Kurmannapalem,17,42 mins,Rs 145,Rs 210,Rs 290,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Kurmannapalem Bus Stop, Kommadi Circle",Travel from Gajuwaka to Kurmannapalem Eco Garden in Kurmannapalem. Distance approx 17 km with medium traffic. Route via major Vizag roads.
TRP00056,Gajuwaka,Kurmannapalem Family Park,Kurmannapalem,18,45 mins,Rs 155,Rs 220,Rs 305,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Kurmannapalem Bus Stop, Kommadi Circle",Travel from Gajuwaka to Kurmannapalem Family Park in Kurmannapalem. Distance approx 18 km with medium traffic. Route via major Vizag roads.
TRP00057,Gajuwaka,Kurmannapalem Green Park,Kurmannapalem,19,48 mins,Rs 160,Rs 235,Rs 320,Medium,Cab,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Kurmannapalem Bus Stop, Kommadi Circle",Travel from Gajuwaka to Kurmannapalem Green Park in Kurmannapalem. Distance approx 19 km with medium traffic. Route via major Vizag roads.
TRP00058,Gajuwaka,Kurmannapalem Lake Park,Kurmannapalem,17,42 mins,Rs 145,Rs 210,Rs 290,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Kurmannapalem Bus Stop, Kommadi Circle",Travel from Gajuwaka to Kurmannapalem Lake Park in Kurmannapalem. Distance approx 17 km with medium traffic. Route via major Vizag roads.
TRP00059,Gajuwaka,Lawsons Bay Coastal Garden,Lawsons Bay,14,35 mins,Rs 120,Rs 175,Rs 250,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Lawson's Bay Colony Beach, Vizag Naval Base",Travel from Gajuwaka to Lawsons Bay Coastal Garden in Lawsons Bay. Distance approx 14 km with medium traffic. Route via major Vizag roads.
TRP00060,Gajuwaka,Lawsons Bay Family Park,Lawsons Bay,15,38 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Lawson's Bay Colony Beach, Vizag Naval Base",Travel from Gajuwaka to Lawsons Bay Family Park in Lawsons Bay. Distance approx 15 km with medium traffic. Route via major Vizag roads.
TRP00061,Gajuwaka,Lawsons Bay Nature Park,Lawsons Bay,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Lawson's Bay Colony Beach, Vizag Naval Base",Travel from Gajuwaka to Lawsons Bay Nature Park in Lawsons Bay. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00062,Gajuwaka,Lawsons Bay Park,Lawsons Bay,14,35 mins,Rs 120,Rs 175,Rs 250,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Lawson's Bay Colony Beach, Vizag Naval Base",Travel from Gajuwaka to Lawsons Bay Park in Lawsons Bay. Distance approx 14 km with medium traffic. Route via major Vizag roads.
TRP00063,Gajuwaka,Lawsons Bay Public Park,Lawsons Bay,15,38 mins,Rs 130,Rs 185,Rs 260,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Lawson's Bay Colony Beach, Vizag Naval Base",Travel from Gajuwaka to Lawsons Bay Public Park in Lawsons Bay. Distance approx 15 km with medium traffic. Route via major Vizag roads.
TRP00064,Gajuwaka,Lawsons Bay Sunrise Park,Lawsons Bay,13,32 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Lawson's Bay Colony Beach, Vizag Naval Base",Travel from Gajuwaka to Lawsons Bay Sunrise Park in Lawsons Bay. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00065,Gajuwaka,MVP Botanical Park,MVP Colony,12,30 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","MVP Water Tank, MVP Market, Rythu Bazaar",Travel from Gajuwaka to MVP Botanical Park in MVP Colony. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00066,Gajuwaka,MVP Colony Community Park,MVP Colony,13,33 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","MVP Water Tank, MVP Market, Rythu Bazaar",Travel from Gajuwaka to MVP Colony Community Park in MVP Colony. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00067,Gajuwaka,MVP Eco Park,MVP Colony,11,27 mins,Rs 95,Rs 140,Rs 205,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","MVP Water Tank, MVP Market, Rythu Bazaar",Travel from Gajuwaka to MVP Eco Park in MVP Colony. Distance approx 11 km with medium traffic. Route via major Vizag roads.
TRP00068,Gajuwaka,MVP Green Meadows Park,MVP Colony,12,30 mins,Rs 105,Rs 150,Rs 220,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","MVP Water Tank, MVP Market, Rythu Bazaar",Travel from Gajuwaka to MVP Green Meadows Park in MVP Colony. Distance approx 12 km with medium traffic. Route via major Vizag roads.
TRP00069,Gajuwaka,MVP Palm Garden,MVP Colony,13,33 mins,Rs 115,Rs 160,Rs 235,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","MVP Water Tank, MVP Market, Rythu Bazaar",Travel from Gajuwaka to MVP Palm Garden in MVP Colony. Distance approx 13 km with medium traffic. Route via major Vizag roads.
TRP00070,Gajuwaka,MVP Sunrise Park,MVP Colony,11,27 mins,Rs 95,Rs 140,Rs 205,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","MVP Water Tank, MVP Market, Rythu Bazaar",Travel from Gajuwaka to MVP Sunrise Park in MVP Colony. Distance approx 11 km with medium traffic. Route via major Vizag roads.
TRP00071,Gajuwaka,Madhurawada Botanical Park,Madhurawada,18,45 mins,Rs 155,Rs 220,Rs 305,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Madhurawada Junction, DLF Cybercity, Infosys Campus",Travel from Gajuwaka to Madhurawada Botanical Park in Madhurawada. Distance approx 18 km with medium traffic. Route via major Vizag roads.
TRP00072,Gajuwaka,Madhurawada Central Park,Madhurawada,19,48 mins,Rs 160,Rs 235,Rs 320,Medium,Cab,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Madhurawada Junction, DLF Cybercity, Infosys Campus",Travel from Gajuwaka to Madhurawada Central Park in Madhurawada. Distance approx 19 km with medium traffic. Route via major Vizag roads.
TRP00073,Gajuwaka,Madhurawada Children Park,Madhurawada,17,42 mins,Rs 145,Rs 210,Rs 290,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Madhurawada Junction, DLF Cybercity, Infosys Campus",Travel from Gajuwaka to Madhurawada Children Park in Madhurawada. Distance approx 17 km with medium traffic. Route via major Vizag roads.
TRP00074,Gajuwaka,Madhurawada Hill Park,Madhurawada,18,45 mins,Rs 155,Rs 220,Rs 305,Medium,Auto,"8-10 AM, 6-8 PM","10 AM-5 PM, after 9 PM","Madhurawada Junction, DLF Cybercity, Infosys Campus",Travel from Gajuwaka to Madhurawada Hill Park in Madhurawada. Distance approx 18 km with medium traffic. Route via major Vizag roads.
