route_id,source_area,park_name,park_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,tourist_friendly,description
VSK-018,Madhurawada,Tenneti Park,Waltair,Tenneti Park Stop,300,City Ordinary,Madhurawada - MVP Colony - Jagadamba - RK Beach - Tenneti Park,20,60 mins,24,0545,2130,25,0.2,Yes,Scenic route via MVP Colony and RK Beach seafront to Tenneti Park
VSK-019,Madhurawada,Kambalakonda Wildlife Sanctuary,Kommadi,Kambalakonda Gate,402,City Ordinary,Madhurawada - Kommadi - Kambalakonda,6,20 mins,10,0600,2000,25,0.5,Yes,Short route from Madhurawada to Kambalakonda sanctuary
VSK-020,Madhurawada,Rishikonda Beach Park,Rushikonda,Rushikonda Beach Stop,300,City Ordinary,Madhurawada - Rushikonda,5,15 mins,10,0600,2100,20,0.3,Yes,Very short direct route from Madhurawada to Rushikonda Beach Park
VSK-021,PM Palem,VUDA Park,Siripuram,VUDA Park Stop,301,City Ordinary,PM Palem - MVP Colony - Seethammadhara - Jagadamba - Siripuram,15,45 mins,20,0545,2200,20,0.1,Yes,Route from PM Palem via MVP Colony to VUDA Park
VSK-022,PM Palem,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,301E,Express,PM Palem - MVP Colony - Rushikonda - Kailasagiri,14,42 mins,18,0600,2100,25,0.3,Yes,Express from PM Palem to Kailasagiri via Rushikonda coast road
VSK-023,PM Palem,Tenneti Park,Waltair,Tenneti Park Stop,301,City Ordinary,PM Palem - MVP Colony - Jagadamba - RK Beach - Tenneti Park,17,50 mins,22,0545,2130,25,0.2,Yes,Route from PM Palem to Tenneti Park via RK Beach
VSK-024,PM Palem,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,403,City Ordinary,PM Palem - Madhurawada - Kommadi - Zoo Junction,14,42 mins,18,0600,2100,30,0.4,Yes,Route from PM Palem via Madhurawada to Indira Gandhi Zoo
VSK-025,PM Palem,Submarine Museum,RK Beach,RK Beach Bus Stop,301,City Ordinary,PM Palem - MVP Colony - Jagadamba - Siripuram - RK Beach,16,48 mins,20,0545,2200,20,0.2,Yes,Route from PM Palem to RK Beach for Submarine Museum
VSK-026,MVP Colony,VUDA Park,Siripuram,VUDA Park Stop,202,City Ordinary,MVP Colony - Seethammadhara - Jagadamba - Siripuram,9,28 mins,14,0530,2230,15,0.1,Yes,Frequent short route from MVP Colony directly to VUDA Park
VSK-027,MVP Colony,Tenneti Park,Waltair,Tenneti Park Stop,202,City Ordinary,MVP Colony - Jagadamba - RK Beach - Tenneti Park,12,36 mins,16,0530,2200,15,0.2,Yes,Popular route from MVP Colony to Tenneti Park via RK Beach
VSK-028,MVP Colony,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,202E,Express,MVP Colony - Rushikonda - Kailasagiri,16,48 mins,20,0600,2100,25,0.3,Yes,Express service from MVP Colony to Kailasagiri
VSK-029,MVP Colony,Submarine Museum,RK Beach,RK Beach Bus Stop,202,City Ordinary,MVP Colony - Jagadamba - Siripuram - RK Beach,10,30 mins,15,0530,2200,15,0.2,Yes,Frequent route from MVP Colony to RK Beach for Submarine Museum
VSK-030,MVP Colony,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,301,City Ordinary,MVP Colony - PM Palem - Madhurawada - Zoo Junction,16,48 mins,20,0600,2100,30,0.4,Yes,Route from MVP Colony to Indira Gandhi Zoo via Madhurawada
VSK-031,Siripuram,VUDA Park,Siripuram,VUDA Park Stop,500,City Ordinary,Siripuram Circle - VUDA Park,1,5 mins,6,0530,2300,10,0.1,Yes,Very short walk or bus ride from Siripuram to VUDA Park entrance
VSK-032,Siripuram,Tenneti Park,Waltair,Tenneti Park Stop,500,City Ordinary,Siripuram - RK Beach - Tenneti Park,4,15 mins,8,0530,2230,10,0.2,Yes,Short and frequent route from Siripuram along beach road to Tenneti Park
VSK-033,Siripuram,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,500E,Express,Siripuram - RK Beach - Lawsons Bay - Kailasagiri,8,25 mins,12,0600,2100,20,0.3,Yes,Express from Siripuram along beach road to Kailasagiri
VSK-034,Siripuram,Submarine Museum,RK Beach,RK Beach Bus Stop,500,City Ordinary,Siripuram - RK Beach,3,10 mins,7,0530,2230,10,0.2,Yes,Very short ride from Siripuram to RK Beach Submarine Museum
VSK-035,Siripuram,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,501,City Ordinary,Siripuram - Jagadamba - Seethammadhara - Rushikonda - Zoo Junction,18,55 mins,22,0600,2100,30,0.4,Yes,Route from Siripuram via city centre to Indira Gandhi Zoo
VSK-036,Dwaraka Nagar,VUDA Park,Siripuram,VUDA Park Stop,503,City Ordinary,Dwaraka Nagar - Siripuram Circle - VUDA Park,2,8 mins,7,0530,2230,10,0.1,Yes,Very short route from Dwaraka Nagar to VUDA Park
VSK-037,Dwaraka Nagar,Tenneti Park,Waltair,Tenneti Park Stop,503,City Ordinary,Dwaraka Nagar - Siripuram - RK Beach - Tenneti Park,5,18 mins,10,0530,2200,12,0.2,Yes,Short frequent route from Dwaraka Nagar to Tenneti Park via RK Beach
VSK-038,Dwaraka Nagar,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,503E,Express,Dwaraka Nagar - Siripuram - RK Beach - Kailasagiri,10,30 mins,15,0600,2100,20,0.3,Yes,Express from Dwaraka Nagar along beach road to Kailasagiri
VSK-039,Dwaraka Nagar,Submarine Museum,RK Beach,RK Beach Bus Stop,503,City Ordinary,Dwaraka Nagar - Siripuram - RK Beach,4,13 mins,8,0530,2230,10,0.2,Yes,Short ride from Dwaraka Nagar to RK Beach Submarine Museum
VSK-040,Dwaraka Nagar,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,504,City Ordinary,Dwaraka Nagar - Jagadamba - Seethammadhara - Madhurawada - Zoo Junction,20,60 mins,24,0600,2100,30,0.4,Yes,Route from Dwaraka Nagar to Indira Gandhi Zoo via Madhurawada
VSK-041,Maddilapalem,VUDA Park,Siripuram,VUDA Park Stop,203,City Ordinary,Maddilapalem - Seethammadhara - Jagadamba - Siripuram,8,25 mins,12,0545,2200,15,0.1,Yes,Convenient route from Maddilapalem to VUDA Park
VSK-042,Maddilapalem,Tenneti Park,Waltair,Tenneti Park Stop,203,City Ordinary,Maddilapalem - Seethammadhara - Jagadamba - RK Beach - Tenneti Park,11,33 mins,15,0545,2130,15,0.2,Yes,Route from Maddilapalem to Tenneti Park via Jagadamba and RK Beach
VSK-043,Maddilapalem,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,203E,Express,Maddilapalem - MVP Colony - Rushikonda - Kailasagiri,18,54 mins,22,0600,2100,25,0.3,Yes,Express service from Maddilapalem to Kailasagiri via Rushikonda
VSK-044,Maddilapalem,Submarine Museum,RK Beach,RK Beach Bus Stop,203,City Ordinary,Maddilapalem - Jagadamba - Siripuram - RK Beach,9,27 mins,13,0545,2200,15,0.2,Yes,Route from Maddilapalem to Submarine Museum at RK Beach
VSK-045,Maddilapalem,Kambalakonda Wildlife Sanctuary,Kommadi,Kambalakonda Gate,204,City Ordinary,Maddilapalem - Seethammadhara - MVP Colony - Madhurawada - Kambalakonda,22,65 mins,26,0600,2000,35,0.5,Yes,Route from Maddilapalem to Kambalakonda Wildlife Sanctuary
VSK-046,NAD Junction,VUDA Park,Siripuram,VUDA Park Stop,400,City Ordinary,NAD Junction - Jagadamba - Siripuram - VUDA Park,10,30 mins,15,0530,2200,15,0.1,Yes,Route from NAD Junction via Jagadamba to VUDA Park
VSK-047,NAD Junction,Tenneti Park,Waltair,Tenneti Park Stop,400,City Ordinary,NAD Junction - Jagadamba - Siripuram - RK Beach - Tenneti Park,13,40 mins,17,0530,2130,15,0.2,Yes,Route from NAD Junction to Tenneti Park via RK Beach
VSK-048,NAD Junction,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,400E,Express,NAD Junction - Jagadamba - RK Beach - Kailasagiri,16,48 mins,20,0600,2100,25,0.3,Yes,Express from NAD to Kailasagiri via Beach Road
VSK-049,NAD Junction,Submarine Museum,RK Beach,RK Beach Bus Stop,400,City Ordinary,NAD Junction - Jagadamba - Siripuram - RK Beach,11,33 mins,16,0530,2200,15,0.2,Yes,Route from NAD Junction to Submarine Museum at RK Beach
VSK-050,NAD Junction,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,405,City Ordinary,NAD Junction - Steel Plant - Gajuwaka - Kommadi - Zoo Junction,20,60 mins,24,0600,2100,30,0.4,Yes,Route via Gajuwaka and Kommadi to Indira Gandhi Zoo
VSK-051,Seethammadhara,VUDA Park,Siripuram,VUDA Park Stop,205,City Ordinary,Seethammadhara - Jagadamba - Siripuram,6,18 mins,10,0530,2230,12,0.1,Yes,Short frequent route from Seethammadhara to VUDA Park
VSK-052,Seethammadhara,Tenneti Park,Waltair,Tenneti Park Stop,205,City Ordinary,Seethammadhara - Jagadamba - RK Beach - Tenneti Park,9,27 mins,13,0530,2200,12,0.2,Yes,Route from Seethammadhara to Tenneti Park via RK Beach
VSK-053,Seethammadhara,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,205E,Express,Seethammadhara - MVP Colony - Rushikonda - Kailasagiri,20,60 mins,24,0600,2100,25,0.3,Yes,Express from Seethammadhara to Kailasagiri via Rushikonda
VSK-054,Seethammadhara,Submarine Museum,RK Beach,RK Beach Bus Stop,205,City Ordinary,Seethammadhara - Jagadamba - Siripuram - RK Beach,7,21 mins,11,0530,2230,12,0.2,Yes,Short route from Seethammadhara to RK Beach Submarine Museum
VSK-055,Seethammadhara,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,206,City Ordinary,Seethammadhara - MVP Colony - Madhurawada - Kommadi - Zoo Junction,20,60 mins,24,0600,2100,30,0.4,Yes,Route from Seethammadhara via Madhurawada to Indira Gandhi Zoo
VSK-056,Jagadamba,VUDA Park,Siripuram,VUDA Park Stop,500,City Ordinary,Jagadamba Center - Siripuram - VUDA Park,3,10 mins,8,0530,2300,10,0.1,Yes,Very short and frequent route from Jagadamba to VUDA Park
VSK-057,Jagadamba,Tenneti Park,Waltair,Tenneti Park Stop,500,City Ordinary,Jagadamba - Siripuram - RK Beach - Tenneti Park,6,18 mins,10,0530,2230,10,0.2,Yes,Short route from Jagadamba to Tenneti Park via RK Beach
VSK-058,Jagadamba,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,500E,Express,Jagadamba - RK Beach - Lawsons Bay - Kailasagiri,10,30 mins,15,0600,2100,15,0.3,Yes,Express along beach road from Jagadamba to Kailasagiri
VSK-059,Jagadamba,Submarine Museum,RK Beach,RK Beach Bus Stop,500,City Ordinary,Jagadamba - Siripuram - RK Beach,4,12 mins,8,0530,2300,10,0.2,Yes,Frequent short route from Jagadamba to Submarine Museum at RK Beach
VSK-060,Jagadamba,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,501,City Ordinary,Jagadamba - Seethammadhara - MVP Colony - Madhurawada - Zoo Junction,22,65 mins,26,0600,2100,30,0.4,Yes,Route from Jagadamba via Madhurawada to Indira Gandhi Zoo
VSK-061,Asilmetta,VUDA Park,Siripuram,VUDA Park Stop,505,City Ordinary,Asilmetta - Jagadamba - Siripuram - VUDA Park,4,13 mins,8,0530,2230,12,0.1,Yes,Short route from Asilmetta to VUDA Park via Jagadamba
VSK-062,Asilmetta,Tenneti Park,Waltair,Tenneti Park Stop,505,City Ordinary,Asilmetta - Jagadamba - RK Beach - Tenneti Park,7,21 mins,11,0530,2200,12,0.2,Yes,Route from Asilmetta to Tenneti Park via Jagadamba and RK Beach
VSK-063,Asilmetta,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,505E,Express,Asilmetta - Siripuram - RK Beach - Kailasagiri,11,33 mins,16,0600,2100,20,0.3,Yes,Express from Asilmetta along beach road to Kailasagiri
VSK-064,Asilmetta,Submarine Museum,RK Beach,RK Beach Bus Stop,505,City Ordinary,Asilmetta - Siripuram - RK Beach,5,15 mins,9,0530,2230,12,0.2,Yes,Short route from Asilmetta to RK Beach Submarine Museum
VSK-065,Asilmetta,VUDA Park,Siripuram,VUDA Park Stop,506,City Ordinary,Asilmetta - Dwaraka Nagar - Siripuram - VUDA Park,4,13 mins,8,0530,2230,15,0.1,Yes,Alternate route from Asilmetta to VUDA Park via Dwaraka Nagar
VSK-066,Railway Station,VUDA Park,Siripuram,VUDA Park Stop,60,City Ordinary,Railway Station - Poorna Market - Jagadamba - Siripuram - VUDA Park,6,20 mins,10,0500,2300,10,0.1,Yes,Frequent route from Railway Station to VUDA Park via Jagadamba
VSK-067,Railway Station,Tenneti Park,Waltair,Tenneti Park Stop,60,City Ordinary,Railway Station - Waltair - RK Beach - Tenneti Park,7,22 mins,11,0500,2300,10,0.2,Yes,Route from Railway Station along Waltair Road to Tenneti Park
VSK-068,Railway Station,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,60E,Express,Railway Station - Jagadamba - RK Beach - Kailasagiri,12,36 mins,16,0530,2130,20,0.3,Yes,Express from Railway Station to Kailasagiri via RK Beach
VSK-069,Railway Station,Submarine Museum,RK Beach,RK Beach Bus Stop,60,City Ordinary,Railway Station - Poorna Market - Jagadamba - RK Beach,6,18 mins,10,0500,2300,10,0.2,Yes,Frequent route from Railway Station to RK Beach Submarine Museum
VSK-070,Railway Station,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,65,City Ordinary,Railway Station - Jagadamba - Seethammadhara - Madhurawada - Zoo Junction,25,75 mins,28,0530,2100,30,0.4,Yes,Route from Railway Station to Indira Gandhi Zoo
VSK-071,RTC Complex,VUDA Park,Siripuram,VUDA Park Stop,500,City Ordinary,RTC Complex - Jagadamba - Siripuram - VUDA Park,5,15 mins,9,0500,2330,8,0.1,Yes,Very frequent route from RTC Complex to VUDA Park
VSK-072,RTC Complex,Tenneti Park,Waltair,Tenneti Park Stop,500,City Ordinary,RTC Complex - Jagadamba - Siripuram - RK Beach - Tenneti Park,8,24 mins,12,0500,2300,8,0.2,Yes,Frequent route from RTC Complex to Tenneti Park via RK Beach
VSK-073,RTC Complex,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,500E,Express,RTC Complex - Jagadamba - RK Beach - Kailasagiri,13,40 mins,17,0530,2130,15,0.3,Yes,Express from RTC Complex to Kailasagiri via Beach Road
VSK-074,RTC Complex,Submarine Museum,RK Beach,RK Beach Bus Stop,500,City Ordinary,RTC Complex - Jagadamba - Siripuram - RK Beach,6,18 mins,10,0500,2330,8,0.2,Yes,Frequent route from RTC Complex to Submarine Museum
VSK-075,RTC Complex,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,510,City Ordinary,RTC Complex - Seethammadhara - MVP Colony - Madhurawada - Zoo Junction,24,72 mins,27,0530,2100,30,0.4,Yes,Route from RTC Complex to Indira Gandhi Zoo via Madhurawada
VSK-076,RTC Complex,Kambalakonda Wildlife Sanctuary,Kommadi,Kambalakonda Gate,511,City Ordinary,RTC Complex - NAD Junction - Steel Plant - Gajuwaka - Kommadi - Kambalakonda,25,75 mins,28,0600,2000,35,0.5,Yes,Route from RTC Complex to Kambalakonda Wildlife Sanctuary
VSK-077,Airport,VUDA Park,Siripuram,VUDA Park Stop,410,City Ordinary,Vizag Airport - Gopalapatnam - NAD Junction - Jagadamba - Siripuram,16,50 mins,20,0545,2200,25,0.1,Yes,Route from Airport via Gopalapatnam and NAD to VUDA Park
VSK-078,Airport,Tenneti Park,Waltair,Tenneti Park Stop,410,City Ordinary,Vizag Airport - Gopalapatnam - NAD - Jagadamba - RK Beach - Tenneti Park,19,58 mins,23,0545,2130,25,0.2,Yes,Route from Airport via NAD and RK Beach to Tenneti Park
VSK-079,Airport,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,410E,Express,Vizag Airport - Gopalapatnam - Seethammadhara - RK Beach - Kailasagiri,22,66 mins,26,0600,2100,30,0.3,Yes,Express from Airport to Kailasagiri via city
VSK-080,Airport,Submarine Museum,RK Beach,RK Beach Bus Stop,410,City Ordinary,Vizag Airport - Gopalapatnam - NAD - Jagadamba - RK Beach,17,52 mins,21,0545,2200,25,0.2,Yes,Route from Airport to RK Beach Submarine Museum
VSK-081,Airport,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,411,City Ordinary,Vizag Airport - Kommadi - Madhurawada - Zoo Junction,14,42 mins,18,0600,2100,30,0.4,Yes,Short route from Airport to Indira Gandhi Zoo via Kommadi
VSK-082,Pendurthi,VUDA Park,Siripuram,VUDA Park Stop,104,City Ordinary,Pendurthi - Kurmannapalem - Gopalapatnam - NAD Junction - Jagadamba - Siripuram,24,72 mins,27,0530,2130,25,0.1,Yes,Route from Pendurthi via Gopalapatnam to VUDA Park
VSK-083,Pendurthi,Tenneti Park,Waltair,Tenneti Park Stop,104,City Ordinary,Pendurthi - Kurmannapalem - Gopalapatnam - NAD - Jagadamba - RK Beach - Tenneti Park,27,80 mins,30,0530,2100,25,0.2,Yes,Route from Pendurthi to Tenneti Park via city centre
VSK-084,Pendurthi,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,104E,Express,Pendurthi - Gopalapatnam - NAD - Jagadamba - RK Beach - Kailasagiri,30,88 mins,33,0600,2100,30,0.3,Yes,Express from Pendurthi to Kailasagiri via Beach Road
VSK-085,Pendurthi,Submarine Museum,RK Beach,RK Beach Bus Stop,104,City Ordinary,Pendurthi - Kurmannapalem - Gopalapatnam - NAD - RK Beach,25,75 mins,28,0530,2130,25,0.2,Yes,Route from Pendurthi to Submarine Museum at RK Beach
VSK-086,Pendurthi,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,105,City Ordinary,Pendurthi - Kommadi - Zoo Junction,16,48 mins,20,0600,2100,30,0.4,Yes,Route from Pendurthi to Indira Gandhi Zoo via Kommadi
VSK-087,Gopalapatnam,VUDA Park,Siripuram,VUDA Park Stop,410,City Ordinary,Gopalapatnam - NAD Junction - Jagadamba - Siripuram - VUDA Park,15,45 mins,19,0545,2200,20,0.1,Yes,Route from Gopalapatnam via NAD Junction to VUDA Park
VSK-088,Gopalapatnam,Tenneti Park,Waltair,Tenneti Park Stop,410,City Ordinary,Gopalapatnam - NAD - Jagadamba - RK Beach - Tenneti Park,18,54 mins,22,0545,2130,20,0.2,Yes,Route from Gopalapatnam to Tenneti Park via city centre
VSK-089,Gopalapatnam,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,410E,Express,Gopalapatnam - NAD - Siripuram - RK Beach - Kailasagiri,21,63 mins,25,0600,2100,25,0.3,Yes,Express from Gopalapatnam to Kailasagiri via Beach Road
VSK-090,Gopalapatnam,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,411,City Ordinary,Gopalapatnam - Kommadi - Zoo Junction,12,36 mins,16,0600,2100,25,0.4,Yes,Route from Gopalapatnam to Indira Gandhi Zoo
VSK-091,Gopalapatnam,Kambalakonda Wildlife Sanctuary,Kommadi,Kambalakonda Gate,412,City Ordinary,Gopalapatnam - Kommadi - Kambalakonda,10,30 mins,14,0600,2000,25,0.5,Yes,Route from Gopalapatnam to Kambalakonda Wildlife Sanctuary
VSK-092,Kurmannapalem,VUDA Park,Siripuram,VUDA Park Stop,106,City Ordinary,Kurmannapalem - Gopalapatnam - NAD Junction - Jagadamba - Siripuram,18,54 mins,22,0545,2130,25,0.1,Yes,Route from Kurmannapalem via Gopalapatnam to VUDA Park
VSK-093,Kurmannapalem,Tenneti Park,Waltair,Tenneti Park Stop,106,City Ordinary,Kurmannapalem - Gopalapatnam - NAD - Jagadamba - RK Beach - Tenneti Park,21,63 mins,25,0545,2100,25,0.2,Yes,Route from Kurmannapalem to Tenneti Park via Gopalapatnam
VSK-094,Kurmannapalem,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,106E,Express,Kurmannapalem - Gopalapatnam - NAD - RK Beach - Kailasagiri,24,72 mins,27,0600,2100,30,0.3,Yes,Express from Kurmannapalem to Kailasagiri via Beach Road
VSK-095,Kurmannapalem,Submarine Museum,RK Beach,RK Beach Bus Stop,106,City Ordinary,Kurmannapalem - Gopalapatnam - NAD - Jagadamba - RK Beach,19,57 mins,23,0545,2130,25,0.2,Yes,Route from Kurmannapalem to RK Beach Submarine Museum
VSK-096,Kurmannapalem,Indira Gandhi Zoological Park,Gambhiram,Zoo Junction,107,City Ordinary,Kurmannapalem - Gopalapatnam - Kommadi - Zoo Junction,14,42 mins,18,0600,2100,30,0.4,Yes,Route from Kurmannapalem to Indira Gandhi Zoo
VSK-097,Auto Nagar,VUDA Park,Siripuram,VUDA Park Stop,400,City Ordinary,Auto Nagar - NAD Junction - Jagadamba - Siripuram - VUDA Park,12,36 mins,17,0530,2200,20,0.1,Yes,Route from Auto Nagar via NAD Junction to VUDA Park
VSK-098,Auto Nagar,Tenneti Park,Waltair,Tenneti Park Stop,400,City Ordinary,Auto Nagar - NAD - Jagadamba - RK Beach - Tenneti Park,15,45 mins,20,0530,2130,20,0.2,Yes,Route from Auto Nagar to Tenneti Park via RK Beach
VSK-099,Auto Nagar,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,400E,Express,Auto Nagar - NAD - Jagadamba - RK Beach - Kailasagiri,18,54 mins,22,0600,2100,25,0.3,Yes,Express from Auto Nagar to Kailasagiri via Beach Road
VSK-100,Auto Nagar,Submarine Museum,RK Beach,RK Beach Bus Stop,400,City Ordinary,Auto Nagar - NAD Junction - Jagadamba - Siripuram - RK Beach,13,40 mins,17,0530,2200,20,0.2,Yes,Route from Auto Nagar to Submarine Museum at RK Beach
VSK-101,Steel Plant,VUDA Park,Siripuram,VUDA Park Stop,400,City Ordinary,Steel Plant - NAD Junction - Jagadamba - Siripuram - VUDA Park,14,42 mins,18,0530,2200,20,0.1,Yes,Route from Steel Plant via NAD Junction to VUDA Park
VSK-102,Steel Plant,Tenneti Park,Waltair,Tenneti Park Stop,400,City Ordinary,Steel Plant - NAD - Jagadamba - RK Beach - Tenneti Park,17,50 mins,21,0530,2130,20,0.2,Yes,Route from Steel Plant to Tenneti Park via RK Beach
VSK-103,Steel Plant,Kailasagiri Park,Kailasagiri,Kailasagiri Base Stop,400E,Express,Steel Plant - NAD - Jagadamba - RK Beach - Kailasagiri,20,60 mins,24,0600,2100,25,0.3,Yes,Express from Steel Plant to Kailasagiri via Beach Road
VSK-104,Steel Plant,Submarine Museum,RK Beach,RK Beach Bus Stop,400,City Ordinary,Steel Plant - NAD Junction - Jagadamba - Siripuram - RK Beach,15,45 mins,20,0530,2200,20,0.2,Yes,Route from Steel Plant to RK Beach Submarine Museum
VSK-105,Steel Plant,Kambalakonda Wildlife Sanctuary,Kommadi,Kambalakonda Gate,402,City Ordinary,Steel Plant - Gajuwaka - Bheemunipatnam Road - Kommadi - Kambalakonda,10,30 mins,14,0600,2000,30,0.5,Yes,Route from Steel Plant to Kambalakonda Wildlife Sanctuary
