title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,url,categoryName,openingTime,closingTime,timingDetails,darshanFee,specialDarshanFee,entryDetails,expectedBudget,mainGod,speciality,dressCode,bestTimeToVisit,prasadamAvailable,festivalsCelebrated,parkingAvailability,photographyAllowed,crowdLevel,nearbyAttractions,googleMapsUrl,verificationStatus
Sri Sri Sri Puttabangaramma & Subramanya Swamy Temple,4.6,180.0,"45-47-19, Akkayyapalem 80 Feet Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Sri%20Sri%20Puttabangaramma%20%26%20Subramanya%20Swamy%20Temple&query_place_id=ChIJv-fPHilDOToREx1C7jF59V0,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Rama,Traditional Rama temple with daily Ramayana recitation,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Rama Navami, Vaikunta Ekadasi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"MVP Colony, Siripuram, RK Beach (5 km)",https://www.google.com/maps/search/?api=1&query=Sri%20Sri%20Sri%20Puttabangaramma%20%26%20Subramanya%20Swamy%20Temple%20Visakhapatnam,Timing needs local confirmation
Neelamma Vepachettu Ammavari Temple,4.6,457.0,P79X+9W3,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Neelamma%20Vepachettu%20Ammavari%20Temple&query_place_id=ChIJiaKB2xhDOToRgLSnDPYchUo,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Goddess (Ammavari Devi),Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Medium; High during festivals,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Neelamma%20Vepachettu%20Ammavari%20Temple%20Visakhapatnam,Estimated local temple details
Sri Erukumamba Temple,4.8,111.0,"P7HX+7J7, beside Erukumamba Temple",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Erukumamba%20Temple&query_place_id=ChIJe-B_iPpDOToRoqksplij3P4,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Presiding deity of the temple,Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Erukumamba%20Temple%20Visakhapatnam,Timing needs local confirmation
"krishna Mandir, Vizag",4.7,201.0,P866+6GH,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=krishna%20Mandir%2C%20Vizag&query_place_id=ChIJqelRaBJDOToRq6eWCJyBWew,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Krishna and Radha,Serene Krishna temple with daily bhajans and kirtans,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Janmashtami, Ekadasi, early morning",Available,"Janmashtami, Radhashtami, Holi, Ekadasi",Limited street parking available,Allowed outside; restricted inside sanctum,Medium; High during festivals,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=krishna%20Mandir%2C%20Vizag%20Visakhapatnam,Estimated local temple details
Sri Raghavendra Swamy Temple,4.7,294.0,"P895+3WX, Waltair Main Rd, Near Seven Hills Water Tank",Visakhapatnam,Andhra Pradesh,IN,,+91 89125 66935,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Raghavendra%20Swamy%20Temple&query_place_id=ChIJUQ22MxRDOToR9G6lAbwxxdI,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Rama,Traditional Rama temple with daily Ramayana recitation,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Rama Navami, Vaikunta Ekadasi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Medium; High during festivals,"Waltair Club, RK Beach (2 km), Andhra University",https://www.google.com/maps/search/?api=1&query=Sri%20Raghavendra%20Swamy%20Temple%20Visakhapatnam,Estimated local temple details
Sri Krishna Chaitanya Matham,4.6,222.0,"P866+6H2, Main Road, Krishnagar, Near Zlla Perishad Junction",Visakhapatnam,Andhra Pradesh,IN,,+91 89125 60549,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Krishna%20Chaitanya%20Matham&query_place_id=ChIJSy88aBJDOToRflOAqxgAmkY,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Krishna and Radha,Serene Krishna temple with daily bhajans and kirtans,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Janmashtami, Ekadasi, early morning",Available,"Janmashtami, Radhashtami, Holi, Ekadasi",Limited street parking available,Allowed outside; restricted inside sanctum,Medium; High during festivals,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Krishna%20Chaitanya%20Matham%20Visakhapatnam,Estimated local temple details
Siva Alayam,4.6,27.0,"P862+3HC, near Police Club",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Siva%20Alayam&query_place_id=ChIJ--gCIRtDOToR_OUvcbFb3M4,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Shiva,Popular Shiva temple with regular abhishekam poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Maha Shivaratri, Mondays, Karthika Masam",Available,"Maha Shivaratri, Karthika Masam, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Siva%20Alayam%20Visakhapatnam,Timing needs local confirmation
Sri Sri Sri Maha Shakti Kanaka Durga Temple,4.4,13.0,"P79R+RQR, Railway Station Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20Sri%20Sri%20Maha%20Shakti%20Kanaka%20Durga%20Temple&query_place_id=ChIJWaDccuBCOToRlcFW1NMilco,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Goddess Durga,Powerful Durga temple especially active during Navaratri,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Fridays, Navaratri, early morning",Available,"Navaratri, Dasara, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20Sri%20Sri%20Maha%20Shakti%20Kanaka%20Durga%20Temple%20Visakhapatnam,Timing needs local confirmation
Ammavari Temple,4.8,16.0,P79W+WQH,Visakhapatnam,Andhra Pradesh,IN,,+91 98491 76675,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Ammavari%20Temple&query_place_id=ChIJfemdZR9DOToRTacOKODA9ik,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Goddess (Ammavari Devi),Local temple serving the community with daily poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Ammavari%20Temple%20Visakhapatnam,Timing needs local confirmation
Lord Shiva Temple,4.5,11.0,P7FP+3JJ,"Visakhapatnam(Vizag), Visakhapatnam",Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Lord%20Shiva%20Temple&query_place_id=ChIJccWOtt1COToRaiiwZsRM3y8,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Shiva,Popular Shiva temple with regular abhishekam poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Maha Shivaratri, Mondays, Karthika Masam",Available,"Maha Shivaratri, Karthika Masam, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum | Visakhapatnam(Vizag), Visakhapatnam local sightseeing",https://www.google.com/maps/search/?api=1&query=Lord%20Shiva%20Temple%20Visakhapatnam%28Vizag%29%2C%20Visakhapatnam,Timing needs local confirmation
Shirdi Sai Darbar and Varahimata Temple,4.9,28.0,"P79X+R63, Street, opposite to Vivekananda Statue",Visakhapatnam,Andhra Pradesh,IN,https://saisrimerusevatrust.org/,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Shirdi%20Sai%20Darbar%20and%20Varahimata%20Temple&query_place_id=ChIJO9_M2vhDOToRtfCjXyuq3oI,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Presiding deity of the temple,Devotional Sai Baba temple with regular bhajans,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available – udi (holy ash) prasadam; sweet prasadam,"Major Hindu festivals, Temple anniversary",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Shirdi%20Sai%20Darbar%20and%20Varahimata%20Temple%20Visakhapatnam,Timing needs local confirmation
Sivalayam,4.4,10.0,P78W+JQ8,Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sivalayam&query_place_id=ChIJb-6v7h5DOToRzbju5eyhuRE,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Shiva,Popular Shiva temple with regular abhishekam poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Maha Shivaratri, Mondays, Karthika Masam",Available,"Maha Shivaratri, Karthika Masam, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sivalayam%20Visakhapatnam,Timing needs local confirmation
Ramalayam Temple Allipuram,4.3,16.0,"P78W+46H, Allipuram Market Rd",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,Place of worship,,https://www.google.com/maps/search/?api=1&query=Ramalayam%20Temple%20Allipuram&query_place_id=ChIJP5U5eR5DOToRkEE5MzjubRA,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Rama,Traditional Rama temple with daily Ramayana recitation,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Early morning, Fridays, during major festivals",Available,"Rama Navami, Vaikunta Ekadasi, Diwali",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Ramalayam%20Temple%20Allipuram%20Visakhapatnam,Timing needs local confirmation
Sri panchamukeswara medha dakshinamurty swamy temple,5.0,8.0,"manoma theatre, 32-9-1, muralidhar street",Visakhapatnam,Andhra Pradesh,IN,,,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Sri%20panchamukeswara%20medha%20dakshinamurty%20swamy%20temple&query_place_id=ChIJAfCCLQBDOToRXrzXu1AwTzQ,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Lord Shiva,Popular Shiva temple with regular abhishekam poojas,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Maha Shivaratri, Mondays, Karthika Masam",Available,"Maha Shivaratri, Karthika Masam, Navaratri",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Sri%20panchamukeswara%20medha%20dakshinamurty%20swamy%20temple%20Visakhapatnam,Timing needs local confirmation
Adinath Digambar Jain Mandir,4.6,59.0,Narayana St,Visakhapatnam,Andhra Pradesh,IN,,+91 70165 10010,Jain temple,,,https://www.google.com/maps/search/?api=1&query=Adinath%20Digambar%20Jain%20Mandir&query_place_id=ChIJUUlPux5DOToRqHPLWHd6hlg,Jain temple,07:00 AM,07:00 PM,"07:00 AM - 12:00 PM, 04:00 PM - 07:00 PM",Free,No special darshan fee,Free entry; modest dress required,₹100 - ₹300 per person,Lord Adinath (Rishabhdeva – First Jain Tirthankara),Prominent Digambar Jain temple in Visakhapatnam; peaceful and well-maintained,Modest clothing; white preferred,"Paryushana festival, early morning",Seasonal prasadam only,"Paryushana Parva, Mahavir Jayanti, Diwali",Available nearby,Restricted inside,Low to Medium,"Town centre, RK Beach (3 km), Submarine Museum",https://www.google.com/maps/search/?api=1&query=Adinath+Digambar+Jain+Mandir+Visakhapatnam,Estimated local temple details
Saibaba Temple,4.3,28.0,Krishana Garden,Visakhapatnam,Andhra Pradesh,IN,,+91 98491 76675,Hindu temple,,,https://www.google.com/maps/search/?api=1&query=Saibaba%20Temple&query_place_id=ChIJ9bw0hB9DOToRhhlztZN-EiI,Hindu temple,06:00 AM,08:30 PM,"06:00 AM - 12:00 PM, 04:00 PM - 08:30 PM | Afternoon break 12 PM – 4 PM",Free,₹50 archana; special poojas vary,Free temple entry,₹100 - ₹500 per person | ₹500 - ₹2000 during festivals,Shirdi Sai Baba,Devotional Sai Baba temple with regular bhajans,Traditional wear preferred; modest clothing required; footwear not allowed inside,"Thursdays, Guru Pournami, early morning",Available – udi (holy ash) prasadam; sweet prasadam,"Guru Pournami, Datta Jayanti, Ram Navami, Shirdi Urs",Limited street parking available,Allowed outside; restricted inside sanctum,Low to Medium,"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum",https://www.google.com/maps/search/?api=1&query=Saibaba%20Temple%20Visakhapatnam,Timing needs local confirmation
