trip_id,source_area,cafe_name,cafe_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
TRP00020,Steel Plant,Araku Valley Coffee,RTC Complex,8.6,29-34 mins,â‚¹80,â‚¹110,â‚¹140,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Steel Plant to Araku Valley Coffee in RTC Complex. Road distance approx 8.6 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00021,Scindia,Araku Valley Coffee,RTC Complex,7.4,25-30 mins,â‚¹70,â‚¹95,â‚¹125,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Scindia to Araku Valley Coffee in RTC Complex. Road distance approx 7.4 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00022,One Town,Araku Valley Coffee,RTC Complex,2.2,9-14 mins,â‚¹25,â‚¹30,â‚¹60,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from One Town to Araku Valley Coffee in RTC Complex. Road distance approx 2.2 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00023,Poorna Market,Araku Valley Coffee,RTC Complex,2,9-14 mins,â‚¹25,â‚¹30,â‚¹60,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Poorna Market to Araku Valley Coffee in RTC Complex. Road distance approx 2.0 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00024,RK Beach,Araku Valley Coffee,RTC Complex,7.2,31-36 mins,â‚¹65,â‚¹90,â‚¹125,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from RK Beach to Araku Valley Coffee in RTC Complex. Road distance approx 7.2 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00025,Rushikonda,Araku Valley Coffee,RTC Complex,18.9,63-68 mins,â‚¹160,â‚¹235,â‚¹285,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Rushikonda to Araku Valley Coffee in RTC Complex. Road distance approx 18.9 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
TRP00026,Lawson's Bay,Araku Valley Coffee,RTC Complex,11,37-42 mins,â‚¹95,â‚¹140,â‚¹175,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Lawson's Bay to Araku Valley Coffee in RTC Complex. Road distance approx 11.0 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00027,Hanumanthuwaka,Araku Valley Coffee,RTC Complex,3,10-15 mins,â‚¹35,â‚¹40,â‚¹65,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Hanumanthuwaka to Araku Valley Coffee in RTC Complex. Road distance approx 3.0 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00028,Arilova,Araku Valley Coffee,RTC Complex,5.2,17-22 mins,â‚¹50,â‚¹70,â‚¹95,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Arilova to Araku Valley Coffee in RTC Complex. Road distance approx 5.2 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00029,Beach Road,Araku Valley Coffee,RTC Complex,8.8,38-43 mins,â‚¹80,â‚¹110,â‚¹145,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Beach Road to Araku Valley Coffee in RTC Complex. Road distance approx 8.8 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00030,Kailasagiri,Araku Valley Coffee,RTC Complex,13.9,46-51 mins,â‚¹120,â‚¹175,â‚¹215,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","RTC Complex, Ambedkar Statue, Jail Road",Travel from Kailasagiri to Araku Valley Coffee in RTC Complex. Road distance approx 13.9 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00031,Gajuwaka,Pop Up Cafe & Restaurant,RK Beach,18.5,62-67 mins,â‚¹155,â‚¹230,â‚¹280,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Gajuwaka to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 18.5 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
TRP00032,Kommadi,Pop Up Cafe & Restaurant,RK Beach,10.9,36-41 mins,â‚¹95,â‚¹135,â‚¹175,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Kommadi to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 10.9 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00033,Madhurawada,Pop Up Cafe & Restaurant,RK Beach,9.1,30-35 mins,â‚¹80,â‚¹115,â‚¹150,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Madhurawada to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 9.1 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00034,PM Palem,Pop Up Cafe & Restaurant,RK Beach,7.8,26-31 mins,â‚¹70,â‚¹100,â‚¹130,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from PM Palem to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 7.8 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00035,MVP Colony,Pop Up Cafe & Restaurant,RK Beach,4.6,15-20 mins,â‚¹45,â‚¹60,â‚¹85,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from MVP Colony to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 4.6 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00036,Siripuram,Pop Up Cafe & Restaurant,RK Beach,3.6,15-20 mins,â‚¹40,â‚¹50,â‚¹70,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Siripuram to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 3.6 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00037,Dwaraka Nagar,Pop Up Cafe & Restaurant,RK Beach,2,9-14 mins,â‚¹25,â‚¹30,â‚¹60,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Dwaraka Nagar to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 2.0 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00038,Maddilapalem,Pop Up Cafe & Restaurant,RK Beach,4.8,16-21 mins,â‚¹45,â‚¹65,â‚¹90,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Maddilapalem to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 4.8 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00039,NAD Junction,Pop Up Cafe & Restaurant,RK Beach,10.1,34-39 mins,â‚¹90,â‚¹125,â‚¹165,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from NAD Junction to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 10.1 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00040,Seethammadhara,Pop Up Cafe & Restaurant,RK Beach,4.4,15-20 mins,â‚¹45,â‚¹60,â‚¹85,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Seethammadhara to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 4.4 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00041,Jagadamba,Pop Up Cafe & Restaurant,RK Beach,5.9,25-30 mins,â‚¹55,â‚¹75,â‚¹105,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Jagadamba to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 5.9 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00042,Asilmetta,Pop Up Cafe & Restaurant,RK Beach,4.7,20-25 mins,â‚¹45,â‚¹60,â‚¹90,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Asilmetta to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 4.7 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00043,Railway Station,Pop Up Cafe & Restaurant,RK Beach,6.4,27-32 mins,â‚¹60,â‚¹85,â‚¹110,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Railway Station to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 6.4 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00044,RTC Complex,Pop Up Cafe & Restaurant,RK Beach,7.2,31-36 mins,â‚¹65,â‚¹90,â‚¹125,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from RTC Complex to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 7.2 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00045,Airport,Pop Up Cafe & Restaurant,RK Beach,16.8,56-61 mins,â‚¹145,â‚¹210,â‚¹255,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Airport to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 16.8 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
TRP00046,Pendurthi,Pop Up Cafe & Restaurant,RK Beach,19.2,64-69 mins,â‚¹165,â‚¹235,â‚¹290,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Pendurthi to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 19.2 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
TRP00047,Gopalapatnam,Pop Up Cafe & Restaurant,RK Beach,11.9,40-45 mins,â‚¹105,â‚¹150,â‚¹190,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Gopalapatnam to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 11.9 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00048,Kurmannapalem,Pop Up Cafe & Restaurant,RK Beach,12.2,41-46 mins,â‚¹105,â‚¹150,â‚¹195,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Kurmannapalem to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 12.2 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00049,Auto Nagar,Pop Up Cafe & Restaurant,RK Beach,13.4,45-50 mins,â‚¹115,â‚¹165,â‚¹210,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Auto Nagar to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 13.4 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00050,Steel Plant,Pop Up Cafe & Restaurant,RK Beach,15.5,52-57 mins,â‚¹135,â‚¹190,â‚¹240,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Steel Plant to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 15.5 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
TRP00051,Scindia,Pop Up Cafe & Restaurant,RK Beach,2,8-13 mins,â‚¹25,â‚¹30,â‚¹60,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Scindia to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 2.0 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00052,One Town,Pop Up Cafe & Restaurant,RK Beach,5,21-26 mins,â‚¹50,â‚¹65,â‚¹90,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from One Town to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 5.0 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00053,Poorna Market,Pop Up Cafe & Restaurant,RK Beach,5.4,23-28 mins,â‚¹50,â‚¹70,â‚¹100,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Poorna Market to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 5.4 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00054,RK Beach,Pop Up Cafe & Restaurant,RK Beach,1.5,8-13 mins,â‚¹25,â‚¹30,â‚¹60,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from RK Beach to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 1.5 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00055,Rushikonda,Pop Up Cafe & Restaurant,RK Beach,12.3,41-46 mins,â‚¹105,â‚¹155,â‚¹195,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Rushikonda to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 12.3 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00056,Lawson's Bay,Pop Up Cafe & Restaurant,RK Beach,4.4,15-20 mins,â‚¹45,â‚¹60,â‚¹85,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Lawson's Bay to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 4.4 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00057,Hanumanthuwaka,Pop Up Cafe & Restaurant,RK Beach,9.4,31-36 mins,â‚¹85,â‚¹120,â‚¹155,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Hanumanthuwaka to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 9.4 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00058,Arilova,Pop Up Cafe & Restaurant,RK Beach,10.9,36-41 mins,â‚¹95,â‚¹135,â‚¹175,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Arilova to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 10.9 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00059,Beach Road,Pop Up Cafe & Restaurant,RK Beach,2,9-14 mins,â‚¹25,â‚¹30,â‚¹60,High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Beach Road to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 2.0 km with high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00060,Kailasagiri,Pop Up Cafe & Restaurant,RK Beach,7.2,24-29 mins,â‚¹65,â‚¹90,â‚¹125,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Novotel Hotel, Gokul Park, Beach Road",Travel from Kailasagiri to Pop Up Cafe & Restaurant in RK Beach. Road distance approx 7.2 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
TRP00061,Gajuwaka,Coffee Beans Cafe,Dwaraka Nagar,17.2,57-62 mins,â‚¹145,â‚¹210,â‚¹265,Moderate-High,Cab,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Dwaraka Nagar Circle, VIP Road",Travel from Gajuwaka to Coffee Beans Cafe in Dwaraka Nagar. Road distance approx 17.2 km with moderate-high traffic. Cab recommended for this route in Visakhapatnam.
TRP00062,Kommadi,Coffee Beans Cafe,Dwaraka Nagar,11.3,38-43 mins,â‚¹100,â‚¹140,â‚¹180,Moderate-High,Rapido Bike,"08:30-10:30 AM, 05:30-08:00 PM","11:30 AM-04:00 PM, After 09:00 PM","Dwaraka Nagar Circle, VIP Road",Travel from Kommadi to Coffee Beans Cafe in Dwaraka Nagar. Road distance approx 11.3 km with moderate-high traffic. Rapido Bike recommended for this route in Visakhapatnam.
