trip_id,source_area,hospital_name,hospital_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,emergency_fastest_option,description
11,Gajuwaka,Lotus Hospitals Women & Children,Siripuram,11.0,26-38 min,Rs 164,Rs 220,Rs 193,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min,21-38 min,"Siripuram Junction, Near CBM Compound",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Lotus Hospitals Women & Children in Siripuram, Visakhapatnam. Distance approx 11.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
12,Gajuwaka,Giggles by Omni Hospitals,Siripuram,10.8,25-37 min,Rs 161,Rs 216,Rs 190,Moderate to High,Rapido Bike or Auto (cost effective),35-50 min,20-37 min,Near Siripuram Flyover,Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Giggles by Omni Hospitals in Siripuram, Visakhapatnam. Distance approx 10.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
13,Gajuwaka,Rise Hospital,Gajuwaka,0.0,7-12 min,Rs 30,Rs 40,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Gajuwaka Junction, Near RTO Office",Rapido Bike (fastest in traffic),"Travel from Gajuwaka to Rise Hospital in Gajuwaka, Visakhapatnam. Distance approx 0.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
14,Gajuwaka,Tirumala Vijaya Hospital,MVP Colony,13.9,33-45 min,Rs 204,Rs 278,Rs 230,Moderate to High,Rapido Bike or Auto (cost effective),43-58 min,28-45 min,"MVP Colony Sector 7, Near Big Bazaar MVP",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Tirumala Vijaya Hospital in MVP Colony, Visakhapatnam. Distance approx 13.9 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
15,Gajuwaka,Vedanta Women & Children Hospital,Dwaraka Nagar,11.6,27-39 min,Rs 172,Rs 232,Rs 200,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,"Dwaraka Nagar 5th Division, Near CB Rao School",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Vedanta Women & Children Hospital in Dwaraka Nagar, Visakhapatnam. Distance approx 11.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
16,Gajuwaka,Maxivision Eye Hospitals,Siripuram,11.1,26-38 min,Rs 165,Rs 222,Rs 194,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min,21-38 min,"Siripuram, Near Andhra Bank Main Branch",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Maxivision Eye Hospitals in Siripuram, Visakhapatnam. Distance approx 11.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
17,Gajuwaka,Sankar Foundation Eye Hospital,Peda Waltair,13.1,31-43 min,Rs 193,Rs 262,Rs 220,Moderate to High,Rapido Bike or Auto (cost effective),41-56 min,26-43 min,"Peda Waltair, Near Andhra University",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Sankar Foundation Eye Hospital in Peda Waltair, Visakhapatnam. Distance approx 13.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
18,Gajuwaka,Motherly Women & Children Hospital,Kommadi,19.1,45-65 min,Rs 277,Rs 382,Rs 298,High,Rapido Bike or Auto (cost effective),55-70 min,40-65 min,"Kommadi Road, Near Madhurawada",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Motherly Women & Children Hospital in Kommadi, Visakhapatnam. Distance approx 19.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
19,Gajuwaka,Satyadev Multispeciality Hospital,Madhurawada,20.0,48-68 min,Rs 290,Rs 400,Rs 310,High,Rapido Bike or Auto (cost effective),58-73 min,43-68 min,"Madhurawada Main Road, Near Kommadi Junction",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Satyadev Multispeciality Hospital in Madhurawada, Visakhapatnam. Distance approx 20.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
20,Gajuwaka,Shiva Shakthi Hospital Madhurawada,Madhurawada,19.4,46-66 min,Rs 281,Rs 388,Rs 302,High,Rapido Bike or Auto (cost effective),56-71 min,41-66 min,"Madhurawada, Near Infosys Campus",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Shiva Shakthi Hospital Madhurawada in Madhurawada, Visakhapatnam. Distance approx 19.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
21,Gajuwaka,Sunrise Women & Children Madhurawada,Madhurawada,19.2,46-66 min,Rs 278,Rs 384,Rs 299,High,Rapido Bike or Auto (cost effective),56-71 min,41-66 min,"Madhurawada Main Road, Near Apollo Pharmacy",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Sunrise Women & Children Madhurawada in Madhurawada, Visakhapatnam. Distance approx 19.2 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
22,Gajuwaka,Usha Prime Multispeciality Hospital,Madhavadhara,9.1,21-33 min,Rs 137,Rs 182,Rs 168,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min,16-33 min,"Madhavadhara Road, Near Auto Nagar",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Usha Prime Multispeciality Hospital in Madhavadhara, Visakhapatnam. Distance approx 9.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
23,Gajuwaka,Asian Institute Nephrology Urology,Siripuram,11.0,26-38 min,Rs 164,Rs 220,Rs 193,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min,21-38 min,"Siripuram, Opposite Kalyan Jewellers",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Asian Institute Nephrology Urology in Siripuram, Visakhapatnam. Distance approx 11.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
24,Gajuwaka,GITAM Hospital,Rushikonda,18.4,44-64 min,Rs 267,Rs 368,Rs 289,High,Rapido Bike or Auto (cost effective),54-69 min,39-64 min,"GITAM Campus, Rushikonda",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to GITAM Hospital in Rushikonda, Visakhapatnam. Distance approx 18.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
25,Gajuwaka,Anil Neerukonda Hospital,Bheemunipatnam,33.0,79-99 min,Rs 472,Rs 660,Rs 479,High,Rapido Bike or Auto (cost effective),89-104 min,74-99 min,"Tagurapuvalasa, Bheemunipatnam Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Anil Neerukonda Hospital in Bheemunipatnam, Visakhapatnam. Distance approx 33.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
26,Gajuwaka,NRI Institute of Medical Sciences,Bheemunipatnam,33.0,79-99 min,Rs 472,Rs 660,Rs 479,High,Rapido Bike or Auto (cost effective),89-104 min,74-99 min,"Sangivalasa, Bheemunipatnam Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to NRI Institute of Medical Sciences in Bheemunipatnam, Visakhapatnam. Distance approx 33.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
27,Gajuwaka,HCG Cancer Hospital Visakhapatnam,Dwaraka Nagar,11.6,27-39 min,Rs 172,Rs 232,Rs 200,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,"Chinnagadili, Dwaraka Nagar",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to HCG Cancer Hospital Visakhapatnam in Dwaraka Nagar, Visakhapatnam. Distance approx 11.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
28,Gajuwaka,Homi Bhabha Cancer Hospital,Aganampudi,8.5,20-32 min,Rs 129,Rs 170,Rs 160,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min,15-32 min,"Near Aganampudi, Steel Plant Area",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Homi Bhabha Cancer Hospital in Aganampudi, Visakhapatnam. Distance approx 8.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
29,Gajuwaka,Behara Hospital,Siripuram,11.0,26-38 min,Rs 164,Rs 220,Rs 193,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min,21-38 min,"Siripuram, Near Income Tax Office",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Behara Hospital in Siripuram, Visakhapatnam. Distance approx 11.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
30,Gajuwaka,Andhra Hospitals Visakhapatnam,Dwaraka Nagar,11.5,27-39 min,Rs 171,Rs 230,Rs 199,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,Dwaraka Nagar 1st Lane,Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Andhra Hospitals Visakhapatnam in Dwaraka Nagar, Visakhapatnam. Distance approx 11.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
31,Gajuwaka,Medicover Women & Child Hospital,MVP Colony,13.8,33-45 min,Rs 203,Rs 276,Rs 229,Moderate to High,Rapido Bike or Auto (cost effective),43-58 min,28-45 min,"MVP Colony, Near Sector 5",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Medicover Women & Child Hospital in MVP Colony, Visakhapatnam. Distance approx 13.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
32,Gajuwaka,Omega Cancer Hospital,Waltair Main Road,12.7,30-42 min,Rs 187,Rs 254,Rs 215,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min,25-42 min,"Near Waltair Main Road, Opp YMCA",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Omega Cancer Hospital in Waltair Main Road, Visakhapatnam. Distance approx 12.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
33,Gajuwaka,RK Hospital Gajuwaka,Gajuwaka,0.3,7-12 min,Rs 30,Rs 40,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Gajuwaka BC Road, Near Post Office",Rapido Bike (fastest in traffic),"Travel from Gajuwaka to RK Hospital Gajuwaka in Gajuwaka, Visakhapatnam. Distance approx 0.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
34,Gajuwaka,Kala Hospital Vizag,Madhavadhara,9.0,21-33 min,Rs 136,Rs 180,Rs 167,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min,16-33 min,47-1-104 Dwaraka Nagar Area,Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Kala Hospital Vizag in Madhavadhara, Visakhapatnam. Distance approx 9.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
35,Gajuwaka,NAD Hospital Gopalapatnam,NAD Junction,9.4,22-34 min,Rs 141,Rs 188,Rs 172,Moderate to High,Rapido Bike or Auto (cost effective),32-47 min,17-34 min,"NAD Junction, Gopalapatnam Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to NAD Hospital Gopalapatnam in NAD Junction, Visakhapatnam. Distance approx 9.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
36,Gajuwaka,Pavan Sai Hospital,PM Palem,21.3,51-71 min,Rs 308,Rs 426,Rs 326,High,Rapido Bike or Auto (cost effective),61-76 min,46-71 min,"PM Palem, Near Bheemunipatnam Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Pavan Sai Hospital in PM Palem, Visakhapatnam. Distance approx 21.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
37,Gajuwaka,Keerthana Hospital,Gopalapatnam,11.5,27-39 min,Rs 171,Rs 230,Rs 199,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,"Gopalapatnam Main Road, Near BSNL",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Keerthana Hospital in Gopalapatnam, Visakhapatnam. Distance approx 11.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
38,Gajuwaka,Tirumala Jyoti Hospital,Pendurthi,16.5,39-59 min,Rs 241,Rs 330,Rs 264,High,Rapido Bike or Auto (cost effective),49-64 min,34-59 min,"Pendurthi Main Road, Near Bus Stand",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Tirumala Jyoti Hospital in Pendurthi, Visakhapatnam. Distance approx 16.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
39,Gajuwaka,Lakshmi Hospital Pendurthi,Pendurthi,16.5,39-59 min,Rs 241,Rs 330,Rs 264,High,Rapido Bike or Auto (cost effective),49-64 min,34-59 min,"Pendurthi, Near Police Station",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Lakshmi Hospital Pendurthi in Pendurthi, Visakhapatnam. Distance approx 16.5 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
40,Gajuwaka,Govt ENT Hospital Vizag,One Town,8.6,20-32 min,Rs 130,Rs 172,Rs 161,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min,15-32 min,"Near King George Hospital, One Town",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Govt ENT Hospital Vizag in One Town, Visakhapatnam. Distance approx 8.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
41,Gajuwaka,Visakha Eye Hospital,Peda Waltair,12.9,30-42 min,Rs 190,Rs 258,Rs 217,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min,25-42 min,"Waltair Main Road, Peda Waltair",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Visakha Eye Hospital in Peda Waltair, Visakhapatnam. Distance approx 12.9 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
42,Gajuwaka,Dr Benerje's Medikon Hospital,MVP Colony,13.9,33-45 min,Rs 204,Rs 278,Rs 230,Moderate to High,Rapido Bike or Auto (cost effective),43-58 min,28-45 min,MVP Colony Sector 7,Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Dr Benerje's Medikon Hospital in MVP Colony, Visakhapatnam. Distance approx 13.9 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
43,Gajuwaka,ECHS Polyclinic Visakhapatnam,Mulagada,8.9,21-33 min,Rs 134,Rs 178,Rs 165,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min,16-33 min,"Mulagada, Near Steel Plant Area",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to ECHS Polyclinic Visakhapatnam in Mulagada, Visakhapatnam. Distance approx 8.9 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
44,Gajuwaka,Sanjivani Hospital,NAD Junction,9.4,22-34 min,Rs 141,Rs 188,Rs 172,Moderate to High,Rapido Bike or Auto (cost effective),32-47 min,17-34 min,"NAD Junction, Near Gopalapatnam",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Sanjivani Hospital in NAD Junction, Visakhapatnam. Distance approx 9.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
45,Gajuwaka,GJ Hospitals & Trauma Centre,Maddilapalem,12.7,30-42 min,Rs 187,Rs 254,Rs 215,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min,25-42 min,"Maddilapalem, Near Railway Quarters",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to GJ Hospitals & Trauma Centre in Maddilapalem, Visakhapatnam. Distance approx 12.7 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
46,Gajuwaka,A Plus Hospitals,MVP Colony,13.8,33-45 min,Rs 203,Rs 276,Rs 229,Moderate to High,Rapido Bike or Auto (cost effective),43-58 min,28-45 min,"MVP Colony, Near Sector 9 Junction",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to A Plus Hospitals in MVP Colony, Visakhapatnam. Distance approx 13.8 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
47,Gajuwaka,Amma Hospital,Srinagar,10.0,24-36 min,Rs 150,Rs 200,Rs 180,Moderate to High,Rapido Bike or Auto (cost effective),34-49 min,19-36 min,Near RTC Complex Area,Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Amma Hospital in Srinagar, Visakhapatnam. Distance approx 10.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
48,Gajuwaka,Sri Vivekananda Hospital,Kurmannapalem,10.4,24-36 min,Rs 155,Rs 208,Rs 185,Moderate to High,Rapido Bike or Auto (cost effective),34-49 min,19-36 min,"Kurmannapalem, Near Auto Nagar",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Sri Vivekananda Hospital in Kurmannapalem, Visakhapatnam. Distance approx 10.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
49,Gajuwaka,Apoorva Hospital,Dwaraka Nagar,11.6,27-39 min,Rs 172,Rs 232,Rs 200,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,Dwaraka Nagar 3rd Division,Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Apoorva Hospital in Dwaraka Nagar, Visakhapatnam. Distance approx 11.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
50,Gajuwaka,Simhagiri Hospital,Pendurthi,16.4,39-59 min,Rs 239,Rs 328,Rs 263,High,Rapido Bike or Auto (cost effective),49-64 min,34-59 min,"Pendurthi, Near Gopalapatnam Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Simhagiri Hospital in Pendurthi, Visakhapatnam. Distance approx 16.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
51,Gajuwaka,Ariya Hospital,Gopalapatnam,11.6,27-39 min,Rs 172,Rs 232,Rs 200,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,"Gopalapatnam Circle, Near Fish Market",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Ariya Hospital in Gopalapatnam, Visakhapatnam. Distance approx 11.6 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
52,Gajuwaka,Mother & Child Hospital,Kommadi,19.0,45-65 min,Rs 276,Rs 380,Rs 297,High,Rapido Bike or Auto (cost effective),55-70 min,40-65 min,"Kommadi Junction, Madhurawada Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Mother & Child Hospital in Kommadi, Visakhapatnam. Distance approx 19.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
53,Gajuwaka,Varma Hospitals,Siripuram,11.0,26-38 min,Rs 164,Rs 220,Rs 193,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min,21-38 min,"Siripuram, Near Jagadamba",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Varma Hospitals in Siripuram, Visakhapatnam. Distance approx 11.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
54,Gajuwaka,Sai Spoorthy Hospital,Gajuwaka,0.1,7-12 min,Rs 30,Rs 40,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Gajuwaka, Near Ukkunagaram",Rapido Bike (fastest in traffic),"Travel from Gajuwaka to Sai Spoorthy Hospital in Gajuwaka, Visakhapatnam. Distance approx 0.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
55,Gajuwaka,Q1 Hospitals,PM Palem,21.4,51-71 min,Rs 309,Rs 428,Rs 328,High,Rapido Bike or Auto (cost effective),61-76 min,46-71 min,"PM Palem, Near Bheemunipatnam Road",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Q1 Hospitals in PM Palem, Visakhapatnam. Distance approx 21.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
56,Gajuwaka,INHS Kalyani Naval Hospital,Steel Plant Area,2.9,7-12 min,Rs 50,Rs 58,Rs 87,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Naval Base Area, Near Steel Plant",Rapido Bike (fastest in traffic),"Travel from Gajuwaka to INHS Kalyani Naval Hospital in Steel Plant Area, Visakhapatnam. Distance approx 2.9 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
57,Gajuwaka,Damayanthi Hospitals,NAD Junction,9.3,22-34 min,Rs 140,Rs 186,Rs 170,Moderate to High,Rapido Bike or Auto (cost effective),32-47 min,17-34 min,"NAD Junction, Near Gopalapatnam",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Damayanthi Hospitals in NAD Junction, Visakhapatnam. Distance approx 9.3 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
58,Gajuwaka,Vijayasri Hospital,Auto Nagar,8.0,19-27 min,Rs 122,Rs 160,Rs 154,Moderate,Rapido Bike (good balance of speed and cost),29-44 min,14-27 min,"Auto Nagar, Near Industrial Area",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Vijayasri Hospital in Auto Nagar, Visakhapatnam. Distance approx 8.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
59,Gajuwaka,Mahanthi Hospital,Gajuwaka,0.0,7-12 min,Rs 30,Rs 40,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,"Gajuwaka, Near Kommuri Center",Rapido Bike (fastest in traffic),"Travel from Gajuwaka to Mahanthi Hospital in Gajuwaka, Visakhapatnam. Distance approx 0.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
60,Gajuwaka,MGR Hospital,Gajuwaka,0.1,7-12 min,Rs 30,Rs 40,Rs 80,Low,"Rapido Bike (fastest, cheapest for short distance)",17-32 min,5-12 min,Gajuwaka BC Road,Rapido Bike (fastest in traffic),"Travel from Gajuwaka to MGR Hospital in Gajuwaka, Visakhapatnam. Distance approx 0.1 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
61,Gajuwaka,Pearl Vision Eye Hospital,MVP Colony,14.0,33-45 min,Rs 206,Rs 280,Rs 232,Moderate to High,Rapido Bike or Auto (cost effective),43-58 min,28-45 min,"MVP Colony Sector 7, Near Temple",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Pearl Vision Eye Hospital in MVP Colony, Visakhapatnam. Distance approx 14.0 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
62,Gajuwaka,LG Hospitals,Scindia,5.2,12-20 min,Rs 82,Rs 104,Rs 117,Moderate,Rapido Bike (good balance of speed and cost),22-37 min,7-20 min,"Scindia, Near BHEL Colony",Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to LG Hospitals in Scindia, Visakhapatnam. Distance approx 5.2 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
63,Gajuwaka,Sree Sivani Multispeciality Hospital,Gopalapatnam,11.4,27-39 min,Rs 169,Rs 228,Rs 198,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min,22-39 min,Gopalapatnam Main Road,Rapido Bike or Cab (quickest door-to-door),"Travel from Gajuwaka to Sree Sivani Multispeciality Hospital in Gopalapatnam, Visakhapatnam. Distance approx 11.4 km. Rapido bike is fastest for emergencies. Auto and cab available throughout the day."
