route_id,source_area,cafe_name,cafe_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,tourist_friendly,description
RTE00019,Auto Nagar,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,28V/28G/28C/400,City Ordinary/Express,"Auto Nagar, Gajuwaka Jn, Steel Plant Gate, NAD Jn, Gopalapatnam, RTC Complex",18,45-55 mins,â‚¹25,5:00 AM,10:30 PM,10,0.4,Yes,"APSRTC city express from Gajuwaka via Steel Plant, NAD Junction to city center. Frequent service."
RTE00020,Steel Plant,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,28V/28G/28C/400,City Ordinary/Express,"Gajuwaka Jn, Steel Plant Gate, NAD Jn, Gopalapatnam, RTC Complex",18,45-55 mins,â‚¹25,5:00 AM,10:30 PM,10,0.4,Yes,"APSRTC city express from Gajuwaka via Steel Plant, NAD Junction to city center. Frequent service."
RTE00021,Scindia,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,28V/28G/28C/400,City Ordinary/Express,"Scindia, Gajuwaka Jn, Steel Plant Gate, NAD Jn, Gopalapatnam, RTC Complex",18,45-55 mins,â‚¹25,5:00 AM,10:30 PM,10,0.4,Yes,"APSRTC city express from Gajuwaka via Steel Plant, NAD Junction to city center. Frequent service."
RTE00022,One Town,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300/300C/301/28,City Ordinary,"One Town, RTC Complex, Jagadamba, Siripuram, Asilmetta",4,15-20 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,Frequent city bus within central Vizag area. Easy connectivity between major junctions.
RTE00023,Poorna Market,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300/300C/301/28,City Ordinary,"Poorna Market, RTC Complex, Jagadamba, Siripuram, Asilmetta",4,15-20 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,Frequent city bus within central Vizag area. Easy connectivity between major junctions.
RTE00024,RK Beach,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300/999/28B,City Ordinary,"RK Beach, Siripuram, Jagadamba, RTC Complex",7,20-25 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC bus from RK Beach/Beach Road to city center.
RTE00025,Rushikonda,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,99/99E/217/300,City Ordinary/Express,"Rushikonda/Madhurawada, Beach Road, Lawson's Bay, Siripuram, Jagadamba, RTC Complex",20,50-60 mins,â‚¹25,5:30 AM,10:00 PM,20,0.4,Yes,APSRTC city bus from northern coastal suburbs via Beach Road to city center.
RTE00026,Lawson's Bay,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300/999/28B,City Ordinary,"Lawson's Bay, RK Beach, Siripuram, Jagadamba, RTC Complex",7,20-25 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC bus from RK Beach/Beach Road to city center.
RTE00027,Hanumanthuwaka,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,28V/28G/28C/400,City Ordinary/Express,"Hanumanthuwaka, Gajuwaka Jn, Steel Plant Gate, NAD Jn, Gopalapatnam, RTC Complex",18,45-55 mins,â‚¹25,5:00 AM,10:30 PM,10,0.4,Yes,"APSRTC city express from Gajuwaka via Steel Plant, NAD Junction to city center. Frequent service."
RTE00028,Arilova,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,52/52V/52C/500,City Ordinary,"Arilova, PM Palem/NAD Jn, Gopalapatnam, Old Town, RTC Complex, Jagadamba",16,40-50 mins,â‚¹20,5:00 AM,10:30 PM,15,0.4,Yes,APSRTC city bus from PM Palem/NAD area through Old Town to city center.
RTE00029,Beach Road,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,300/999/28B,City Ordinary,"Beach Road, RK Beach, Siripuram, Jagadamba, RTC Complex",7,20-25 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC bus from RK Beach/Beach Road to city center.
RTE00030,Kailasagiri,Araku Valley Coffee,RTC Complex,RTC Complex Bus Stop,99/99E/217/300,City Ordinary/Express,"Kailasagiri, Rushikonda/Madhurawada, Beach Road, Lawson's Bay, Siripuram, Jagadamba, RTC Complex",20,50-60 mins,â‚¹25,5:30 AM,10:00 PM,20,0.4,Yes,APSRTC city bus from northern coastal suburbs via Beach Road to city center.
RTE00031,Gajuwaka,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,28V/28C/999/Beach Special,City Ordinary,"Gajuwaka, NAD Jn, RTC Complex, Jagadamba, RK Beach",22,55-65 mins,â‚¹30,5:00 AM,10:00 PM,15,0.3,Yes,APSRTC city bus from Gajuwaka area through city center to Beach Road. Tourist-friendly route.
RTE00032,Kommadi,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,99/217/Beach Special,City Ordinary,"Madhurawada/Kommadi, Bheemunipatnam Road, Lawson's Bay, Beach Road, RK Beach",15,35-45 mins,â‚¹20,5:30 AM,10:30 PM,20,0.3,Yes,Scenic coastal bus route from northern suburbs along Beach Road to RK Beach.
RTE00033,Madhurawada,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,99/217/Beach Special,City Ordinary,"Madhurawada/Kommadi, Bheemunipatnam Road, Lawson's Bay, Beach Road, RK Beach",15,35-45 mins,â‚¹20,5:30 AM,10:30 PM,20,0.3,Yes,Scenic coastal bus route from northern suburbs along Beach Road to RK Beach.
RTE00034,PM Palem,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,52V/999/Beach Special,City Ordinary,"PM Palem, NAD Jn, Old Town, RTC Complex, Jagadamba, RK Beach",22,55-65 mins,â‚¹25,5:00 AM,10:00 PM,20,0.3,Yes,Bus from PM Palem/NAD area via city center to RK Beach.
RTE00035,MVP Colony,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300/999/28B,City Ordinary,"MVP Colony, Dwaraka Nagar/Seethammadhara, Siripuram, Waltair, RK Beach",9,25-30 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,City bus from north Vizag residential areas to RK Beach.
RTE00036,Siripuram,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300/999/Beach Special/28B,City Ordinary,"RTC Complex/Jagadamba, Siripuram, Waltair, RK Beach",7,20-25 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC city bus from central Vizag to RK Beach. Popular tourist route.
RTE00037,Dwaraka Nagar,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300/999/28B,City Ordinary,"Dwaraka Nagar/Seethammadhara, Siripuram, Waltair, RK Beach",9,25-30 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,City bus from north Vizag residential areas to RK Beach.
RTE00038,Maddilapalem,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300/999/28B,City Ordinary,"Maddilapalem, Dwaraka Nagar/Seethammadhara, Siripuram, Waltair, RK Beach",9,25-30 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,City bus from north Vizag residential areas to RK Beach.
RTE00039,NAD Junction,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,52V/999/Beach Special,City Ordinary,"NAD Junction, PM Palem, NAD Jn, Old Town, RTC Complex, Jagadamba, RK Beach",22,55-65 mins,â‚¹25,5:00 AM,10:00 PM,20,0.3,Yes,Bus from PM Palem/NAD area via city center to RK Beach.
RTE00040,Seethammadhara,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300/999/28B,City Ordinary,"Dwaraka Nagar/Seethammadhara, Siripuram, Waltair, RK Beach",9,25-30 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,City bus from north Vizag residential areas to RK Beach.
RTE00041,Jagadamba,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300/999/Beach Special/28B,City Ordinary,"RTC Complex/Jagadamba, Siripuram, Waltair, RK Beach",7,20-25 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC city bus from central Vizag to RK Beach. Popular tourist route.
RTE00042,Asilmetta,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300/999/Beach Special/28B,City Ordinary,"Asilmetta, RTC Complex/Jagadamba, Siripuram, Waltair, RK Beach",7,20-25 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC city bus from central Vizag to RK Beach. Popular tourist route.
RTE00043,Railway Station,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300/999/Beach Special/28B,City Ordinary,"Railway Station, RTC Complex/Jagadamba, Siripuram, Waltair, RK Beach",7,20-25 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC city bus from central Vizag to RK Beach. Popular tourist route.
RTE00044,RTC Complex,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300/999/Beach Special/28B,City Ordinary,"RTC Complex/Jagadamba, Siripuram, Waltair, RK Beach",7,20-25 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC city bus from central Vizag to RK Beach. Popular tourist route.
RTE00045,Airport,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,38A/99/Airport Special,Semi-Deluxe,"Airport, Bheemunipatnam Road, Rushikonda, Beach Road, RK Beach",28,60-70 mins,â‚¹40,5:00 AM,9:00 PM,30,0.4,Yes,Airport bus via coastal route to RK Beach. Great option for tourists.
RTE00046,Pendurthi,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,99/217/Beach Special,City Ordinary,"Pendurthi, Madhurawada/Kommadi, Bheemunipatnam Road, Lawson's Bay, Beach Road, RK Beach",15,35-45 mins,â‚¹20,5:30 AM,10:30 PM,20,0.3,Yes,Scenic coastal bus route from northern suburbs along Beach Road to RK Beach.
RTE00047,Gopalapatnam,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,99/217/Beach Special,City Ordinary,"Gopalapatnam, Madhurawada/Kommadi, Bheemunipatnam Road, Lawson's Bay, Beach Road, RK Beach",15,35-45 mins,â‚¹20,5:30 AM,10:30 PM,20,0.3,Yes,Scenic coastal bus route from northern suburbs along Beach Road to RK Beach.
RTE00048,Kurmannapalem,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,28V/28C/999/Beach Special,City Ordinary,"Kurmannapalem, Gajuwaka, NAD Jn, RTC Complex, Jagadamba, RK Beach",22,55-65 mins,â‚¹30,5:00 AM,10:00 PM,15,0.3,Yes,APSRTC city bus from Gajuwaka area through city center to Beach Road. Tourist-friendly route.
RTE00049,Auto Nagar,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,28V/28C/999/Beach Special,City Ordinary,"Auto Nagar, Gajuwaka, NAD Jn, RTC Complex, Jagadamba, RK Beach",22,55-65 mins,â‚¹30,5:00 AM,10:00 PM,15,0.3,Yes,APSRTC city bus from Gajuwaka area through city center to Beach Road. Tourist-friendly route.
RTE00050,Steel Plant,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,28V/28C/999/Beach Special,City Ordinary,"Steel Plant, Gajuwaka, NAD Jn, RTC Complex, Jagadamba, RK Beach",22,55-65 mins,â‚¹30,5:00 AM,10:00 PM,15,0.3,Yes,APSRTC city bus from Gajuwaka area through city center to Beach Road. Tourist-friendly route.
RTE00051,Scindia,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,28V/28C/999/Beach Special,City Ordinary,"Scindia, Gajuwaka, NAD Jn, RTC Complex, Jagadamba, RK Beach",22,55-65 mins,â‚¹30,5:00 AM,10:00 PM,15,0.3,Yes,APSRTC city bus from Gajuwaka area through city center to Beach Road. Tourist-friendly route.
RTE00052,One Town,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300/999/Beach Special/28B,City Ordinary,"One Town, RTC Complex/Jagadamba, Siripuram, Waltair, RK Beach",7,20-25 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC city bus from central Vizag to RK Beach. Popular tourist route.
RTE00053,Poorna Market,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300/999/Beach Special/28B,City Ordinary,"Poorna Market, RTC Complex/Jagadamba, Siripuram, Waltair, RK Beach",7,20-25 mins,â‚¹15,5:00 AM,11:00 PM,10,0.3,Yes,Frequent APSRTC city bus from central Vizag to RK Beach. Popular tourist route.
RTE00054,RK Beach,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300C/301,City Ordinary,Local stops within RK Beach,1.5,10-15 mins,â‚¹10,5:30 AM,10:00 PM,15,0.2,Yes,Local city bus from RK Beach to Gokul Park Bus Stop. Short route within same area.
RTE00055,Rushikonda,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,99/217/Beach Special,City Ordinary,"Rushikonda, Madhurawada/Kommadi, Bheemunipatnam Road, Lawson's Bay, Beach Road, RK Beach",15,35-45 mins,â‚¹20,5:30 AM,10:30 PM,20,0.3,Yes,Scenic coastal bus route from northern suburbs along Beach Road to RK Beach.
RTE00056,Lawson's Bay,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300/28B/Beach Special,City Ordinary,"RK Beach, Waltair, Lawson's Bay, Beach Road",3,12-15 mins,â‚¹10,5:00 AM,11:00 PM,10,0.2,Yes,Local city bus along Beach Road connecting RK Beach and surrounding areas.
RTE00057,Hanumanthuwaka,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,28V/28C/999/Beach Special,City Ordinary,"Hanumanthuwaka, Gajuwaka, NAD Jn, RTC Complex, Jagadamba, RK Beach",22,55-65 mins,â‚¹30,5:00 AM,10:00 PM,15,0.3,Yes,APSRTC city bus from Gajuwaka area through city center to Beach Road. Tourist-friendly route.
RTE00058,Arilova,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,52V/999/Beach Special,City Ordinary,"Arilova, PM Palem, NAD Jn, Old Town, RTC Complex, Jagadamba, RK Beach",22,55-65 mins,â‚¹25,5:00 AM,10:00 PM,20,0.3,Yes,Bus from PM Palem/NAD area via city center to RK Beach.
RTE00059,Beach Road,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,300/28B/Beach Special,City Ordinary,"RK Beach, Waltair, Lawson's Bay, Beach Road",3,12-15 mins,â‚¹10,5:00 AM,11:00 PM,10,0.2,Yes,Local city bus along Beach Road connecting RK Beach and surrounding areas.
RTE00060,Kailasagiri,Pop Up Cafe & Restaurant,RK Beach,Gokul Park Bus Stop,99/217/Beach Special,City Ordinary,"Kailasagiri, Madhurawada/Kommadi, Bheemunipatnam Road, Lawson's Bay, Beach Road, RK Beach",15,35-45 mins,â‚¹20,5:30 AM,10:30 PM,20,0.3,Yes,Scenic coastal bus route from northern suburbs along Beach Road to RK Beach.
RTE00061,Gajuwaka,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,28V/52V/400/450,City Ordinary/Semi-Deluxe,"Gajuwaka, Steel Plant, NAD Jn, RTC Complex, Jagadamba, Dwaraka Nagar",24,60-70 mins,â‚¹30,5:00 AM,10:00 PM,15,0.4,Yes,APSRTC city bus from southern industrial zone through city to northern residential areas.
RTE00062,Kommadi,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,217/218/500,City Ordinary,"Kommadi, Madhurawada, Yendada, MVP Colony, Seethammadhara, Dwaraka Nagar",14,35-45 mins,â‚¹20,5:30 AM,10:00 PM,20,0.3,Yes,Local bus from northern coastal suburbs to north city residential areas.
RTE00063,Madhurawada,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,217/218/500,City Ordinary,"Kommadi, Madhurawada, Yendada, MVP Colony, Seethammadhara, Dwaraka Nagar",14,35-45 mins,â‚¹20,5:30 AM,10:00 PM,20,0.3,Yes,Local bus from northern coastal suburbs to north city residential areas.
RTE00064,PM Palem,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,52V/500/55,City Ordinary,"NAD Jn, PM Palem, Gopalapatnam, Old Town, RTC Complex, Dwaraka Nagar",20,50-60 mins,â‚¹25,5:00 AM,10:00 PM,20,0.4,Yes,City bus from NAD/PM Palem area to north Vizag residential zones.
RTE00065,MVP Colony,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,300C/52D/500,City Ordinary,"Dwaraka Nagar, Seethammadhara, MVP Colony, Maddilapalem",3,12-18 mins,â‚¹10,5:00 AM,11:00 PM,10,0.2,Yes,Local bus within north Vizag residential zones.
RTE00066,Siripuram,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,300/52D/400D/450,City Ordinary/Semi-Deluxe,"RTC Complex, Jagadamba, Siripuram, Dwaraka Nagar",6,18-25 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,City bus from central areas to north Vizag residential zones.
RTE00067,Dwaraka Nagar,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,300C/301,City Ordinary,Local stops within Dwaraka Nagar,1.5,10-15 mins,â‚¹10,5:30 AM,10:00 PM,15,0.2,Yes,Local city bus from Dwaraka Nagar to Dwaraka Nagar Bus Stop. Short route within same area.
RTE00068,Maddilapalem,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,300C/52D/500,City Ordinary,"Dwaraka Nagar, Seethammadhara, MVP Colony, Maddilapalem",3,12-18 mins,â‚¹10,5:00 AM,11:00 PM,10,0.2,Yes,Local bus within north Vizag residential zones.
RTE00069,NAD Junction,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,52V/500/55,City Ordinary,"NAD Junction, NAD Jn, PM Palem, Gopalapatnam, Old Town, RTC Complex, Dwaraka Nagar",20,50-60 mins,â‚¹25,5:00 AM,10:00 PM,20,0.4,Yes,City bus from NAD/PM Palem area to north Vizag residential zones.
RTE00070,Seethammadhara,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,300C/52D/500,City Ordinary,"Dwaraka Nagar, Seethammadhara, MVP Colony, Maddilapalem",3,12-18 mins,â‚¹10,5:00 AM,11:00 PM,10,0.2,Yes,Local bus within north Vizag residential zones.
RTE00071,Jagadamba,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,300/52D/400D/450,City Ordinary/Semi-Deluxe,"RTC Complex, Jagadamba, Siripuram, Dwaraka Nagar",6,18-25 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,City bus from central areas to north Vizag residential zones.
RTE00072,Asilmetta,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,300/52D/400D/450,City Ordinary/Semi-Deluxe,"Asilmetta, RTC Complex, Jagadamba, Siripuram, Dwaraka Nagar",6,18-25 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,City bus from central areas to north Vizag residential zones.
RTE00073,Railway Station,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,300/52D/400D/450,City Ordinary/Semi-Deluxe,"Railway Station, RTC Complex, Jagadamba, Siripuram, Dwaraka Nagar",6,18-25 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,City bus from central areas to north Vizag residential zones.
RTE00074,RTC Complex,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,300/52D/400D/450,City Ordinary/Semi-Deluxe,"RTC Complex, Jagadamba, Siripuram, Dwaraka Nagar",6,18-25 mins,â‚¹12,5:00 AM,11:00 PM,10,0.3,Yes,City bus from central areas to north Vizag residential zones.
RTE00075,Airport,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,500A/217,City Ordinary/Semi-Deluxe,"Airport, Kommadi, Beach Road, MVP Colony, Dwaraka Nagar",24,55-65 mins,â‚¹35,5:30 AM,9:00 PM,30,0.4,Yes,Airport bus to northern residential areas via coastal road.
RTE00076,Pendurthi,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,217/218/500,City Ordinary,"Pendurthi, Kommadi, Madhurawada, Yendada, MVP Colony, Seethammadhara, Dwaraka Nagar",14,35-45 mins,â‚¹20,5:30 AM,10:00 PM,20,0.3,Yes,Local bus from northern coastal suburbs to north city residential areas.
RTE00077,Gopalapatnam,Coffee Beans Cafe,Dwaraka Nagar,Dwaraka Nagar Bus Stop,217/218/500,City Ordinary,"Gopalapatnam, Kommadi, Madhurawada, Yendada, MVP Colony, Seethammadhara, Dwaraka Nagar",14,35-45 mins,â‚¹20,5:30 AM,10:00 PM,20,0.3,Yes,Local bus from northern coastal suburbs to north city residential areas.
