trip_id,source_area,temple_name,temple_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
11,Gajuwaka,Sri Sri Sri Puttabangaramma & Subramanya Swamy Temple,Akkayyapalem,13.1,31-43 min,Rs 193,Rs 262,Rs 220,Moderate to High,Rapido Bike or Auto (cost effective),41-56 min (morning puja / evening rush),26-36 min (early morning or after 2 PM),"MVP Colony, Siripuram, RK Beach (5 km)","Travel from Gajuwaka to Sri Sri Sri Puttabangaramma & Subramanya Swamy Temple in Akkayyapalem, Visakhapatnam region. Approx 13.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
12,Gajuwaka,Neelamma Vepachettu Ammavari Temple,Siripuram,11.1,26-38 min,Rs 165,Rs 222,Rs 194,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min (morning puja / evening rush),21-31 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Neelamma Vepachettu Ammavari Temple in Siripuram, Visakhapatnam region. Approx 11.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
13,Gajuwaka,Sri Erukumamba Temple,Daba Garden,11.2,26-38 min,Rs 166,Rs 224,Rs 195,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min (morning puja / evening rush),21-31 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Erukumamba Temple in Daba Garden, Visakhapatnam region. Approx 11.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
14,Gajuwaka,"krishna Mandir, Vizag",Ram Nagar,12.4,29-41 min,Rs 183,Rs 248,Rs 211,Moderate to High,Rapido Bike or Auto (cost effective),39-54 min (morning puja / evening rush),24-34 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to krishna Mandir, Vizag in Ram Nagar, Visakhapatnam region. Approx 12.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
15,Gajuwaka,Sri Raghavendra Swamy Temple,Waltair Main Road,13.2,31-43 min,Rs 194,Rs 264,Rs 221,Moderate to High,Rapido Bike or Auto (cost effective),41-56 min (morning puja / evening rush),26-36 min (early morning or after 2 PM),"Waltair Club, RK Beach (2 km), Andhra University","Travel from Gajuwaka to Sri Raghavendra Swamy Temple in Waltair Main Road, Visakhapatnam region. Approx 13.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
16,Gajuwaka,Sri Krishna Chaitanya Matham,Ram Nagar,12.4,29-41 min,Rs 183,Rs 248,Rs 211,Moderate to High,Rapido Bike or Auto (cost effective),39-54 min (morning puja / evening rush),24-34 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Krishna Chaitanya Matham in Ram Nagar, Visakhapatnam region. Approx 12.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
17,Gajuwaka,Siva Alayam,Daba Garden,11.2,26-38 min,Rs 166,Rs 224,Rs 195,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min (morning puja / evening rush),21-31 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Siva Alayam in Daba Garden, Visakhapatnam region. Approx 11.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
18,Gajuwaka,Sri Sri Sri Maha Shakti Kanaka Durga Temple,Gajuwaka,0.2,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),10-25 min (morning puja / evening rush),5-5 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Sri Sri Maha Shakti Kanaka Durga Temple in Gajuwaka, Visakhapatnam region. Approx 0.2 km away. Open 06:00 AM – 08:30 PM. Heavy crowd on Fridays, festivals & auspicious days; early morning visit recommended. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
19,Gajuwaka,Ammavari Temple,Siripuram,11.1,26-38 min,Rs 165,Rs 222,Rs 194,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min (morning puja / evening rush),21-31 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Ammavari Temple in Siripuram, Visakhapatnam region. Approx 11.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
20,Gajuwaka,Lord Shiva Temple,Waltair,12.4,29-41 min,Rs 183,Rs 248,Rs 211,Moderate to High,Rapido Bike or Auto (cost effective),39-54 min (morning puja / evening rush),24-34 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum | Visakhapatnam(Vizag), Visakhapatnam local sightseeing","Travel from Gajuwaka to Lord Shiva Temple in Waltair, Visakhapatnam region. Approx 12.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
21,Gajuwaka,Shirdi Sai Darbar and Varahimata Temple,Daba Garden,11.3,27-39 min,Rs 168,Rs 226,Rs 196,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min (morning puja / evening rush),22-32 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Shirdi Sai Darbar and Varahimata Temple in Daba Garden, Visakhapatnam region. Approx 11.3 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
22,Gajuwaka,Sivalayam,Daba Garden,11.0,26-38 min,Rs 164,Rs 220,Rs 193,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min (morning puja / evening rush),21-31 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sivalayam in Daba Garden, Visakhapatnam region. Approx 11.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
23,Gajuwaka,Ramalayam Temple Allipuram,Allipuram,10.8,25-37 min,Rs 161,Rs 216,Rs 190,Moderate to High,Rapido Bike or Auto (cost effective),35-50 min (morning puja / evening rush),20-30 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Ramalayam Temple Allipuram in Allipuram, Visakhapatnam region. Approx 10.8 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
24,Gajuwaka,Sri panchamukeswara medha dakshinamurty swamy temple,Maharani Peta,9.8,23-35 min,Rs 147,Rs 196,Rs 177,Moderate to High,Rapido Bike or Auto (cost effective),33-48 min (morning puja / evening rush),18-28 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri panchamukeswara medha dakshinamurty swamy temple in Maharani Peta, Visakhapatnam region. Approx 9.8 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
25,Gajuwaka,Adinath Digambar Jain Mandir,Maharani Peta,9.7,23-35 min,Rs 145,Rs 194,Rs 176,Moderate to High,Rapido Bike or Auto (cost effective),33-48 min (morning puja / evening rush),18-28 min (early morning or after 2 PM),"Town centre, RK Beach (3 km), Submarine Museum","Travel from Gajuwaka to Adinath Digambar Jain Mandir in Maharani Peta, Visakhapatnam region. Approx 9.7 km away. Open 07:00 AM – 07:00 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
26,Gajuwaka,Saibaba Temple,Ram Nagar,12.7,30-42 min,Rs 187,Rs 254,Rs 215,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min (morning puja / evening rush),25-35 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Saibaba Temple in Ram Nagar, Visakhapatnam region. Approx 12.7 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
27,Gajuwaka,Lakshmi Devi Temple,One Town,8.5,20-32 min,Rs 129,Rs 170,Rs 160,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min (morning puja / evening rush),15-25 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Lakshmi Devi Temple in One Town, Visakhapatnam region. Approx 8.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
28,Gajuwaka,Shri Dhatha Sai Dhyana Mandhiram,One Town,8.4,20-32 min,Rs 127,Rs 168,Rs 159,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min (morning puja / evening rush),15-25 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Shri Dhatha Sai Dhyana Mandhiram in One Town, Visakhapatnam region. Approx 8.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
29,Gajuwaka,Sri Laxmi Siddhi Vinayaka Temple,Bowdara Road,10.2,24-36 min,Rs 152,Rs 204,Rs 182,Moderate to High,Rapido Bike or Auto (cost effective),34-49 min (morning puja / evening rush),19-29 min (early morning or after 2 PM),"Visakhapatnam Port, RK Beach (2 km), Submarine Museum (3 km)","Travel from Gajuwaka to Sri Laxmi Siddhi Vinayaka Temple in Bowdara Road, Visakhapatnam region. Approx 10.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
30,Gajuwaka,Hanuman Temple,Bowdara Road,10.2,24-36 min,Rs 152,Rs 204,Rs 182,Moderate to High,Rapido Bike or Auto (cost effective),34-49 min (morning puja / evening rush),19-29 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Hanuman Temple in Bowdara Road, Visakhapatnam region. Approx 10.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
31,Gajuwaka,Ambica Baugh Temple,Ram Nagar,13.0,31-43 min,Rs 192,Rs 260,Rs 219,Moderate to High,Rapido Bike or Auto (cost effective),41-56 min (morning puja / evening rush),26-36 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Ambica Baugh Temple in Ram Nagar, Visakhapatnam region. Approx 13.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
32,Gajuwaka,Yellamma Temple,Maharani Peta,8.8,21-33 min,Rs 133,Rs 176,Rs 164,Moderate to High,Rapido Bike or Auto (cost effective),31-46 min (morning puja / evening rush),16-26 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Yellamma Temple in Maharani Peta, Visakhapatnam region. Approx 8.8 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
33,Gajuwaka,Sri Siva Rama Krishna Devalayam,Ram Nagar,13.1,31-43 min,Rs 193,Rs 262,Rs 220,Moderate to High,Rapido Bike or Auto (cost effective),41-56 min (morning puja / evening rush),26-36 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Siva Rama Krishna Devalayam in Ram Nagar, Visakhapatnam region. Approx 13.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
34,Gajuwaka,Siva Temple,Seethammadhara,13.5,32-44 min,Rs 199,Rs 270,Rs 225,Moderate to High,Rapido Bike or Auto (cost effective),42-57 min (morning puja / evening rush),27-37 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Siva Temple in Seethammadhara, Visakhapatnam region. Approx 13.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
35,Gajuwaka,Sri Sitaramachandraswami Vari Devastanam,Ram Nagar,13.1,31-43 min,Rs 193,Rs 262,Rs 220,Moderate to High,Rapido Bike or Auto (cost effective),41-56 min (morning puja / evening rush),26-36 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Sitaramachandraswami Vari Devastanam in Ram Nagar, Visakhapatnam region. Approx 13.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
36,Gajuwaka,Swetambar Jain Temple,Daba Garden,11.3,27-39 min,Rs 168,Rs 226,Rs 196,Moderate to High,Rapido Bike or Auto (cost effective),37-52 min (morning puja / evening rush),22-32 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Swetambar Jain Temple in Daba Garden, Visakhapatnam region. Approx 11.3 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
37,Gajuwaka,Sri Ram Sai Temple,Ram Nagar,12.4,29-41 min,Rs 183,Rs 248,Rs 211,Moderate to High,Rapido Bike or Auto (cost effective),39-54 min (morning puja / evening rush),24-34 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Ram Sai Temple in Ram Nagar, Visakhapatnam region. Approx 12.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
38,Gajuwaka,Omkara Shivalayam,Ram Nagar,13.2,31-43 min,Rs 194,Rs 264,Rs 221,Moderate to High,Rapido Bike or Auto (cost effective),41-56 min (morning puja / evening rush),26-36 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Omkara Shivalayam in Ram Nagar, Visakhapatnam region. Approx 13.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
39,Gajuwaka,"శ్రీ ధ్యానాంజనేయ,సుబ్రహ్మణ్యేశ్వర,కాలభైరవ దేవాలయం",Akkayyapalem,12.9,30-42 min,Rs 190,Rs 258,Rs 217,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min (morning puja / evening rush),25-35 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to శ్రీ ధ్యానాంజనేయ,సుబ్రహ్మణ్యేశ్వర,కాలభైరవ దేవాలయం in Akkayyapalem, Visakhapatnam region. Approx 12.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
40,Gajuwaka,Sri Krishna Temple,One Town,8.5,20-32 min,Rs 129,Rs 170,Rs 160,Moderate to High,Rapido Bike or Auto (cost effective),30-45 min (morning puja / evening rush),15-25 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Krishna Temple in One Town, Visakhapatnam region. Approx 8.5 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
41,Gajuwaka,Sri Sri Sri Raja Ganapathi Temple,Siripuram,10.9,26-38 min,Rs 162,Rs 218,Rs 191,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min (morning puja / evening rush),21-31 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Sri Sri Raja Ganapathi Temple in Siripuram, Visakhapatnam region. Approx 10.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
42,Gajuwaka,Sai Baba Temple,Ram Nagar,12.3,29-41 min,Rs 182,Rs 246,Rs 209,Moderate to High,Rapido Bike or Auto (cost effective),39-54 min (morning puja / evening rush),24-34 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sai Baba Temple in Ram Nagar, Visakhapatnam region. Approx 12.3 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
43,Gajuwaka,Sri Sri Laxmi Ganapati Temple,Ram Nagar,12.4,29-41 min,Rs 183,Rs 248,Rs 211,Moderate to High,Rapido Bike or Auto (cost effective),39-54 min (morning puja / evening rush),24-34 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Sri Laxmi Ganapati Temple in Ram Nagar, Visakhapatnam region. Approx 12.4 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
44,Gajuwaka,Sri Sri Sri Durga Devi Temple,Ram Nagar,12.9,30-42 min,Rs 190,Rs 258,Rs 217,Moderate to High,Rapido Bike or Auto (cost effective),40-55 min (morning puja / evening rush),25-35 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Sri Sri Durga Devi Temple in Ram Nagar, Visakhapatnam region. Approx 12.9 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
45,Gajuwaka,Rajat Jayanti Jain Bhavan,Daba Garden,12.0,28-40 min,Rs 178,Rs 240,Rs 206,Moderate to High,Rapido Bike or Auto (cost effective),38-53 min (morning puja / evening rush),23-33 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Rajat Jayanti Jain Bhavan in Daba Garden, Visakhapatnam region. Approx 12.0 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
46,Gajuwaka,Sri Sri Sri Vijaya Durga Temple,Gajuwaka,0.2,7-12 min,Rs 30,Rs 40,Rs 80,Low,Rapido Bike (fastest and cheapest),10-25 min (morning puja / evening rush),5-5 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Sri Sri Vijaya Durga Temple in Gajuwaka, Visakhapatnam region. Approx 0.2 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
47,Gajuwaka,Sri Ramalayam,Ram Nagar,13.3,31-43 min,Rs 196,Rs 266,Rs 222,Moderate to High,Rapido Bike or Auto (cost effective),41-56 min (morning puja / evening rush),26-36 min (early morning or after 2 PM),"Visakhapatnam city sightseeing, RK Beach, Kailasagiri, Submarine Museum","Travel from Gajuwaka to Sri Ramalayam in Ram Nagar, Visakhapatnam region. Approx 13.3 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
48,Gajuwaka,The Church of Jesus Christ of Latter-day Saints,Daba Garden,11.0,26-38 min,Rs 164,Rs 220,Rs 193,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min (morning puja / evening rush),21-31 min (early morning or after 2 PM),"Daba Gardens park, RK Beach (4 km)","Travel from Gajuwaka to The Church of Jesus Christ of Latter-day Saints in Daba Garden, Visakhapatnam region. Approx 11.0 km away. Open 09:00 AM – 06:00 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
49,Gajuwaka,Sree Varahi Institute,Daba Garden,11.1,26-38 min,Rs 165,Rs 222,Rs 194,Moderate to High,Rapido Bike or Auto (cost effective),36-51 min (morning puja / evening rush),21-31 min (early morning or after 2 PM),"Visakhapatnam Port, RK Beach (2 km), Submarine Museum (3 km)","Travel from Gajuwaka to Sree Varahi Institute in Daba Garden, Visakhapatnam region. Approx 11.1 km away. Open 06:00 AM – 08:30 PM. Moderate crowd; peak on weekends and festival days. Rapido Bike is fastest for short distances; Cab recommended for comfort on longer trips."
